rank,loading,abs_load,region_i,region_j,net_i,net_j,hemi_i,hemi_j
1,0.10885591804981232,0.10885591804981232,Right_V7,Right_LO2,visual,visual,R,R
2,0.10327646881341934,0.10327646881341934,Left_V7,Left_LO1,visual,visual,L,L
3,0.0967826396226883,0.0967826396226883,Left_V7,Left_V3CD,visual,visual,L,L
4,0.08564398437738419,0.08564398437738419,Right_IP1,Right_PGs,frontoparietal,default mode,R,R
5,-0.08444991707801819,0.08444991707801819,Right_V3A,Right_V3CD,visual,visual,R,R
6,0.08019372820854187,0.08019372820854187,Left_IPS1,Left_V3CD,dorsal attention,visual,L,L
7,0.07908926904201508,0.07908926904201508,Right_V7,Right_PIT,visual,visual,R,R
8,0.07026036083698273,0.07026036083698273,Left_V7,Left_LO2,visual,visual,L,L
9,0.06991340965032578,0.06991340965032578,Right_LO2,Right_PGp,visual,dorsal attention,R,R
10,0.06982243806123734,0.06982243806123734,Left_V7,Left_V4t,visual,visual,L,L
11,0.06948164105415344,0.06948164105415344,Left_V7,Left_V3B,visual,visual,L,L
12,0.06745731085538864,0.06745731085538864,Right_V3B,Right_LO2,visual,visual,R,R
13,0.0664391741156578,0.0664391741156578,Left_V7,Left_LO3,visual,visual,L,L
14,0.06497970223426819,0.06497970223426819,Left_IPS1,Left_IP0,dorsal attention,dorsal attention,L,L
15,0.06447940319776535,0.06447940319776535,Left_IP1,Left_IP0,frontoparietal,dorsal attention,L,L
16,0.0643770843744278,0.0643770843744278,Right_V7,Right_LO1,visual,visual,R,R
17,0.06356453895568848,0.06356453895568848,Right_LO2,Right_V6A,visual,visual,R,R
18,-0.06299888342618942,0.06299888342618942,Right_V3A,Right_V3B,visual,visual,R,R
19,-0.06279096752405167,0.06279096752405167,Right_TPOJ2,Right_PGi,dorsal attention,default mode,R,R
20,0.061315298080444336,0.061315298080444336,Right_IPS1,Right_V3CD,dorsal attention,visual,R,R
21,-0.05992830917239189,0.05992830917239189,Left_V3A,Left_V3CD,visual,visual,L,L
22,-0.057936057448387146,0.057936057448387146,Left_V3A,Left_PGp,visual,dorsal attention,L,L
23,0.057747408747673035,0.057747408747673035,Right_MIP,Right_PGs,dorsal attention,default mode,R,R
24,-0.056598879396915436,0.056598879396915436,Right_V3A,Right_IP0,visual,dorsal attention,R,R
25,0.056380048394203186,0.056380048394203186,Right_IP0,Right_PGs,dorsal attention,default mode,R,R
26,0.055837780237197876,0.055837780237197876,Left_MT,Left_V3CD,visual,visual,L,L
27,0.05551142618060112,0.05551142618060112,Right_IP0,Right_V4t,dorsal attention,visual,R,R
28,0.055325232446193695,0.055325232446193695,Right_V6A,Right_V3CD,visual,visual,R,R
29,0.05520220845937729,0.05520220845937729,Right_IPS1,Right_V4t,dorsal attention,visual,R,R
30,-0.055150412023067474,0.055150412023067474,Right_V3A,Right_PGp,visual,dorsal attention,R,R
31,0.054105374962091446,0.054105374962091446,Right_LO2,Right_IP0,visual,dorsal attention,R,R
32,-0.053747739642858505,0.053747739642858505,Right_V4,Right_V3A,visual,visual,R,R
33,0.05354714021086693,0.05354714021086693,Left_V4t,Left_V3CD,visual,visual,L,L
34,0.05353610962629318,0.05353610962629318,Right_V7,Right_V4t,visual,visual,R,R
35,-0.053411900997161865,0.053411900997161865,Left_LIPv,Left_VIP,dorsal attention,dorsal attention,L,L
36,0.05313286557793617,0.05313286557793617,Right_LIPd,Right_PGs,dorsal attention,default mode,R,R
37,0.05261169373989105,0.05261169373989105,Right_LO1,Right_PGp,visual,dorsal attention,R,R
