net_pair,n_seeds,median_enrichment,min_enrichment,median_n_obs
visual || visual,10,16.256603773584906,13.09559748427673,72.0
dorsal attention || visual,10,6.855902777777779,5.858680555555556,55.0
dorsal attention || dorsal attention,10,6.588031914893618,4.29654255319149,23.0
somatosensory || somatosensory,10,1.1539285714285716,0.41961038961038966,5.5
dorsal attention || frontoparietal,10,1.121875,0.5983333333333333,7.5
ventral attention || ventral attention,7,0.9365217391304348,0.6243478260869565,3.0
limbic || limbic,1,0.8547619047619047,0.8547619047619047,1.0
default mode || visual,10,0.6848393574297189,0.5046184738955823,9.5
frontoparietal || frontoparietal,7,0.6527272727272727,0.32636363636363636,2.0
somatosensory || ventral attention,9,0.6271350931677019,0.1254270186335404,5.0
default mode || dorsal attention,10,0.6082454819277108,0.24329819277108433,7.5
default mode || frontoparietal,10,0.562289156626506,0.25951807228915663,6.5
frontoparietal || visual,10,0.3988888888888889,0.13296296296296295,3.0
default mode || default mode,10,0.3797825448133999,0.18989127240669995,4.0
limbic || ventral attention,3,0.2508540372670808,0.2508540372670808,1.0
frontoparietal || ventral attention,4,0.15608695652173912,0.15608695652173912,1.0
dorsal attention || ventral attention,1,0.14633152173913042,0.14633152173913042,1.0
frontoparietal || somatosensory,2,0.1282142857142857,0.1282142857142857,1.0
dorsal attention || somatosensory,3,0.12020089285714286,0.12020089285714286,1.0
default mode || ventral attention,5,0.08462545835515976,0.08462545835515976,1.0
