seed,K,interhemi_frac_top,interhemi_frac_base,richclub_frac_top,richclub_frac_base,energy_top1pct
0,200,0.095,0.5013927576601671,0.105,0.03955431754874652,0.6919683218002319
1,200,0.045,0.5013927576601671,0.105,0.03955431754874652,0.7198573350906372
2,200,0.07,0.5013927576601671,0.1,0.03955431754874652,0.693554162979126
3,200,0.045,0.5013927576601671,0.075,0.03955431754874652,0.6777268648147583
4,200,0.075,0.5013927576601671,0.1,0.03955431754874652,0.6529211401939392
5,200,0.11,0.5013927576601671,0.13,0.03955431754874652,0.6501210927963257
6,200,0.055,0.5013927576601671,0.095,0.03955431754874652,0.7383487224578857
7,200,0.05,0.5013927576601671,0.08,0.03955431754874652,0.6845042705535889
8,200,0.035,0.5013927576601671,0.09,0.03955431754874652,0.6523780822753906
9,200,0.055,0.5013927576601671,0.125,0.03955431754874652,0.6870421767234802
