net_pair,n_seeds,median_enrichment,min_enrichment,median_n_obs
dorsal attention || dorsal attention,10,10.311702127659576,6.588031914893618,36.0
visual || visual,10,9.708805031446541,6.9993710691823905,43.0
dorsal attention || frontoparietal,10,2.5429166666666667,1.795,17.0
dorsal attention || visual,10,2.181423611111111,1.745138888888889,17.5
somatosensory || somatosensory,10,1.783344155844156,0.6294155844155844,8.5
limbic || limbic,5,1.7095238095238094,0.8547619047619047,2.0
default mode || frontoparietal,10,1.4706024096385544,0.951566265060241,17.0
frontoparietal || frontoparietal,10,1.4686363636363637,0.9790909090909091,4.5
default mode || default mode,10,1.1868204525418746,0.6646194534234499,12.5
default mode || dorsal attention,10,1.0948418674698797,0.6487951807228916,13.5
ventral attention || ventral attention,8,0.9365217391304348,0.6243478260869565,3.0
default mode || visual,10,0.8290160642570281,0.5046184738955823,11.5
dorsal attention || somatosensory,10,0.7212053571428572,0.24040178571428572,6.0
frontoparietal || limbic,4,0.5128571428571428,0.2564285714285714,2.0
frontoparietal || visual,10,0.3988888888888889,0.13296296296296295,3.0
default mode || limbic,6,0.27805507745266783,0.13902753872633392,2.0
limbic || ventral attention,2,0.2508540372670808,0.2508540372670808,1.0
somatosensory || ventral attention,10,0.2508540372670808,0.1254270186335404,2.0
frontoparietal || ventral attention,7,0.15608695652173912,0.15608695652173912,1.0
dorsal attention || ventral attention,1,0.14633152173913042,0.14633152173913042,1.0
default mode || somatosensory,10,0.13902753872633392,0.06951376936316696,2.0
frontoparietal || somatosensory,2,0.1282142857142857,0.1282142857142857,1.0
default mode || ventral attention,9,0.08462545835515976,0.08462545835515976,1.0
