metric,mean,std,ci_lo,ci_hi
ratio target-only,1.505001476009616,0.1981129905240986,1.3632799800721995,1.6467229719470324
ratio double-sided,1.5529820224930053,0.12189143693377068,1.4657861413015902,1.6401779036844204
FC->SC_res (dm),0.06900666020810604,0.005121915160108437,0.0653426628264361,0.07267065758977599
SC->FC_res (dm),0.04639484770596027,0.005399414432890994,0.04253233930309858,0.05025735610882196
bv -> SC,0.16239530742168426,0.007212234041630725,0.15723598599239952,0.167554628850969
bv -> FC,0.04903869703412056,0.005215045432721783,0.04530807826878008,0.052769315799461036
demo -> SC,0.13270059376955032,0.009035869057087689,0.12623672243795628,0.13916446510114436
demo -> FC,0.11429173797369004,0.010574773951646797,0.10672700039811389,0.12185647554926618
bv+demo -> SC,0.1710560217499733,0.00951673062090723,0.16424816277787663,0.17786388072207
bv+demo -> FC,0.10185516551136971,0.006143221233946963,0.09746056977665153,0.10624976124608788
