framework,direction,metric,mean,std,ci_lo,ci_hi
baseline,bv -> FC,mse,0.0138863072,0.00028041974458847677,0.013685706999133147,0.014086907400866853
baseline,bv -> FC,r2,-0.024103023,0.005369947507888467,-0.027944452034562892,-0.02026159396543711
baseline,bv -> FC,pearson,0.832695208,0.004724215240589447,0.829315708002269,0.836074707997731
baseline,bv -> FC,demeaned_pearson,0.04903869703412052,0.005215045432721777,0.04530807826878004,0.052769315799460995
baseline,bv -> FC,top1_acc,0.00922291993720561,0.00793786156065292,0.003544515851013161,0.014901324023398058
baseline,bv -> FC,avg_rank,0.6275091794154364,0.013183127524632155,0.6180785380981658,0.6369398207327069
baseline,bv -> SC,mse,0.0053382431800000005,6.383847539318457e-05,0.005292575885759719,0.005383910474240282
baseline,bv -> SC,r2,0.00874965058,0.004641524764387762,0.0054293037854793134,0.012069997374520688
baseline,bv -> SC,pearson,0.91486757,0.0007564193792246969,0.9143264601732481,0.9154086798267518
baseline,bv -> SC,demeaned_pearson,0.16239530742168423,0.007212234041630732,0.1572359859923995,0.16755462885096897
baseline,bv -> SC,top1_acc,0.10148090005232857,0.015770790599840438,0.09019915608383672,0.11276264402082042
baseline,bv -> SC,avg_rank,0.8670390002960084,0.015095169341395225,0.8562405666605779,0.877837433931439
baseline,bv+demo -> FC,mse,0.013809565699999998,0.0002314536865495991,0.013643993706910282,0.013975137693089714
baseline,bv+demo -> FC,r2,-0.0203596292,0.004007465300726516,-0.023226397178383353,-0.017492861221616647
baseline,bv+demo -> FC,pearson,0.8334429909999999,0.004139189722664336,0.830481993046696,0.8364039889533037
baseline,bv+demo -> FC,demeaned_pearson,0.10185516551136967,0.0061432212339469815,0.09746056977665148,0.10624976124608786
baseline,bv+demo -> FC,top1_acc,0.02255363683935107,0.00649048402359013,0.01791062426986888,0.02719664940883326
baseline,bv+demo -> FC,avg_rank,0.6874535111794587,0.015588542302805892,0.6763021397888551,0.6986048825700624
baseline,bv+demo -> SC,mse,0.00536436701,6.502790177785127e-05,0.005317848851381282,0.005410885168618718
baseline,bv+demo -> SC,r2,0.0012945215734999997,0.004962948939936426,-0.002255758224751034,0.004844801371751033
baseline,bv+demo -> SC,pearson,0.9144461500000001,0.0007534989189257076,0.9139071293446919,0.9149851706553083
baseline,bv+demo -> SC,demeaned_pearson,0.17105602174997325,0.009516730620907233,0.16424816277787657,0.17786388072206993
baseline,bv+demo -> SC,top1_acc,0.14400052328623753,0.020977491841628917,0.12899412962701423,0.15900691694546082
baseline,bv+demo -> SC,avg_rank,0.8748022001981971,0.015656891235497017,0.863601934926576,0.8860024654698182
baseline,demo -> FC,mse,0.013555772599999998,0.00019016728248349039,0.013419735121182398,0.013691810078817599
baseline,demo -> FC,r2,-0.0013584070554000002,0.0036428590726794974,-0.003964351450583559,0.0012475373397835587
baseline,demo -> FC,pearson,0.8366790570000001,0.003949659205774178,0.8338536410108491,0.8395044729891511
baseline,demo -> FC,demeaned_pearson,0.11429173797369001,0.010574773951646792,0.10672700039811386,0.12185647554926615
baseline,demo -> FC,top1_acc,0.01333071690214541,0.004330002583233715,0.01023321965128182,0.016428214153009
baseline,demo -> FC,avg_rank,0.6736664384306232,0.0241047379116777,0.6564229476984657,0.6909099291627808
baseline,demo -> SC,mse,0.005399046320000001,5.961550036135821e-05,0.005356399960112552,0.005441692679887449
baseline,demo -> SC,r2,-0.000416009733,0.0055357827205583295,-0.004376070132202322,0.003544050666202322
baseline,demo -> SC,pearson,0.9146718069999998,0.0006545993582345691,0.9142035348284312,0.9151400791715685
baseline,demo -> SC,demeaned_pearson,0.1327005937695503,0.009035869057087679,0.12623672243795628,0.1391644651011443
baseline,demo -> SC,top1_acc,0.01948456305599158,0.012282571092891712,0.01069814100139874,0.02827098511058442
baseline,demo -> SC,avg_rank,0.7571896604554151,0.029757755124321234,0.735902244820522,0.7784770760903083
double_sided,FC->SC,mse,0.005558513330000001,6.23994789415397e-05,0.005513875431809096,0.005603151228190905
double_sided,FC->SC,r2,-0.048381436599999994,0.005658842001107591,-0.05242952830538919,-0.0443333448946108
double_sided,FC->SC,pearson,0.0730585396,0.0035871634055198117,0.07049243748495275,0.07562464171504725
