framework,metric,stat,mean,std,ci_lo,ci_hi,n_above_1,n_above_115
target_only,"mse (SC->FC / FC->SC, lower-is-better)",ratio,2.6223436344043587,0.04413893782747832,2.590768540406482,2.6539187284022354,10,10
target_only,r2 (FC->SC minus SC->FC),diff,0.0186045213,0.006517688620435213,0.013942047734290053,0.023266994865709947,,
target_only,pearson (FC->SC / SC->FC),ratio,1.5049983083259375,0.1972879092683157,1.3638670399628468,1.6461295766890283,10,9
target_only,demeaned_pearson (FC->SC / SC->FC),ratio,1.5050014760096169,0.19811299052409914,1.3632799800722,1.6467229719470338,10,9
target_only,top1_acc (FC->SC / SC->FC),ratio,2.845000000000003,1.4939600619383002,1.7762853524216717,3.9137146475783338,10,10
target_only,avg_rank (FC->SC / SC->FC),ratio,1.2487895860917853,0.03683282501889785,1.2224409703474566,1.275138201836114,10,10
double_sided,"mse (SC->FC / FC->SC, lower-is-better)",ratio,2.6281444024726923,0.0456962228569306,2.5954552938744047,2.66083351107098,10,10
double_sided,r2 (FC->SC minus SC->FC),diff,0.021060241099999998,0.00809497135797934,0.015269447435291666,0.02685103476470833,,
double_sided,pearson (FC->SC / SC->FC),ratio,1.5521306350279662,0.12093788642560255,1.465616882777778,1.6386443872781544,10,10
double_sided,demeaned_pearson (FC->SC / SC->FC),ratio,1.5529820224930058,0.12189143693377066,1.4657861413015907,1.6401779036844208,10,10
double_sided,top1_acc (FC->SC / SC->FC),ratio,3.4324603174603254,1.6475701318548552,2.253859645537835,4.611060989382816,10,10
double_sided,avg_rank (FC->SC / SC->FC),ratio,1.2604592713226563,0.02511735376519447,1.2424913988465722,1.2784271437987405,10,10
