framework,direction,mse,r2,pearson,demeaned_pearson,top1_acc,avg_rank
baseline,bv -> FC,0.0139 +/- 0.0003,-0.0241 +/- 0.0054,0.8327 +/- 0.0047,0.0490 +/- 0.0052,0.0092 +/- 0.0079,0.6275 +/- 0.0132
baseline,bv -> SC,0.0053 +/- 0.0001,0.0087 +/- 0.0046,0.9149 +/- 0.0008,0.1624 +/- 0.0072,0.1015 +/- 0.0158,0.8670 +/- 0.0151
baseline,bv+demo -> FC,0.0138 +/- 0.0002,-0.0204 +/- 0.0040,0.8334 +/- 0.0041,0.1019 +/- 0.0061,0.0226 +/- 0.0065,0.6875 +/- 0.0156
baseline,bv+demo -> SC,0.0054 +/- 0.0001,0.0013 +/- 0.0050,0.9144 +/- 0.0008,0.1711 +/- 0.0095,0.1440 +/- 0.0210,0.8748 +/- 0.0157
baseline,demo -> FC,0.0136 +/- 0.0002,-0.0014 +/- 0.0036,0.8367 +/- 0.0039,0.1143 +/- 0.0106,0.0133 +/- 0.0043,0.6737 +/- 0.0241
baseline,demo -> SC,0.0054 +/- 0.0001,-0.0004 +/- 0.0055,0.9147 +/- 0.0007,0.1327 +/- 0.0090,0.0195 +/- 0.0123,0.7572 +/- 0.0298
double_sided,FC->SC,0.0056 +/- 0.0001,-0.0484 +/- 0.0057,0.0731 +/- 0.0036,0.0731 +/- 0.0036,0.0764 +/- 0.0231,0.8188 +/- 0.0143
double_sided,SC->FC,0.0146 +/- 0.0002,-0.0694 +/- 0.0055,0.0473 +/- 0.0046,0.0474 +/- 0.0047,0.0261 +/- 0.0120,0.6497 +/- 0.0115
target_only,FC->SC,0.0055 +/- 0.0001,-0.0465 +/- 0.0048,0.0689 +/- 0.0051,0.0690 +/- 0.0051,0.0605 +/- 0.0172,0.8063 +/- 0.0200
target_only,SC->FC,0.0145 +/- 0.0002,-0.0651 +/- 0.0047,0.0463 +/- 0.0054,0.0464 +/- 0.0054,0.0241 +/- 0.0094,0.6459 +/- 0.0132
