seed,framework,direction,mse,r2,pearson,demeaned_pearson,top1_acc,avg_rank
3,baseline,bv -> SC,0.005409266,0.013321654,0.9146789,0.16088666021823883,0.11794871794871795,0.864983563445102
3,baseline,bv -> FC,0.013675651,-0.023238285,0.8299621,0.05495167151093483,0.005128205128205128,0.6156476002629849
3,baseline,demo -> SC,0.005474668,0.0015659638,0.91441697,0.1324784904718399,0.005128205128205128,0.7744641683103222
3,baseline,demo -> FC,0.013359468,-0.0009772896,0.83431333,0.12557420134544373,0.015384615384615385,0.7008547008547008
3,baseline,bv+demo -> SC,0.0054313233,0.008399392,0.9143282,0.17264525592327118,0.13846153846153847,0.8768178829717291
3,baseline,bv+demo -> FC,0.013588485,-0.018368538,0.8310547,0.11390824615955353,0.015384615384615385,0.711190006574622
3,target_only,FC->SC,0.005615569,-0.043263562,0.06374193,0.06382110714912415,0.046153846153846156,0.7899539776462854
3,target_only,SC->FC,0.014332618,-0.06713987,0.04488909,0.044893376529216766,0.03076923076923077,0.6307692307692307
3,double_sided,FC->SC,0.005625875,-0.045522578,0.06996555,0.07004918158054352,0.08717948717948718,0.8091255752794214
3,double_sided,SC->FC,0.014378897,-0.07041839,0.05028546,0.05027739703655243,0.046153846153846156,0.6524917817225511
