experiment,mse,r2,pearson,avg_rank,top1_acc,demeaned_pearson
brain-vol -> SC,0.005337402,0.009291,0.9154544,0.8789217619986851,0.10256410256410256,0.16698575019836426
brain-vol -> FC,0.013487859,-0.022002019,0.83693975,0.6325575279421434,0.0,0.046696074306964874
FC -> SC raw,0.005551474,-0.023459112,0.9127845,0.8533070348454964,0.15384615384615385,0.1322067528963089
SC -> FC raw,0.013979036,-0.062159147,0.8307311,0.7124260355029586,0.03076923076923077,0.08489642292261124
FC -> SC_residual,0.0055083237,-0.04938028,0.0776911,0.812518080210388,0.08205128205128205,0.07768893241882324
SC -> FC_residual,0.014280186,-0.070492215,0.05599341,0.6486785009861933,0.015384615384615385,0.056083403527736664
PLS A: FC->SC_residual,0.0055083237,-0.04938028,0.0776911,0.812518080210388,0.08205128205128205,0.07768893241882324
PLS A: SC->FC_residual,0.014280186,-0.070492215,0.05599341,0.6486785009861933,0.015384615384615385,0.056083403527736664
BR  C: FC->SC_residual,0.0052939598,-0.0060053365,0.09306038,0.8053648915187377,0.05641025641025641,0.09313812106847763
BR  C: SC->FC_residual,0.013451504,-0.008058218,0.06570458,0.6656936226166996,0.03076923076923077,0.06572851538658142
