net_pair,n_seeds,median_enrichment,min_enrichment,median_n_obs
visual || visual,10,11.740880503144655,9.708805031446541,52.0
dorsal attention || dorsal attention,10,8.16343085106383,4.582978723404255,28.5
dorsal attention || visual,10,4.861458333333333,4.113541666666666,39.0
frontoparietal || frontoparietal,10,1.4686363636363637,0.32636363636363636,4.5
dorsal attention || frontoparietal,10,1.4210416666666665,1.0470833333333334,9.5
default mode || dorsal attention,10,1.4192394578313254,1.1353915662650602,17.5
somatosensory || ventral attention,10,1.1915566770186334,0.3762810559006211,9.5
ventral attention || ventral attention,10,0.7804347826086957,0.31217391304347825,2.5
default mode || default mode,10,0.7120922715251248,0.18989127240669995,7.5
somatosensory || somatosensory,8,0.524512987012987,0.20980519480519483,2.5
default mode || frontoparietal,10,0.4757831325301205,0.25951807228915663,5.5
dorsal attention || ventral attention,9,0.4389945652173913,0.14633152173913042,3.0
default mode || visual,10,0.3604417670682731,0.21626506024096384,5.0
frontoparietal || somatosensory,10,0.32053571428571426,0.1282142857142857,2.5
dorsal attention || somatosensory,8,0.30050223214285715,0.12020089285714286,2.5
frontoparietal || visual,9,0.2659259259259259,0.13296296296296295,2.0
limbic || ventral attention,2,0.2508540372670808,0.2508540372670808,1.0
default mode || somatosensory,10,0.24329819277108433,0.13902753872633392,3.5
default mode || ventral attention,10,0.21156364588789944,0.08462545835515976,2.5
frontoparietal || ventral attention,7,0.15608695652173912,0.15608695652173912,1.0
