seed,K,net_pair,n_obs,n_exp,enrichment
0,100,visual || visual,33,2.214484679665738,14.901886792452832
0,100,dorsal attention || visual,22,4.011142061281337,5.4847222222222225
0,100,dorsal attention || dorsal attention,14,1.745589600742804,8.020212765957448
0,100,default mode || dorsal attention,12,6.165273909006499,1.9463855421686747
0,100,dorsal attention || frontoparietal,4,3.3426183844011144,1.1966666666666665
0,100,somatosensory || ventral attention,4,3.986381925100588,1.003416149068323
0,100,default mode || visual,3,6.935933147632312,0.4325301204819277
0,100,default mode || frontoparietal,2,5.779944289693593,0.34602409638554216
0,100,default mode || ventral attention,2,5.908387496131229,0.33850183342063905
0,100,dorsal attention || ventral attention,1,3.4168987929433614,0.29266304347826083
0,100,default mode || default mode,1,5.266171463943052,0.18989127240669995
0,100,frontoparietal || ventral attention,1,3.203342618384401,0.31217391304347825
0,100,frontoparietal || somatosensory,1,3.8997214484679668,0.2564285714285714
0,200,visual || visual,53,4.428969359331476,11.966666666666667
0,200,dorsal attention || visual,36,8.022284122562674,4.4875
0,200,dorsal attention || dorsal attention,27,3.491179201485608,7.733776595744681
0,200,default mode || dorsal attention,17,12.330547818012999,1.3786897590361447
0,200,dorsal attention || frontoparietal,10,6.685236768802229,1.4958333333333333
0,200,somatosensory || ventral attention,9,7.972763850201176,1.1288431677018633
0,200,default mode || visual,8,13.871866295264624,0.576706827309237
0,200,frontoparietal || frontoparietal,8,3.064066852367688,2.610909090909091
0,200,default mode || default mode,7,10.532342927886104,0.6646194534234499
0,200,default mode || somatosensory,5,14.385639121015165,0.3475688468158348
0,200,default mode || frontoparietal,3,11.559888579387186,0.25951807228915663
0,200,dorsal attention || ventral attention,3,6.833797585886723,0.4389945652173913
0,200,frontoparietal || somatosensory,3,7.7994428969359335,0.3846428571428571
0,200,dorsal attention || somatosensory,3,8.319405756731662,0.3606026785714286
0,200,ventral attention || ventral attention,3,3.203342618384401,0.9365217391304348
0,200,default mode || ventral attention,2,11.816774992262458,0.16925091671031953
0,200,frontoparietal || ventral attention,1,6.406685236768802,0.15608695652173912
0,200,somatosensory || somatosensory,1,4.766326214794181,0.20980519480519483
0,200,frontoparietal || visual,1,7.520891364902507,0.13296296296296295
0,500,visual || visual,110,11.07242339832869,9.934591194968554
0,500,dorsal attention || visual,74,20.055710306406684,3.6897222222222226
0,500,dorsal attention || dorsal attention,52,8.72794800371402,5.957872340425531
0,500,default mode || dorsal attention,39,30.826369545032495,1.2651506024096386
0,500,somatosensory || ventral attention,27,19.93190962550294,1.3546118012422361
0,500,dorsal attention || frontoparietal,26,16.71309192200557,1.5556666666666668
0,500,default mode || frontoparietal,24,28.899721448467965,0.8304578313253013
0,500,default mode || default mode,24,26.330857319715257,0.91147810755216
0,500,frontoparietal || frontoparietal,20,7.66016713091922,2.610909090909091
0,500,default mode || somatosensory,17,35.964097802537914,0.47269363166953526
0,500,default mode || visual,15,34.67966573816156,0.4325301204819277
0,500,dorsal attention || ventral attention,13,17.084493964716806,0.7609239130434783
0,500,default mode || ventral attention,11,29.54193748065614,0.372352016762703
0,500,dorsal attention || somatosensory,10,20.798514391829155,0.48080357142857144
0,500,ventral attention || ventral attention,9,8.008356545961002,1.123826086956522
0,500,somatosensory || somatosensory,9,11.915815536985452,0.7552987012987014
0,500,frontoparietal || somatosensory,8,19.498607242339833,0.41028571428571425
0,500,frontoparietal || visual,6,18.802228412256266,0.3191111111111111
0,500,frontoparietal || ventral attention,4,16.016713091922004,0.24973913043478263
0,500,default mode || limbic,1,17.982048901268957,0.055611015490533565
0,500,limbic || ventral attention,1,9.96595481275147,0.1003416149068323
1,100,visual || visual,36,2.214484679665738,16.256603773584906
1,100,dorsal attention || visual,22,4.011142061281337,5.4847222222222225
1,100,default mode || dorsal attention,10,6.165273909006499,1.6219879518072289
1,100,somatosensory || ventral attention,5,3.986381925100588,1.2542701863354038
1,100,dorsal attention || dorsal attention,5,1.745589600742804,2.8643617021276597
1,100,default mode || frontoparietal,4,5.779944289693593,0.6920481927710843
1,100,dorsal attention || frontoparietal,4,3.3426183844011144,1.1966666666666665
1,100,dorsal attention || ventral attention,2,3.4168987929433614,0.5853260869565217
1,100,frontoparietal || frontoparietal,2,1.532033426183844,1.3054545454545454
1,100,default mode || default mode,2,5.266171463943052,0.3797825448133999
1,100,frontoparietal || somatosensory,2,3.8997214484679668,0.5128571428571428
1,100,frontoparietal || ventral attention,1,3.203342618384401,0.31217391304347825
1,100,frontoparietal || visual,1,3.7604456824512535,0.2659259259259259
1,100,dorsal attention || somatosensory,1,4.159702878365831,0.24040178571428572
1,100,ventral attention || ventral attention,1,1.6016713091922006,0.6243478260869565
1,100,default mode || somatosensory,1,7.192819560507583,0.13902753872633392
1,100,default mode || visual,1,6.935933147632312,0.14417670682730924
1,200,visual || visual,51,4.428969359331476,11.515094339622642
1,200,dorsal attention || visual,40,8.022284122562674,4.986111111111112
1,200,default mode || dorsal attention,17,12.330547818012999,1.3786897590361447
1,200,dorsal attention || dorsal attention,16,3.491179201485608,4.582978723404255
1,200,somatosensory || ventral attention,10,7.972763850201176,1.2542701863354038
1,200,dorsal attention || frontoparietal,9,6.685236768802229,1.34625
1,200,default mode || default mode,8,10.532342927886104,0.7595650896267998
1,200,default mode || frontoparietal,7,11.559888579387186,0.6055421686746988
1,200,frontoparietal || frontoparietal,7,3.064066852367688,2.2845454545454547
1,200,somatosensory || somatosensory,7,4.766326214794181,1.4686363636363637
1,200,dorsal attention || somatosensory,5,8.319405756731662,0.6010044642857143
1,200,default mode || somatosensory,4,14.385639121015165,0.27805507745266783
1,200,frontoparietal || somatosensory,4,7.7994428969359335,0.5128571428571428
1,200,dorsal attention || ventral attention,3,6.833797585886723,0.4389945652173913
1,200,ventral attention || ventral attention,3,3.203342618384401,0.9365217391304348
1,200,default mode || visual,3,13.871866295264624,0.21626506024096384
1,200,default mode || ventral attention,3,11.816774992262458,0.25387637506547933
1,200,frontoparietal || ventral attention,1,6.406685236768802,0.15608695652173912
1,200,frontoparietal || visual,1,7.520891364902507,0.13296296296296295
1,200,limbic || ventral attention,1,3.986381925100588,0.2508540372670808
1,500,visual || visual,97,11.07242339832869,8.76050314465409
1,500,dorsal attention || visual,71,20.055710306406684,3.540138888888889
1,500,dorsal attention || dorsal attention,42,8.72794800371402,4.812127659574468
1,500,default mode || dorsal attention,39,30.826369545032495,1.2651506024096386
1,500,somatosensory || ventral attention,31,19.93190962550294,1.5552950310559006
1,500,default mode || frontoparietal,27,28.899721448467965,0.9342650602409639
1,500,default mode || default mode,27,26.330857319715257,1.0254128709961798
1,500,dorsal attention || frontoparietal,26,16.71309192200557,1.5556666666666668
1,500,somatosensory || somatosensory,18,11.915815536985452,1.5105974025974027
1,500,frontoparietal || frontoparietal,17,7.66016713091922,2.2192727272727275
1,500,dorsal attention || ventral attention,14,17.084493964716806,0.8194565217391304
1,500,default mode || somatosensory,14,35.964097802537914,0.3892771084337349
1,500,dorsal attention || somatosensory,13,20.798514391829155,0.6250446428571429
1,500,ventral attention || ventral attention,12,8.008356545961002,1.498434782608696
1,500,default mode || visual,12,34.67966573816156,0.34602409638554216
1,500,default mode || ventral attention,12,29.54193748065614,0.40620220010476693
1,500,frontoparietal || somatosensory,10,19.498607242339833,0.5128571428571429
1,500,frontoparietal || ventral attention,6,16.016713091922004,0.374608695652174
1,500,frontoparietal || visual,4,18.802228412256266,0.21274074074074076
1,500,limbic || limbic,3,2.9247910863509747,1.0257142857142858
1,500,default mode || limbic,2,17.982048901268957,0.11122203098106713
1,500,limbic || ventral attention,1,9.96595481275147,0.1003416149068323
