seed,K,anchor_match_signedcos,anchor_match_pc_idx_1based,interhemi_frac_top,interhemi_frac_base,richclub_frac_top,richclub_frac_base,energy_top1pct_frac
0,100,1.0000001192092896,3,0.0,0.5013927576601671,0.1,0.03955431754874652,0.6306781768798828
0,200,1.0000001192092896,3,0.015,0.5013927576601671,0.11,0.03955431754874652,0.6306781768798828
0,500,1.0000001192092896,3,0.032,0.5013927576601671,0.126,0.03955431754874652,0.6306781768798828
1,100,0.8685186505317688,3,0.02,0.5013927576601671,0.15,0.03955431754874652,0.5954482555389404
1,200,0.8685186505317688,3,0.035,0.5013927576601671,0.125,0.03955431754874652,0.5954482555389404
1,500,0.8685186505317688,3,0.044,0.5013927576601671,0.134,0.03955431754874652,0.5954482555389404
2,100,0.8252713084220886,3,0.08,0.5013927576601671,0.15,0.03955431754874652,0.5801668763160706
2,200,0.8252713084220886,3,0.065,0.5013927576601671,0.14,0.03955431754874652,0.5801668763160706
2,500,0.8252713084220886,3,0.062,0.5013927576601671,0.16,0.03955431754874652,0.5801668763160706
3,100,0.8751358389854431,2,0.0,0.5013927576601671,0.14,0.03955431754874652,0.6183058023452759
3,200,0.8751358389854431,2,0.0,0.5013927576601671,0.135,0.03955431754874652,0.6183058023452759
3,500,0.8751358389854431,2,0.018,0.5013927576601671,0.142,0.03955431754874652,0.6183058023452759
4,100,0.9024275541305542,3,0.0,0.5013927576601671,0.08,0.03955431754874652,0.6577464938163757
4,200,0.9024275541305542,3,0.005,0.5013927576601671,0.08,0.03955431754874652,0.6577464938163757
4,500,0.9024275541305542,3,0.032,0.5013927576601671,0.116,0.03955431754874652,0.6577464938163757
5,100,0.8855783939361572,3,0.0,0.5013927576601671,0.09,0.03955431754874652,0.6561961770057678
5,200,0.8855783939361572,3,0.0,0.5013927576601671,0.115,0.03955431754874652,0.6561961770057678
5,500,0.8855783939361572,3,0.008,0.5013927576601671,0.148,0.03955431754874652,0.6561961770057678
6,100,0.9184483885765076,3,0.0,0.5013927576601671,0.12,0.03955431754874652,0.5938727259635925
6,200,0.9184483885765076,3,0.01,0.5013927576601671,0.13,0.03955431754874652,0.5938727259635925
6,500,0.9184483885765076,3,0.02,0.5013927576601671,0.136,0.03955431754874652,0.5938727259635925
7,100,0.8549729585647583,3,0.0,0.5013927576601671,0.08,0.03955431754874652,0.6218537092208862
7,200,0.8549729585647583,3,0.02,0.5013927576601671,0.145,0.03955431754874652,0.6218537092208862
7,500,0.8549729585647583,3,0.042,0.5013927576601671,0.15,0.03955431754874652,0.6218537092208862
8,100,0.8974727392196655,3,0.0,0.5013927576601671,0.09,0.03955431754874652,0.6651975512504578
8,200,0.8974727392196655,3,0.035,0.5013927576601671,0.085,0.03955431754874652,0.6651975512504578
8,500,0.8974727392196655,3,0.042,0.5013927576601671,0.114,0.03955431754874652,0.6651975512504578
9,100,0.9393602609634399,3,0.0,0.5013927576601671,0.09,0.03955431754874652,0.6202557682991028
9,200,0.9393602609634399,3,0.01,0.5013927576601671,0.1,0.03955431754874652,0.6202557682991028
9,500,0.9393602609634399,3,0.042,0.5013927576601671,0.112,0.03955431754874652,0.6202557682991028
