anchor_pc,median_abs_cos,min_abs_cos,median_expl_var,median_FC_to_PC_R2,median_AUC_MZ,median_AUC_DZ,median_AUC_sibling,matched_indices
1,0.984852135181427,0.9811956882476807,0.03825817257165909,0.5921152532100677,0.8058693321473385,0.6194473543000761,0.43928619796506296,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}"
2,0.9344576597213745,0.8328757286071777,0.015931665897369385,0.016902565956115723,0.6400043318171973,0.4705434002869441,0.5662398871262966,"{0: 2, 1: 2, 2: 2, 3: 3, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 2}"
3,0.8855781555175781,0.8252711296081543,0.014957265928387642,0.2246837019920349,0.7108254171233711,0.5992561140186301,0.5809546328705636,"{0: 3, 1: 3, 2: 3, 3: 2, 4: 3, 5: 3, 6: 3, 7: 3, 8: 3, 9: 3}"
4,0.8955186605453491,0.8482706546783447,0.013468718156218529,0.1203983724117279,0.6804725299210594,0.5994136960600376,0.5795860361302922,"{0: 4, 1: 4, 2: 4, 3: 4, 4: 4, 5: 4, 6: 4, 7: 4, 8: 4, 9: 4}"
5,0.867505669593811,0.7552773356437683,0.011850222945213318,0.10977634787559509,0.6061064425770308,0.5397217365967366,0.5628983016916352,"{0: 5, 1: 5, 2: 5, 3: 5, 4: 5, 5: 5, 6: 5, 7: 5, 8: 5, 9: 5}"
6,0.7835127711296082,0.6339196562767029,0.010793881490826607,0.06598225235939026,0.7189118488407107,0.6338388236993483,0.5632756467439786,"{0: 6, 1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: 7, 7: 7, 8: 6, 9: 7}"
7,0.7121407985687256,0.5642234086990356,0.01015596091747284,0.09104526042938232,0.671046063774347,0.5914340754944782,0.5590862473554945,"{0: 7, 1: 7, 2: 7, 3: 7, 4: 7, 5: 7, 6: 6, 7: 6, 8: 7, 9: 6}"
8,0.7557539939880371,0.6113585233688354,0.009240567684173584,0.03474026918411255,0.5946128532713899,0.561344537815126,0.5430441721132897,"{0: 8, 1: 8, 2: 9, 3: 9, 4: 10, 5: 8, 6: 8, 7: 8, 8: 8, 9: 8}"
9,0.6277174949645996,0.4593978226184845,0.00882313959300518,0.031232476234436035,0.6228658536585365,0.5516225385352902,0.5491201268221833,"{0: 9, 1: 9, 2: 9, 3: 8, 4: 9, 5: 10, 6: 10, 7: 10, 8: 9, 9: 10}"
10,0.565779983997345,0.5055729150772095,0.008766026236116886,0.06259086728096008,0.6148642065521861,0.5453559255219447,0.5387185452109879,"{0: 10, 1: 10, 2: 10, 3: 10, 4: 8, 5: 10, 6: 9, 7: 9, 8: 10, 9: 9}"
