rank,edge_idx,region_i,region_j,loading,abs_load
1,13413,39,193,0.07058274,0.07058274
2,31015,100,166,-0.067180865,0.067180865
3,13776,40,237,0.06166188,0.06166188
4,30497,98,167,0.060791258,0.060791258
5,51711,198,331,0.058398996,0.058398996
6,12450,36,193,0.057902493,0.057902493
7,57119,237,240,0.056375906,0.056375906
8,12127,35,193,0.055557083,0.055557083
9,63882,321,325,0.055139314,0.055139314
10,51705,198,325,0.053948827,0.053948827
11,56492,232,233,0.05350781,0.05350781
12,24752,77,113,0.053274218,0.053274218
13,16726,50,52,0.05265079,0.05265079
14,14411,42,237,0.052514274,0.052514274
15,12772,37,193,0.05228759,0.05228759
16,50780,193,215,0.051308703,0.051308703
17,49747,187,193,0.051275913,0.051275913
18,57120,237,241,0.050963372,0.050963372
19,51379,196,322,-0.050725687,0.050725687
20,27844,88,169,-0.049955856,0.049955856
21,55937,227,323,0.049177885,0.049177885
22,50923,193,358,0.04834498,0.04834498
23,49786,187,232,0.04682899,0.04682899
24,57121,237,242,0.0467888,0.0467888
25,23297,72,78,-0.046378016,0.046378016
26,30443,98,113,0.046128456,0.046128456
27,30431,98,101,0.04603701,0.04603701
28,34046,112,167,0.045989934,0.045989934
29,19647,59,237,0.045410495,0.045410495
30,9175,26,193,0.045314573,0.045314573
31,55315,223,235,-0.045026064,0.045026064
32,2888,8,53,-0.044846334,0.044846334
33,8080,23,100,-0.04445004,0.04445004
34,58514,248,359,-0.044267785,0.044267785
35,50781,193,216,0.04422081,0.04422081
36,64430,340,341,-0.043953154,0.043953154
37,56198,229,323,0.043415505,0.043415505
38,64030,325,331,0.043192446,0.043192446
39,63010,302,346,-0.04304322,0.04304322
40,33992,112,113,0.04297804,0.04297804
41,62069,288,294,0.042915896,0.042915896
42,9013,26,31,-0.042835657,0.042835657
43,54182,215,218,-0.042598367,0.042598367
44,56205,229,330,-0.042136516,0.042136516
45,61851,285,292,-0.042050146,0.042050146
46,51255,196,198,0.041925114,0.041925114
47,57237,237,358,0.041574053,0.041574053
48,2933,8,98,-0.041516043,0.041516043
49,63245,307,311,-0.041322604,0.041322604
50,31766,103,146,0.04132072,0.04132072
