pc,explained_var_ratio,AUC_MZ,AUC_DZ,AUC_sibling
1,0.038266152143478394,0.8222576643629276,0.5038236617183987,0.48832748538011694
2,0.016162721440196037,0.6413255360623782,0.4309491677912731,0.5781052631578947
3,0.014942417852580547,0.7327662590820485,0.601889338731444,0.583812865497076
4,0.013610496185719967,0.6928938507885876,0.7004048582995952,0.5619181286549707
5,0.01182619296014309,0.6576289207868156,0.34727845254161044,0.5699649122807018
6,0.011088503524661064,0.7621832358674464,0.680161943319838,0.5559298245614035
7,0.010514847934246063,0.6388445862130072,0.5254161043634727,0.584701754385965
8,0.009393313899636269,0.571150097465887,0.5060728744939271,0.5706666666666668
9,0.008840510621666908,0.6528442317916002,0.5416104363472785,0.49426900584795325
10,0.008667432703077793,0.6716285663654085,0.5677013045434098,0.5830643274853801
