pc,explained_var_ratio,AUC_MZ,AUC_DZ,AUC_sibling,FC_to_PC_R2,FC_to_PC_pearson
1,0.038266152143478394,0.8222576643629276,0.5038236617183987,0.48832748538011694,0.5928389430046082,0.7738034417551007
2,0.016162721440196037,0.6413255360623782,0.4309491677912731,0.5781052631578947,0.00043767690658569336,0.13523007926028133
3,0.014942417852580547,0.7327662590820485,0.601889338731444,0.583812865497076,0.25608330965042114,0.5305894264569863
4,0.013610496185719967,0.6928938507885876,0.7004048582995952,0.5619181286549707,0.09054595232009888,0.3168864279371392
5,0.01182619296014309,0.6576289207868156,0.34727845254161044,0.5699649122807018,0.0917809009552002,0.30372031443443137
6,0.011088503524661064,0.7621832358674464,0.680161943319838,0.5559298245614035,0.033778488636016846,0.20892122712467565
7,0.010514847934246063,0.6388445862130072,0.5254161043634727,0.584701754385965,0.05128312110900879,0.2881666339082154
8,0.009393313899636269,0.571150097465887,0.5060728744939271,0.5706666666666668,0.06848865747451782,0.2739441781124294
9,0.008840510621666908,0.6528442317916002,0.5416104363472785,0.49426900584795325,0.05038857460021973,0.23091824588963128
10,0.008667432703077793,0.6716285663654085,0.5677013045434098,0.5830643274853801,0.07778698205947876,0.28708373102142226
