K_PCA,K_PLS,FC_to_SC_dp,SC_to_FC_dp,ratio
64,16,0.13924047350883484,0.07257992774248123,1.9184432644087217
64,32,0.13474760949611664,0.07273649424314499,1.852544735599707
64,64,0.1310490369796753,0.07423745095729828,1.7652685442426532
128,16,0.14795762300491333,0.08472774177789688,1.7462712908455136
128,32,0.14469461143016815,0.08320129662752151,1.7390908230426032
128,64,0.14334365725517273,0.09027878195047379,1.5877890037751052
128,128,0.14084400236606598,0.08652917295694351,1.6277054033111962
256,16,0.13027414679527283,0.0730481743812561,1.78340044633204
256,32,0.1346500664949417,0.08152864873409271,1.651567499102132
256,64,0.1322067528963089,0.08489642292261124,1.5572711822831946
256,128,0.13204450905323029,0.07947062700986862,1.6615511167016848
512,16,0.11859480291604996,0.0157487690448761,7.530417302972328
512,32,0.11223727464675903,0.017992956563830376,6.2378450283362294
512,64,0.10896848887205124,0.02739316038787365,3.977945126780231
512,128,0.1084563359618187,0.040089190006256104,2.7053760862939256
