rep,estimator,target,seed,pearson,spearman,r2
bv+demo,linear_BR,CogTotalComp_Unadj,0,0.3993057878403684,0.3507458181410229,0.15192126812462092
bv+demo,HGB,CogTotalComp_Unadj,0,0.3925816482259794,0.34629023777653195,0.11424900406945226
bv+demo,KR,CogTotalComp_Unadj,0,0.2628937790081266,0.20847562737189437,0.04071983853818739
SC,linear_BR,CogTotalComp_Unadj,0,0.3175630371330622,0.2969728026520437,0.09117923877481182
SC,HGB,CogTotalComp_Unadj,0,0.24841340088320174,0.2378772587677495,0.028877829617704687
SC,KR,CogTotalComp_Unadj,0,0.2902884786568196,0.28528987704696773,-0.933076278016044
r2t,linear_BR,CogTotalComp_Unadj,0,0.2575759637708793,0.23801331111539742,0.029373114303641312
r2t,HGB,CogTotalComp_Unadj,0,0.20329309428371287,0.18647563310853738,0.03258278682822058
r2t,KR,CogTotalComp_Unadj,0,-0.07933469065460999,-0.0860900784106173,-0.2891719832705837
r2t_corr,linear_BR,CogTotalComp_Unadj,0,0.21174892361385794,0.18397074022416263,0.04127175794044069
r2t_corr,HGB,CogTotalComp_Unadj,0,0.09711098988699716,0.08902173725954135,0.008946711431734755
r2t_corr,KR,CogTotalComp_Unadj,0,0.15566093707439166,0.1550757160067688,-0.5708759474686622
FC,linear_BR,CogTotalComp_Unadj,0,0.5651240920975282,0.5753010827096615,0.2783095932874098
FC,HGB,CogTotalComp_Unadj,0,0.43420090128185485,0.4199032151245873,0.13272627232829382
FC,KR,CogTotalComp_Unadj,0,0.3637321596947663,0.3279264740726392,-1.1694679386463775
SC_r2t,linear_BR,CogTotalComp_Unadj,0,0.25757523748887856,0.23801331111539742,0.029372519546420506
SC_r2t,HGB,CogTotalComp_Unadj,0,0.20329309428371287,0.18647563310853738,0.03258278682822058
SC_r2t,KR,CogTotalComp_Unadj,0,-0.07933509561842671,-0.0860900784106173,-0.28917246836248145
bv+demo,linear_BR,CogFluidComp_Unadj,0,0.3545011756586295,0.33769592418708466,0.11781946991328152
bv+demo,HGB,CogFluidComp_Unadj,0,0.3138931149950483,0.31669775104260617,0.09148627864051817
bv+demo,KR,CogFluidComp_Unadj,0,0.18830767069359716,0.18378845242078454,-0.031835703457297804
SC,linear_BR,CogFluidComp_Unadj,0,0.25317698886352724,0.24763633644403757,0.049938903614949015
SC,HGB,CogFluidComp_Unadj,0,0.09299119821958239,0.09651756700808568,0.007630669789794098
SC,KR,CogFluidComp_Unadj,0,0.19689403376369874,0.19245254799131964,-1.5060348109732384
r2t,linear_BR,CogFluidComp_Unadj,0,0.12402028371600136,0.12380543053053218,-0.12182138103700635
r2t,HGB,CogFluidComp_Unadj,0,0.10994206696065743,0.09130007630329519,0.010275505494566683
