rep,estimator,direction,seed,mse,r2,pearson,avg_rank,top1_acc,demeaned_pearson
SC,linear_PLS,FC->SC,0,0.005551474168896675,-0.023459112271666527,0.9127845168113708,0.8533070348454964,0.15384615384615385,0.1322067528963089
SC,linear_PLS,SC->FC,0,0.01397903636097908,-0.06215914711356163,0.8307310938835144,0.7124260355029586,0.03076923076923077,0.08489642292261124
SC,KR,FC->SC,0,0.00541910482570529,0.00017432316963095218,0.9151973128318787,0.8942274819197896,0.14871794871794872,0.13118167221546173
SC,KR,SC->FC,0,0.013453671708703041,-0.022363610565662384,0.8373467922210693,0.7173964497041421,0.035897435897435895,0.07829546183347702
r2t,linear_PLS,FC->r2t,0,534467.0,0.2971825897693634,0.8464491367340088,0.7128468113083498,0.03076923076923077,0.11234594136476517
r2t,linear_PLS,r2t->FC,0,0.015064779669046402,-0.14031565189361572,0.8176239728927612,0.6081788297172912,0.015384615384615385,0.03969129920005798
r2t,KR,FC->r2t,0,515915.25,0.5913451910018921,0.8529207706451416,0.7331229454306377,0.05641025641025641,0.11282935738563538
r2t,KR,r2t->FC,0,0.013753319159150124,-0.04307398945093155,0.8332114815711975,0.6183826429980277,0.015384615384615385,0.04796727001667023
r2t_corr,linear_PLS,FC->r2t_corr,0,0.017297422513365746,-0.22749556601047516,0.807390570640564,0.6957790927021696,0.02564102564102564,0.053894806653261185
r2t_corr,linear_PLS,r2t_corr->FC,0,0.014501422643661499,-0.09804592281579971,0.8241947293281555,0.5935042735042735,0.020512820512820513,0.035489875823259354
r2t_corr,KR,FC->r2t_corr,0,0.016710201278328896,-0.11138313263654709,0.8143221139907837,0.7262064431295201,0.02564102564102564,0.05379524081945419
r2t_corr,KR,r2t_corr->FC,0,0.013668319210410118,-0.03660985082387924,0.8345251083374023,0.6225115055884287,0.015384615384615385,0.04226108267903328
SC,linear_PLS,FC->SC,1,0.0055367471650242805,-0.014408671297132969,0.9123328328132629,0.8906245890861275,0.1282051282051282,0.13707807660102844
SC,linear_PLS,SC->FC,1,0.01444594468921423,-0.05236267298460007,0.8224368095397949,0.7213149243918475,0.05128205128205128,0.08621387183666229
SC,KR,FC->SC,1,0.005433402955532074,0.002786180702969432,0.9142820835113525,0.9064299802761341,0.15897435897435896,0.12776610255241394
SC,KR,SC->FC,1,0.014023608528077602,-0.021390656009316444,0.8276386260986328,0.7051939513477975,0.041025641025641026,0.07325349748134613
r2t,linear_PLS,FC->r2t,1,528122.5,0.3242255449295044,0.8437992334365845,0.7441420118343196,0.015384615384615385,0.1096457913517952
r2t,linear_PLS,r2t->FC,1,0.01534152589738369,-0.11399699002504349,0.8114857077598572,0.6277186061801446,0.015384615384615385,0.05158357694745064
r2t,KR,FC->r2t,1,509587.21875,0.6218482255935669,0.8494408130645752,0.7517422748191979,0.03076923076923077,0.11376708745956421
r2t,KR,r2t->FC,1,0.01431293599307537,-0.04027920588850975,0.8240353465080261,0.6345825115055884,0.005128205128205128,0.04677886143326759
r2t_corr,linear_PLS,FC->r2t_corr,1,0.017520785331726074,-0.07405231893062592,0.8051842451095581,0.7234451019066404,0.020512820512820513,0.05827754735946655
