source,estimator,seed,mse,r2,pearson,avg_rank,top1_acc,demeaned_pearson
SC,linear,0,0.01397903636097908,-0.06215914711356163,0.8307310938835144,0.7124260355029586,0.03076923076923077,0.08489642292261124
SC,KR,0,0.013453671708703041,-0.022363610565662384,0.8373467922210693,0.7173964497041421,0.035897435897435895,0.07829546183347702
SC_r2t,linear,0,0.014163870364427567,-0.0753125250339508,0.8285534977912903,0.6947271531886916,0.015384615384615385,0.0730142891407013
SC_r2t,KR,0,0.013456761837005615,-0.022120678797364235,0.8370993733406067,0.6923602892833662,0.041025641025641026,0.07292081415653229
SC,linear,1,0.01444594468921423,-0.05236267298460007,0.8224368095397949,0.7213149243918475,0.05128205128205128,0.08621387183666229
SC,KR,1,0.014023608528077602,-0.021390656009316444,0.8276386260986328,0.7051939513477975,0.041025641025641026,0.07325349748134613
SC_r2t,linear,1,0.014486024156212807,-0.05482816696166992,0.821854829788208,0.7238132807363576,0.02564102564102564,0.08606170117855072
SC_r2t,KR,1,0.014032077975571156,-0.021334867924451828,0.8275778889656067,0.6982511505588429,0.015384615384615385,0.06752628833055496
SC,linear,2,0.0143186179921031,-0.05061308294534683,0.8277159333229065,0.7081919789612097,0.05128205128205128,0.08343001455068588
SC,KR,2,0.01381649449467659,-0.015114323236048222,0.8343623280525208,0.7328862590401052,0.046153846153846156,0.08418166637420654
SC_r2t,linear,2,0.014467831701040268,-0.06154131516814232,0.8262508511543274,0.7044575936883629,0.020512820512820513,0.07892835885286331
SC_r2t,KR,2,0.013847795315086842,-0.016938768327236176,0.833823025226593,0.6966732412886258,0.03076923076923077,0.07408664375543594
SC,linear,3,0.014168135821819305,-0.06334134191274643,0.8249361515045166,0.6976199868507561,0.05641025641025641,0.07326773554086685
SC,KR,3,0.013570353388786316,-0.01852148212492466,0.8318893313407898,0.7301249178172255,0.046153846153846156,0.08608067035675049
SC_r2t,linear,3,0.0142697524279356,-0.07032745331525803,0.8234606385231018,0.6781328073635766,0.06153846153846154,0.07210203260183334
SC_r2t,KR,3,0.013561996631324291,-0.017846744507551193,0.8318206071853638,0.7150821827744904,0.05641025641025641,0.08285243064165115
SC,linear,4,0.01427091658115387,-0.04866055026650429,0.8317715525627136,0.7438001314924392,0.05641025641025641,0.09147221595048904
SC,KR,4,0.01387391984462738,-0.019909225404262543,0.8367122411727905,0.7332544378698225,0.07692307692307693,0.08479122072458267
SC_r2t,linear,4,0.014542398042976856,-0.06605910509824753,0.8281324505805969,0.6995923734385272,0.03076923076923077,0.07968844473361969
SC_r2t,KR,4,0.013891002163290977,-0.019873710349202156,0.8362014889717102,0.7059829059829059,0.05641025641025641,0.08028966933488846
SC,linear,5,0.014075995422899723,-0.06029745191335678,0.8324829936027527,0.7131886916502301,0.05641025641025641,0.08463431894779205
SC,KR,5,0.013547261245548725,-0.021096279844641685,0.8390888571739197,0.7373570019723865,0.05641025641025641,0.07918351888656616
SC_r2t,linear,5,0.014091460034251213,-0.061025384813547134,0.8316891193389893,0.7230506245890861,0.035897435897435895,0.08351592719554901
SC_r2t,KR,5,0.013589555397629738,-0.02375263161957264,0.8383581042289734,0.6958579881656805,0.041025641025641026,0.06675548106431961
SC,linear,6,0.014145704917609692,-0.06198415905237198,0.8307992219924927,0.6869690992767916,0.041025641025641026,0.076863594353199
SC,KR,6,0.01368528138846159,-0.026465319097042084,0.8366699814796448,0.6959368836291913,0.05128205128205128,0.07201867550611496
SC_r2t,linear,6,0.014257842674851418,-0.06956103444099426,0.8293625116348267,0.6912294543063774,0.06666666666666667,0.07545152306556702
SC_r2t,KR,6,0.01366417482495308,-0.025108778849244118,0.8369485139846802,0.6946745562130178,0.05128205128205128,0.0719618946313858
SC,linear,7,0.014533364214003086,-0.04997991770505905,0.82090163230896,0.7385667324128863,0.06666666666666667,0.10091429203748703
SC,KR,7,0.01414203830063343,-0.02215977944433689,0.8259011507034302,0.7332807363576594,0.05128205128205128,0.08927314728498459
SC_r2t,linear,7,0.014506088569760323,-0.04933706670999527,0.821085512638092,0.7499013806706114,0.05128205128205128,0.10701407492160797
SC_r2t,KR,7,0.014114541932940483,-0.020200908184051514,0.8260711431503296,0.7264694280078896,0.05128205128205128,0.08642671257257462
SC,linear,8,0.014496534131467342,-0.05510609224438667,0.8307790756225586,0.7249178172255095,0.041025641025641026,0.08476299047470093
SC,KR,8,0.014010487124323845,-0.01993914321064949,0.8368697762489319,0.7282840236686391,0.02564102564102564,0.0794118270277977
SC_r2t,linear,8,0.014560540206730366,-0.060584355145692825,0.8295203447341919,0.7099539776462853,0.035897435897435895,0.07922913879156113
SC_r2t,KR,8,0.013976202346384525,-0.017300181090831757,0.8370246887207031,0.722603550295858,0.03076923076923077,0.08054329454898834
SC,linear,9,0.014365369454026222,-0.05920897051692009,0.826097846031189,0.6929404414827156,0.04081632653061224,0.07565724104642868
SC,KR,9,0.01378732081502676,-0.018215831369161606,0.8334869146347046,0.7324552269887548,0.07142857142857142,0.08291465044021606
SC_r2t,linear,9,0.01447884738445282,-0.06732801347970963,0.8247741460800171,0.696740941274469,0.05102040816326531,0.07450652867555618
SC_r2t,KR,9,0.01382661983370781,-0.020368412137031555,0.832963764667511,0.7061120366513953,0.061224489795918366,0.07113057374954224
