estimator,metric,median_SC,median_SC_r2t,median_delta,wilcoxon_p_greater
linear,demeaned_pearson,0.08469865471124649,0.07907874882221222,-0.0012888871133327484,0.9814453125
linear,pearson,0.8292235136032104,0.8271916508674622,-0.0013802051544189453,0.9990234375
linear,top1_acc,0.05128205128205128,0.035897435897435895,-0.015384615384615385,0.9404296875
linear,avg_rank,0.7128073635765944,0.7020249835634451,-0.000618014464168315,0.8125
linear,mse,0.014294767286628485,0.014473339542746544,0.00010687718167901039,0.0029296875
linear,r2,-0.05715753138065338,-0.06380021013319492,-0.00728149339556694,0.9990234375
KR,demeaned_pearson,0.08116323873400688,0.07350372895598412,-0.004938099533319473,0.998046875
KR,pearson,0.8355161547660828,0.8350122570991516,-0.00015807151794433594,0.9345703125
KR,top1_acc,0.04871794871794872,0.046153846153846156,-0.005102040816326529,0.94921875
KR,avg_rank,0.7312900724029902,0.7021170282708744,-0.020039447731755478,1.0
KR,mse,0.013801907654851675,0.013837207574397326,5.77978789806366e-06,0.2783203125
KR,r2,-0.020517711527645588,-0.020284660160541534,0.00014935992658138275,0.384765625
