rep,target,variant,seed,pearson,spearman,r2
bv+demo,CogTotalComp_Unadj,template,0,0.3988347579284366,0.340071259848653,0.15170900404564447
bv+demo,CogTotalComp_Unadj,final,0,0.36985915328046604,0.3124673073902332,0.13477298935892135
SC,CogTotalComp_Unadj,template,0,0.2548287575042657,0.21949534806959156,0.05553592080052161
SC,CogTotalComp_Unadj,final,0,0.2593045812258332,0.22775130407891858,0.06029412329536932
r2t,CogTotalComp_Unadj,template,0,0.23819259572935053,0.22795182700010871,0.054651639322018664
r2t,CogTotalComp_Unadj,final,0,0.23389153617658212,0.21981996509364932,0.008941573508615908
r2t_corr,CogTotalComp_Unadj,template,0,0.19881053679942437,0.1940626315037302,0.03175876556652535
r2t_corr,CogTotalComp_Unadj,final,0,0.1993987008643945,0.19377992705746216,0.022239856194986807
SC_r2t,CogTotalComp_Unadj,template,0,0.23819293426245042,0.22795182700010871,0.05465179069790249
SC_r2t,CogTotalComp_Unadj,final,0,0.2338916687063372,0.21981996509364932,0.00894177597380763
FC,CogTotalComp_Unadj,template,0,0.5206255430579033,0.5311013930770082,0.22243532393409693
FC,CogTotalComp_Unadj,final,0,0.5222311691297935,0.5311975454613493,0.26558205823666314
bv+demo,CogFluidComp_Unadj,template,0,0.3687573140012625,0.34792798849029377,0.12567882283602516
bv+demo,CogFluidComp_Unadj,final,0,0.33101977316579567,0.31508446733198897,0.10953905834082434
SC,CogFluidComp_Unadj,template,0,0.17279295568032194,0.13789331731471924,0.022521998808300303
SC,CogFluidComp_Unadj,final,0,0.1672478028107031,0.13562765180319827,0.01612505616012283
r2t,CogFluidComp_Unadj,template,0,0.12932086600252973,0.1364675176547668,0.0023580249357629812
r2t,CogFluidComp_Unadj,final,0,0.1292749889699155,0.13020221701645132,-0.1005537683897213
r2t_corr,CogFluidComp_Unadj,template,0,0.09754323207045092,0.07791933507648964,0.005943587500823244
r2t_corr,CogFluidComp_Unadj,final,0,0.09832324729410127,0.07493460633588606,-0.07238292307532213
SC_r2t,CogFluidComp_Unadj,template,0,0.12932081050284522,0.1364675176547668,0.002358145056738925
SC_r2t,CogFluidComp_Unadj,final,0,0.1292751681896918,0.13020221701645132,-0.10055321902999825
FC,CogFluidComp_Unadj,template,0,0.404193807123117,0.40737191840537096,0.11251019953221508
FC,CogFluidComp_Unadj,final,0,0.4068424894380634,0.41069440141700647,0.1605264317459164
bv+demo,CogCrystalComp_Unadj,template,0,0.29330328503339864,0.2673714876279102,0.07039533807669007
bv+demo,CogCrystalComp_Unadj,final,0,0.28479954080482334,0.27439531745199586,0.05870340326646806
SC,CogCrystalComp_Unadj,template,0,0.24572830445495417,0.24955428224403264,0.055696104938293245
SC,CogCrystalComp_Unadj,final,0,0.24912928363372988,0.2590484095352063,0.0378212396246379
r2t,CogCrystalComp_Unadj,template,0,0.3016002067001926,0.29597385068246757,0.07216336403585821
r2t,CogCrystalComp_Unadj,final,0,0.3031179677320031,0.29580209680002534,0.07593419324051942
r2t_corr,CogCrystalComp_Unadj,template,0,0.19972901828736206,0.19441635524660328,0.01563500062256329
r2t_corr,CogCrystalComp_Unadj,final,0,0.20277981388571753,0.19509597467617137,0.03465596499021317
SC_r2t,CogCrystalComp_Unadj,template,0,0.3015998810632123,0.29597385068246757,0.07216332588156515
SC_r2t,CogCrystalComp_Unadj,final,0,0.3031177163400196,0.29580209680002534,0.07593383674439413
FC,CogCrystalComp_Unadj,template,0,0.5377726950354222,0.5378287926174025,0.2623308760347035
FC,CogCrystalComp_Unadj,final,0,0.5256630989466409,0.524607030824994,0.27588711056021886
bv+demo,CogTotalComp_Unadj,template,1,0.4177642106628601,0.3991806923451388,0.1704432672746342
bv+demo,CogTotalComp_Unadj,final,1,0.40231912441792084,0.34616724872868276,0.15817344356182816
SC,CogTotalComp_Unadj,template,1,0.22169445275653063,0.23953588395185588,0.0335370298572194
SC,CogTotalComp_Unadj,final,1,0.21819589231274505,0.2339005933005216,0.03175918168997083
r2t,CogTotalComp_Unadj,template,1,0.24258577362889275,0.2140715255941793,0.04715024676701374
r2t,CogTotalComp_Unadj,final,1,0.2417061437877902,0.2212430200457569,0.0405552320521505
r2t_corr,CogTotalComp_Unadj,template,1,0.2225625252411038,0.20930183322101742,0.008632790180499561
r2t_corr,CogTotalComp_Unadj,final,1,0.22373293247419565,0.20681525168342704,0.04529338615579115
SC_r2t,CogTotalComp_Unadj,template,1,0.24258703967836254,0.2140715255941793,0.04715065421414666
SC_r2t,CogTotalComp_Unadj,final,1,0.24170741262653392,0.2212430200457569,0.04055608605094041
FC,CogTotalComp_Unadj,template,1,0.4420143203764489,0.40503810517951055,0.18097835286254305
FC,CogTotalComp_Unadj,final,1,0.4382765602083268,0.4003591268276655,0.18776478369496563
bv+demo,CogFluidComp_Unadj,template,1,0.3525992075214872,0.3350028060031231,0.11555182781277096
bv+demo,CogFluidComp_Unadj,final,1,0.3214428630827066,0.31554813693338246,0.10265168270833791
SC,CogFluidComp_Unadj,template,1,0.15894296664172894,0.169989505041724,0.015255075450295918
SC,CogFluidComp_Unadj,final,1,0.14985475197797263,0.16269220270383014,0.009034263191004532
r2t,CogFluidComp_Unadj,template,1,0.19322908249701123,0.13134296473271995,0.033820682111375344
r2t,CogFluidComp_Unadj,final,1,0.18888142540249872,0.1327527479329892,0.0034957943525927293
r2t_corr,CogFluidComp_Unadj,template,1,0.2169800345114689,0.2055698752177693,0.004526660040228836
r2t_corr,CogFluidComp_Unadj,final,1,0.21417055288773051,0.20760859060705622,0.04393030256212538
SC_r2t,CogFluidComp_Unadj,template,1,0.19322951004894623,0.13134296473271995,0.03382071373901918
SC_r2t,CogFluidComp_Unadj,final,1,0.188881859944225,0.1327527479329892,0.003496362813128484
FC,CogFluidComp_Unadj,template,1,0.3147570912890689,0.28345967409718825,0.08790666164239269
FC,CogFluidComp_Unadj,final,1,0.32615155900446413,0.2941301137494966,0.10181606396467757
bv+demo,CogCrystalComp_Unadj,template,1,0.38278451542193753,0.3658737923355553,0.13893181087678175
bv+demo,CogCrystalComp_Unadj,final,1,0.3861587112285013,0.36187579585358703,0.13635482845900593
SC,CogCrystalComp_Unadj,template,1,0.1687231391306052,0.16413069873887667,0.02192031840749553
SC,CogCrystalComp_Unadj,final,1,0.17032720769358584,0.16296047325268492,-0.020381404081301513
