rep,target,variant,pearson,spearman,r2
FC,CogCrystalComp_Unadj,final,0.45380277968006816,0.4284679766791679,0.19754047340494135
FC,CogCrystalComp_Unadj,template,0.45161536614752135,0.4305848310014686,0.1964610387210079
FC,CogFluidComp_Unadj,final,0.30963630246676477,0.29263688716073055,0.07800375599010839
FC,CogFluidComp_Unadj,template,0.30571311694502756,0.288142983628606,0.08668010077820959
FC,CogTotalComp_Unadj,final,0.43491156900610217,0.3978027795980501,0.1847376114289142
FC,CogTotalComp_Unadj,template,0.4363710175769344,0.4030429469487238,0.17230618122083607
SC,CogCrystalComp_Unadj,final,0.19227649590469342,0.1797006581376884,-0.006414844423195898
SC,CogCrystalComp_Unadj,template,0.19361702941691622,0.18032394660031265,0.028538772073975094
SC,CogFluidComp_Unadj,final,0.12011401781905864,0.11674450600328615,-0.019651685605378666
SC,CogFluidComp_Unadj,template,0.12767738221035585,0.11927709273647248,0.010678050911214043
SC,CogTotalComp_Unadj,final,0.1920442320150473,0.1808444537758401,-0.004329504362313663
SC,CogTotalComp_Unadj,template,0.19720622146928143,0.1813601880896889,0.029634895552075546
SC_r2t,CogCrystalComp_Unadj,final,0.16211222332788328,0.16196110868963462,-0.09938810841961421
SC_r2t,CogCrystalComp_Unadj,template,0.1645741918342757,0.16319476995692703,0.004628596673161289
SC_r2t,CogFluidComp_Unadj,final,0.13113591793361842,0.12980410103718554,-0.05328104873160222
SC_r2t,CogFluidComp_Unadj,template,0.1282046940791803,0.12893467874013312,0.009247583262252834
SC_r2t,CogTotalComp_Unadj,final,0.1761384974357133,0.174663700100387,-0.04551734200232649
SC_r2t,CogTotalComp_Unadj,template,0.17339195628995718,0.17528937775800624,0.02687254850415799
bv+demo,CogCrystalComp_Unadj,final,0.33584068055906796,0.3266003082012947,0.07740392789245598
bv+demo,CogCrystalComp_Unadj,template,0.3485795941505272,0.3493281548279997,0.09951646211499293
bv+demo,CogFluidComp_Unadj,final,0.2659399757279667,0.2433855677934662,0.06444906440051046
bv+demo,CogFluidComp_Unadj,template,0.2977730271650231,0.2878313864900405,0.08178139606454621
bv+demo,CogTotalComp_Unadj,final,0.3526337259106035,0.3167474988491845,0.10329820756604374
bv+demo,CogTotalComp_Unadj,template,0.3731435576568932,0.3448934638872634,0.13220009932830074
r2t,CogCrystalComp_Unadj,final,0.1621117301590851,0.16196110868963462,-0.0993877138982715
r2t,CogCrystalComp_Unadj,template,0.1645734783909981,0.16319476995692703,0.004628624203261933
r2t,CogFluidComp_Unadj,final,0.1311357531167823,0.12980410103718554,-0.053280716123849325
r2t,CogFluidComp_Unadj,template,0.12820452794240245,0.12893467874013312,0.00924746808352822
r2t,CogTotalComp_Unadj,final,0.1761378781564748,0.174663700100387,-0.04551766652486011
r2t,CogTotalComp_Unadj,template,0.17339180008480606,0.17528937775800624,0.026871879871789073
r2t_corr,CogCrystalComp_Unadj,final,0.035653222849051654,0.03521840543581152,-0.10018380494770984
r2t_corr,CogCrystalComp_Unadj,template,0.03253365250237437,0.03193855513221908,-0.013724076847694833
r2t_corr,CogFluidComp_Unadj,final,0.09916662838608979,0.07622109026224724,-0.06215961406607695
r2t_corr,CogFluidComp_Unadj,template,0.10040205498543078,0.08009131275571649,0.0036214843871417712
r2t_corr,CogTotalComp_Unadj,final,0.1013718758434614,0.1007824195339999,-0.07235152929145106
r2t_corr,CogTotalComp_Unadj,template,0.10409251397990446,0.10126214448269252,-0.010120377598604069
