rep,direction,variant,seed,mse,r2,pearson,avg_rank,top1_acc,demeaned_pearson
SC,FC->SC,template,0,0.005551474168896675,-0.023459112271666527,0.9127845168113708,0.8533070348454964,0.15384615384615385,0.1322067528963089
SC,FC->SC,final,0,0.00584479421377182,-0.07892197370529175,0.9080248475074768,0.8496778435239973,0.14871794871794872,0.1373007893562317
SC,SC->FC,template,0,0.01397903636097908,-0.06215914711356163,0.8307310938835144,0.7124260355029586,0.03076923076923077,0.08489642292261124
SC,SC->FC,final,0,0.015009521506726742,-0.14010637998580933,0.8184243440628052,0.7055358316896778,0.035897435897435895,0.08653632551431656
r2t,FC->r2t,template,0,534467.0,0.2971825897693634,0.8464491367340088,0.7128468113083498,0.03076923076923077,0.11234594136476517
r2t,FC->r2t,final,0,569946.4375,-0.19286657869815826,0.8356848955154419,0.7051413543721237,0.035897435897435895,0.11796705424785614
r2t,r2t->FC,template,0,0.015064779669046402,-0.14031565189361572,0.8176239728927612,0.6081788297172912,0.015384615384615385,0.03969129920005798
r2t,r2t->FC,final,0,0.016643522307276726,-0.2585768401622772,0.7987022995948792,0.5997633136094676,0.02564102564102564,0.04481519013643265
r2t_corr,FC->r2t_corr,template,0,0.017297422513365746,-0.22749556601047516,0.807390570640564,0.6957790927021696,0.02564102564102564,0.053894806653261185
r2t_corr,FC->r2t_corr,final,0,0.0183526910841465,-0.434201180934906,0.7955352067947388,0.7013280736357659,0.020512820512820513,0.05666434019804001
r2t_corr,r2t_corr->FC,template,0,0.014501422643661499,-0.09804592281579971,0.8241947293281555,0.5935042735042735,0.020512820512820513,0.035489875823259354
r2t_corr,r2t_corr->FC,final,0,0.015683189034461975,-0.18645329773426056,0.8098827004432678,0.6069690992767915,0.015384615384615385,0.0395614318549633
SC,FC->SC,template,1,0.0055367471650242805,-0.014408671297132969,0.9123328328132629,0.8906245890861275,0.1282051282051282,0.13707807660102844
SC,FC->SC,final,1,0.005827173590660095,-0.06351005285978317,0.9076052308082581,0.8806311637080868,0.1076923076923077,0.13884176313877106
SC,SC->FC,template,1,0.01444594468921423,-0.05236267298460007,0.8224368095397949,0.7213149243918475,0.05128205128205128,0.08621387183666229
SC,SC->FC,final,1,0.015400375239551067,-0.12147290259599686,0.8112972974777222,0.7099802761341223,0.035897435897435895,0.08640950173139572
r2t,FC->r2t,template,1,528122.5,0.3242255449295044,0.8437992334365845,0.7441420118343196,0.015384615384615385,0.1096457913517952
r2t,FC->r2t,final,1,563169.625,-0.12438800185918808,0.8335904479026794,0.738698224852071,0.02564102564102564,0.1157626062631607
r2t,r2t->FC,template,1,0.01534152589738369,-0.11399699002504349,0.8114857077598572,0.6277186061801446,0.015384615384615385,0.05158357694745064
r2t,r2t->FC,final,1,0.01685413345694542,-0.2219117283821106,0.7944475412368774,0.6252465483234714,0.015384615384615385,0.05256420001387596
r2t_corr,FC->r2t_corr,template,1,0.017520785331726074,-0.07405231893062592,0.8051842451095581,0.7234451019066404,0.020512820512820513,0.05827754735946655
r2t_corr,FC->r2t_corr,final,1,0.018569011241197586,-0.14935557544231415,0.7934977412223816,0.7299671268902038,0.03076923076923077,0.06275290995836258
r2t_corr,r2t_corr->FC,template,1,0.015164008364081383,-0.0994567945599556,0.8134973645210266,0.5857199211045365,0.005128205128205128,0.024384576827287674
r2t_corr,r2t_corr->FC,final,1,0.01642814464867115,-0.1890421211719513,0.7988005876541138,0.5893491124260355,0.015384615384615385,0.028021177276968956
SC,FC->SC,template,2,0.005528537556529045,-0.03353936970233917,0.9123838543891907,0.8578829717291255,0.07692307692307693,0.12221765518188477
SC,FC->SC,final,2,0.005828083027154207,-0.09018795192241669,0.9076215028762817,0.8579355687047995,0.1076923076923077,0.12949715554714203
SC,SC->FC,template,2,0.0143186179921031,-0.05061308294534683,0.8277159333229065,0.7081919789612097,0.05128205128205128,0.08343001455068588
SC,SC->FC,final,2,0.015189919620752335,-0.11429990082979202,0.8173050284385681,0.7135831689677843,0.046153846153846156,0.0884871780872345
r2t,FC->r2t,template,2,545749.0,0.2583622634410858,0.845878005027771,0.7416173570019724,0.010256410256410256,0.10782069712877274
r2t,FC->r2t,final,2,580768.25,-0.30074548721313477,0.835567057132721,0.7342800788954635,0.010256410256410256,0.11324882507324219
r2t,r2t->FC,template,2,0.015450926497578621,-0.13036195933818817,0.814567506313324,0.602051282051282,0.015384615384615385,0.0475134439766407
r2t,r2t->FC,final,2,0.0170796737074852,-0.2473631352186203,0.7966951727867126,0.5997896120973044,0.020512820512820513,0.04956177622079849
r2t_corr,FC->r2t_corr,template,2,0.01715557835996151,-0.06718660891056061,0.8082272410392761,0.707560815253123,0.02564102564102564,0.05555726960301399
r2t_corr,FC->r2t_corr,final,2,0.018196919932961464,-0.1361227184534073,0.7965679168701172,0.7170545693622616,0.035897435897435895,0.061565667390823364
r2t_corr,r2t_corr->FC,template,2,0.0147913359105587,-0.08390774577856064,0.8222549557685852,0.614490466798159,0.010256410256410256,0.04051646217703819
r2t_corr,r2t_corr->FC,final,2,0.01587694324553013,-0.1624954491853714,0.8093785047531128,0.6260880999342537,0.010256410256410256,0.04589134082198143
SC,FC->SC,template,3,0.005576807539910078,-0.012368805706501007,0.9125555753707886,0.8823931623931623,0.10256410256410256,0.13632209599018097
SC,FC->SC,final,3,0.005842648912221193,-0.05594680458307266,0.9083538055419922,0.8793425378040762,0.13333333333333333,0.1435515433549881
SC,SC->FC,template,3,0.014168135821819305,-0.06334134191274643,0.8249361515045166,0.6976199868507561,0.05641025641025641,0.07326773554086685
SC,SC->FC,final,3,0.015092375688254833,-0.13223950564861298,0.8141199350357056,0.704930966469428,0.07179487179487179,0.08291375637054443
r2t,FC->r2t,template,3,515036.5625,0.6205102205276489,0.8457684516906738,0.7380933596318211,0.06153846153846154,0.12107005715370178
r2t,FC->r2t,final,3,551743.4375,0.4112401306629181,0.8342351913452148,0.7197370151216305,0.046153846153846156,0.12378470599651337
r2t,r2t->FC,template,3,0.014980987645685673,-0.1217256560921669,0.8140917420387268,0.6098093359631822,0.020512820512820513,0.05358542874455452
r2t,r2t->FC,final,3,0.016446858644485474,-0.2304643988609314,0.7970339059829712,0.6173570019723866,0.020512820512820513,0.05813979730010033
r2t_corr,FC->r2t_corr,template,3,0.017360785976052284,-0.06630460917949677,0.8067636489868164,0.7316239316239317,0.05128205128205128,0.06381207704544067
r2t_corr,FC->r2t_corr,final,3,0.018268682062625885,-0.13108481466770172,0.7966051697731018,0.7515318869165023,0.06666666666666667,0.07173337042331696
r2t_corr,r2t_corr->FC,template,3,0.014543522149324417,-0.08925273269414902,0.8202214241027832,0.6158053911900065,0.010256410256410256,0.038377054035663605
r2t_corr,r2t_corr->FC,final,3,0.015602461993694305,-0.16818521916866302,0.8080164790153503,0.6387376725838264,0.035897435897435895,0.047224342823028564
SC,FC->SC,template,4,0.005429315380752087,-0.023700281977653503,0.9133103489875793,0.8900197238658777,0.11794871794871795,0.1402299553155899
SC,FC->SC,final,4,0.005736982449889183,-0.08039472997188568,0.9083552360534668,0.8813938198553584,0.09230769230769231,0.14508986473083496
SC,SC->FC,template,4,0.01427091658115387,-0.04866055026650429,0.8317715525627136,0.7438001314924392,0.05641025641025641,0.09147221595048904
SC,SC->FC,final,4,0.015116926282644272,-0.11195063591003418,0.8211885690689087,0.7315976331360947,0.06666666666666667,0.09407025575637817
r2t,FC->r2t,template,4,549201.6875,0.32251694798469543,0.8427839279174805,0.7123208415516107,0.02564102564102564,0.1096920520067215
r2t,FC->r2t,final,4,585995.8125,-0.1550549864768982,0.8316130638122559,0.7134253780407627,0.015384615384615385,0.11602310091257095
r2t,r2t->FC,template,4,0.015480071306228638,-0.13104568421840668,0.8160768151283264,0.6051545036160421,0.0,0.0509936660528183
r2t,r2t->FC,final,4,0.017105791717767715,-0.24756038188934326,0.7967621684074402,0.6038395792241946,0.010256410256410256,0.05495374649763107
r2t_corr,FC->r2t_corr,template,4,0.017353734001517296,-1040.4295654296875,0.8069875836372375,0.6927547666009204,0.02564102564102564,0.05356119945645332
r2t_corr,FC->r2t_corr,final,4,0.01843367889523506,-1960.47802734375,0.794798731803894,0.702800788954635,0.041025641025641026,0.05948122590780258
r2t_corr,r2t_corr->FC,template,4,0.014832873828709126,-0.08649733662605286,0.8247793316841125,0.6227218934911243,0.020512820512820513,0.0449017733335495
r2t_corr,r2t_corr->FC,final,4,0.015994634479284286,-0.17065514624118805,0.8105081915855408,0.6309533201840895,0.020512820512820513,0.04777035862207413
SC,FC->SC,template,5,0.005553978029638529,-0.014347217977046967,0.9122107625007629,0.8937015121630506,0.14871794871794872,0.15015706419944763
SC,FC->SC,final,5,0.005826944950968027,-0.0655471608042717,0.9077755808830261,0.8831295200525969,0.15897435897435896,0.15361741185188293
SC,SC->FC,template,5,0.014075995422899723,-0.06029745191335678,0.8324829936027527,0.7131886916502301,0.05641025641025641,0.08463431894779205
SC,SC->FC,final,5,0.015044480562210083,-0.132713183760643,0.8212488293647766,0.7220249835634451,0.05128205128205128,0.08775564283132553
r2t,FC->r2t,template,5,526510.1875,0.2943204939365387,0.8455280065536499,0.7115318869165023,0.020512820512820513,0.11021846532821655
r2t,FC->r2t,final,5,563556.0,-0.21123839914798737,0.8348047733306885,0.7105588428665353,0.03076923076923077,0.11467893421649933
r2t,r2t->FC,template,5,0.014947323128581047,-0.12372695654630661,0.8214430809020996,0.6272452333990794,0.02564102564102564,0.052678171545267105
r2t,r2t->FC,final,5,0.016530372202396393,-0.24062776565551758,0.8031655550003052,0.6184352399737014,0.015384615384615385,0.05270100012421608
r2t_corr,FC->r2t_corr,template,5,0.017364250496029854,-23.08876609802246,0.8076121807098389,0.7125575279421433,0.010256410256410256,0.058036189526319504
r2t_corr,FC->r2t_corr,final,5,0.018414195626974106,-43.01091766357422,0.7958002090454102,0.7166863905325445,0.02564102564102564,0.06257203966379166
r2t_corr,r2t_corr->FC,template,5,0.01441936381161213,-0.08392507582902908,0.8282614946365356,0.6355029585798817,0.015384615384615385,0.049266669899225235
r2t_corr,r2t_corr->FC,final,5,0.015544462017714977,-0.1663922518491745,0.8149386048316956,0.6433399079552926,0.010256410256410256,0.0524914413690567
SC,FC->SC,template,6,0.005478620063513517,-0.029622603207826614,0.9134926795959473,0.8564102564102565,0.1076923076923077,0.13351984322071075
SC,FC->SC,final,6,0.005767469760030508,-0.08886996656656265,0.9087547659873962,0.8620644312952005,0.13333333333333333,0.14079958200454712
SC,SC->FC,template,6,0.014145704917609692,-0.06198415905237198,0.8307992219924927,0.6869690992767916,0.041025641025641026,0.076863594353199
SC,SC->FC,final,6,0.01514486875385046,-0.1369255781173706,0.8189014792442322,0.6871005917159763,0.03076923076923077,0.07872603833675385
r2t,FC->r2t,template,6,538445.125,0.4925355911254883,0.8441947102546692,0.7131360946745562,0.020512820512820513,0.10200585424900055
r2t,FC->r2t,final,6,574098.8125,0.1704045683145523,0.833834707736969,0.7222353714661407,0.010256410256410256,0.111058309674263
r2t,r2t->FC,template,6,0.01524848397821188,-0.14025607705116272,0.8172897100448608,0.5948980933596317,0.020512820512820513,0.03784874826669693
r2t,r2t->FC,final,6,0.016794970259070396,-0.25608232617378235,0.7993389368057251,0.6080210387902696,0.010256410256410256,0.04650077968835831
r2t_corr,FC->r2t_corr,template,6,0.01734134741127491,-40.96036148071289,0.8071699142456055,0.7115581854043392,0.020512820512820513,0.06075839325785637
r2t_corr,FC->r2t_corr,final,6,0.0184171199798584,-72.80573272705078,0.7951042056083679,0.7057462195923734,0.041025641025641026,0.06199277192354202
r2t_corr,r2t_corr->FC,template,6,0.01465633511543274,-0.09570427238941193,0.8246683478355408,0.6043392504930967,0.03076923076923077,0.03338801488280296
r2t_corr,r2t_corr->FC,final,6,0.015904439613223076,-0.18782401084899902,0.8096501231193542,0.5961604207758053,0.041025641025641026,0.034475527703762054
SC,FC->SC,template,7,0.00550629710778594,-0.014118809252977371,0.9122567772865295,0.8674293228139383,0.11794871794871795,0.13357289135456085
SC,FC->SC,final,7,0.005792801268398762,-0.061850350350141525,0.9075226783752441,0.8635897435897436,0.13846153846153847,0.13809730112552643
SC,SC->FC,template,7,0.014533364214003086,-0.04997991770505905,0.82090163230896,0.7385667324128863,0.06666666666666667,0.10091429203748703
SC,SC->FC,final,7,0.01548753958195448,-0.11948341131210327,0.8097934126853943,0.7319921104536489,0.035897435897435895,0.10209304839372635
r2t,FC->r2t,template,7,543667.875,0.6005682349205017,0.8411315083503723,0.7152136752136753,0.041025641025641026,0.1124604269862175
r2t,FC->r2t,final,7,578008.5,0.3614664375782013,0.8311567306518555,0.7142143326758712,0.06153846153846154,0.11772894859313965
r2t,r2t->FC,template,7,0.01547361072152853,-0.11594979465007782,0.8099477291107178,0.6378698224852071,0.02564102564102564,0.060110386461019516
r2t,r2t->FC,final,7,0.016913684085011482,-0.22019723057746887,0.7938337326049805,0.6377120315581855,0.010256410256410256,0.06428162753582001
r2t_corr,FC->r2t_corr,template,7,0.017490416765213013,-314.20062255859375,0.8053026795387268,0.7109007232084155,0.06153846153846154,0.05942189320921898
r2t_corr,FC->r2t_corr,final,7,0.018497370183467865,-666.0547485351562,0.7939385771751404,0.7212097304404996,0.05641025641025641,0.06494347751140594
r2t_corr,r2t_corr->FC,template,7,0.015149880200624466,-0.09096664935350418,0.8142310380935669,0.6097304404996713,0.02564102564102564,0.037007737904787064
r2t_corr,r2t_corr->FC,final,7,0.01629403606057167,-0.1727716475725174,0.8016349673271179,0.6233267587113741,0.035897435897435895,0.04093259200453758
SC,FC->SC,template,8,0.005580130033195019,-0.020934268832206726,0.9116998314857483,0.8811308349769889,0.11794871794871795,0.13998465240001678
SC,FC->SC,final,8,0.0058751520700752735,-0.06993390619754791,0.9071144461631775,0.8748454963839579,0.12307692307692308,0.14529703557491302
SC,SC->FC,template,8,0.014496534131467342,-0.05510609224438667,0.8307790756225586,0.7249178172255095,0.041025641025641026,0.08476299047470093
SC,SC->FC,final,8,0.015446578152477741,-0.12439726293087006,0.8190764784812927,0.7188428665351743,0.03076923076923077,0.08675765991210938
r2t,FC->r2t,template,8,529705.625,-0.47174930572509766,0.8449841737747192,0.7336226166995399,0.03076923076923077,0.11484899371862411
r2t,FC->r2t,final,8,568125.5625,-1.7078468799591064,0.833570122718811,0.7300460223537146,0.041025641025641026,0.12078515440225601
r2t,r2t->FC,template,8,0.01541051547974348,-0.11934775859117508,0.8186554908752441,0.6068902038132807,0.020512820512820513,0.04750069975852966
r2t,r2t->FC,final,8,0.0168131273239851,-0.22085432708263397,0.8015337586402893,0.615568704799474,0.02564102564102564,0.054755158722400665
r2t_corr,FC->r2t_corr,template,8,0.017388757318258286,-4.291780471801758,0.8067263960838318,0.7056410256410257,0.03076923076923077,0.060530129820108414
r2t_corr,FC->r2t_corr,final,8,0.018481912091374397,-8.286432266235352,0.7945889830589294,0.7054043392504931,0.020512820512820513,0.06369715183973312
r2t_corr,r2t_corr->FC,template,8,0.01506113726645708,-0.09268967062234879,0.8240036368370056,0.596344510190664,0.010256410256410256,0.03215071186423302
r2t_corr,r2t_corr->FC,final,8,0.01622822880744934,-0.17696364223957062,0.81016606092453,0.6048389217619987,0.010256410256410256,0.03705091401934624
SC,FC->SC,template,9,0.005457290448248386,-0.02316061407327652,0.9130374193191528,0.8762494793835902,0.1326530612244898,0.13466398417949677
SC,FC->SC,final,9,0.0057381256483495235,-0.07447335869073868,0.908623218536377,0.880466472303207,0.11734693877551021,0.14021220803260803
SC,SC->FC,template,9,0.014365369454026222,-0.05920897051692009,0.826097846031189,0.6929404414827156,0.04081632653061224,0.07565724104642868
