rep,direction,metric,median_template,median_final,median_improvement,wilcoxon_p_improve
SC,FC->SC,demeaned_pearson,0.13549304008483887,0.14050589501857758,0.005203209817409515,0.0009765625
SC,FC->SC,pearson,0.9124697148799896,0.9079002141952515,-0.004730850458145142,1.0
SC,FC->SC,top1_acc,0.11794871794871795,0.1282051282051282,0.007692307692307693,0.1796875
SC,FC->SC,avg_rank,0.8786901571802895,0.8770940170940171,-0.003734385272846863,0.947265625
SC,FC->SC,mse,0.005532642360776663,0.005827059270814061,-0.00028963806107640266,1.0
SC,FC->SC,r2,-0.022047441452741623,-0.0722036324441433,-0.051256343722343445,1.0
SC,SC->FC,demeaned_pearson,0.08469865471124649,0.08664699271321297,0.0022963546216487885,0.0009765625
SC,SC->FC,pearson,0.8292235136032104,0.8178646862506866,-0.011123865842819214,1.0
SC,SC->FC,top1_acc,0.05128205128205128,0.041025641025641026,-0.005128205128205127,0.6962890625
SC,SC->FC,avg_rank,0.7128073635765944,0.7117817225509533,-0.0029717291255753064,0.65234375
SC,SC->FC,mse,0.014294767286628485,0.015167394187301397,-0.000952109694480896,1.0
SC,SC->FC,r2,-0.05715753138065338,-0.12550214678049088,-0.06920070014894009,1.0
r2t,FC->r2t,demeaned_pearson,0.11128220334649086,0.1168760247528553,0.005778636783361435,0.0009765625
r2t,FC->r2t,pearson,0.8452560901641846,0.8340349495410919,-0.01054161787033081,1.0
r2t,FC->r2t,top1_acc,0.028205128205128206,0.03333333333333333,0.002564102564102562,0.3671875
r2t,FC->r2t,avg_rank,0.7212443844623145,0.7209861932938856,-0.0022879684418146695,0.8623046875
r2t,FC->r2t,mse,536456.0625,572022.625,-35566.5625,1.0
r2t,FC->r2t,r2,0.3233712464570999,-0.13972149416804314,-0.46309274062514305,1.0
r2t,r2t->FC,demeaned_pearson,0.0492535550147295,0.05263260006904602,0.004065660759806633,0.0009765625
r2t,r2t->FC,pearson,0.8153221607208252,0.7968980371952057,-0.017911553382873535,1.0
r2t,r2t->FC,top1_acc,0.020512820512820513,0.017948717948717947,0.0,0.6640625
r2t,r2t->FC,avg_rank,0.6089940828402367,0.6151823115834105,-0.0007363576594345278,0.5771484375
r2t,r2t->FC,mse,0.015368718653917313,0.01683363039046526,-0.0015626144595444202,1.0
r2t,r2t->FC,r2,-0.1270444579422474,-0.24258515238761902,-0.11442580074071884,1.0
r2t_corr,FC->r2t_corr,demeaned_pearson,0.05815686844289303,0.06228240579366684,0.005028717219829559,0.0009765625
r2t_corr,FC->r2t_corr,pearson,0.8070787489414215,0.7953197062015533,-0.011749237775802612,1.0
r2t_corr,FC->r2t_corr,top1_acc,0.02564102564102564,0.03333333333333333,0.01282051282051282,0.021484375
r2t_corr,FC->r2t_corr,avg_rank,0.7092307692307692,0.7162409462033817,0.00769926738557597,0.009765625
r2t_corr,FC->r2t_corr,mse,0.01736251823604107,0.018415657803416252,-0.001049085520207882,1.0
r2t_corr,FC->r2t_corr,r2,-6.975657939910889,-13.079636573791504,-6.103978633880615,1.0
r2t_corr,r2t_corr->FC,demeaned_pearson,0.03624880686402321,0.04024701192975044,0.0038591763004660606,0.0009765625
r2t_corr,r2t_corr->FC,pearson,0.8231292963027954,0.8095143139362335,-0.013930737972259521,1.0
r2t_corr,r2t_corr->FC,top1_acc,0.017948717948717947,0.01789638932496075,0.0,0.1015625
r2t_corr,r2t_corr->FC,avg_rank,0.607034845496384,0.6151479289940829,0.008362919132149926,0.0068359375
r2t_corr,r2t_corr->FC,mse,0.014812104869633913,0.01594953704625368,-0.0011644260957837105,1.0
r2t_corr,r2t_corr->FC,r2,-0.09090656787157059,-0.17359209805727005,-0.08386193588376045,1.0
