rep,target,seed,pearson,spearman,r2
bv+demo,CogTotalComp_Unadj,0,0.3988347579284366,0.340071259848653,0.15170900404564447
FC,CogTotalComp_Unadj,0,0.5206255430579033,0.5311013930770082,0.22243532393409693
sink_linear,CogTotalComp_Unadj,0,0.4821844581718049,0.45854168095521836,0.22050643656490831
sink_residual,CogTotalComp_Unadj,0,0.4778179685044019,0.452578589495565,0.22663797606134672
bv+demo,CogFluidComp_Unadj,0,0.3687573140012625,0.34792798849029377,0.12567882283602516
FC,CogFluidComp_Unadj,0,0.404193807123117,0.40737191840537096,0.11251019953221508
sink_linear,CogFluidComp_Unadj,0,0.38016239258002565,0.37462947699241156,0.13386390982876606
sink_residual,CogFluidComp_Unadj,0,0.3668753174636888,0.3560677842435092,0.13078395852189562
bv+demo,CogCrystalComp_Unadj,0,0.29330328503339864,0.2673714876279102,0.07039533807669007
FC,CogCrystalComp_Unadj,0,0.5377726950354222,0.5378287926174025,0.2623308760347035
sink_linear,CogCrystalComp_Unadj,0,0.505139017747742,0.4969061702060306,0.2486757123775467
sink_residual,CogCrystalComp_Unadj,0,0.49851539760481317,0.4946224188217866,0.2392514753178111
bv+demo,CogTotalComp_Unadj,1,0.4177642106628601,0.3991806923451388,0.1704432672746342
FC,CogTotalComp_Unadj,1,0.4420143203764489,0.40503810517951055,0.18097835286254305
sink_linear,CogTotalComp_Unadj,1,0.4419654033097486,0.40942374660261155,0.18668052322376016
sink_residual,CogTotalComp_Unadj,1,0.4297323179086035,0.3992247776639096,0.18028586073743347
bv+demo,CogFluidComp_Unadj,1,0.3525992075214872,0.3350028060031231,0.11555182781277096
FC,CogFluidComp_Unadj,1,0.3147570912890689,0.28345967409718825,0.08790666164239269
sink_linear,CogFluidComp_Unadj,1,0.35950642044660824,0.3087213274855363,0.11540534240375655
sink_residual,CogFluidComp_Unadj,1,0.3362665469416585,0.2921565868161071,0.10938742855105765
bv+demo,CogCrystalComp_Unadj,1,0.38278451542193753,0.3658737923355553,0.13893181087678175
FC,CogCrystalComp_Unadj,1,0.47846541778827856,0.47461354413216916,0.2134853540770011
sink_linear,CogCrystalComp_Unadj,1,0.39771984610677286,0.4067560798966979,0.1507837987378049
sink_residual,CogCrystalComp_Unadj,1,0.39055151750931144,0.4022050203864943,0.10551572151559618
bv+demo,CogTotalComp_Unadj,2,0.43592498221820325,0.37418929578521987,0.17441689622908763
FC,CogTotalComp_Unadj,2,0.5241454886531874,0.5013255116475728,0.2371634013894618
sink_linear,CogTotalComp_Unadj,2,0.4455612543394121,0.4214360260476187,0.19276103991898286
sink_residual,CogTotalComp_Unadj,2,0.43390183103917696,0.4109947181866865,0.1767196959231917
bv+demo,CogFluidComp_Unadj,2,0.33201501564128066,0.28176733790184816,0.09642480907678797
FC,CogFluidComp_Unadj,2,0.27906330442462657,0.26231971028533807,0.07108150900027999
sink_linear,CogFluidComp_Unadj,2,0.32931381188411607,0.3152433645131783,0.10152891114130003
sink_residual,CogFluidComp_Unadj,2,0.319765535954032,0.3085329689920959,0.08019862880264639
bv+demo,CogCrystalComp_Unadj,2,0.4447527882976821,0.3943358575319951,0.18495123380781675
FC,CogCrystalComp_Unadj,2,0.5806218024800773,0.5479917849121133,0.29718066875841775
sink_linear,CogCrystalComp_Unadj,2,0.46892766023663535,0.4868317346109329,0.2123477989071173
sink_residual,CogCrystalComp_Unadj,2,0.46897935709590527,0.4896680137364375,0.21817364346227608
bv+demo,CogTotalComp_Unadj,3,0.3474523573853499,0.35910873248006475,0.112691194610957
FC,CogTotalComp_Unadj,3,0.4460400855752401,0.40104778871793695,0.18287047181238103
sink_linear,CogTotalComp_Unadj,3,0.3342395692194553,0.31858420698552214,0.10369261715929223
sink_residual,CogTotalComp_Unadj,3,0.338128238575781,0.3178421448049539,0.06381792609372516
bv+demo,CogFluidComp_Unadj,3,0.2541761187499937,0.2869047464927765,0.06294119300413581
FC,CogFluidComp_Unadj,3,0.3243852253044343,0.3003554042172242,0.08870109916721114
sink_linear,CogFluidComp_Unadj,3,0.2665534910487562,0.27570530581738506,0.07019868397411555
sink_residual,CogFluidComp_Unadj,3,0.2578576581133505,0.26751935626014084,0.027407926365273116
bv+demo,CogCrystalComp_Unadj,3,0.37917198004446606,0.34884808662948164,0.13429404383540255
FC,CogCrystalComp_Unadj,3,0.4153267361743509,0.3810425888437308,0.1701071080743517
sink_linear,CogCrystalComp_Unadj,3,0.30095889816023524,0.2613253275371415,0.07798466573977669
sink_residual,CogCrystalComp_Unadj,3,0.29778479890222387,0.25525057252589683,0.032747468020184356
bv+demo,CogTotalComp_Unadj,4,0.2848257203450196,0.24757108702031108,0.06075401170069694
FC,CogTotalComp_Unadj,4,0.3900794918719834,0.35460127508085254,0.14613403102337885
sink_linear,CogTotalComp_Unadj,4,0.3659281355771278,0.35680661828046517,0.12729305112418432
sink_residual,CogTotalComp_Unadj,4,0.3384112662279682,0.3344647091379629,0.07535752795097461
bv+demo,CogFluidComp_Unadj,4,0.2487479062190776,0.2262365821047396,0.060336994601244864
FC,CogFluidComp_Unadj,4,0.28470541083410367,0.29282629316002373,0.07751940449701311
sink_linear,CogFluidComp_Unadj,4,0.27763078770619337,0.28275288680633087,0.07568621112240392
sink_residual,CogFluidComp_Unadj,4,0.25625370166070843,0.26772200050921097,0.037806173129943055
bv+demo,CogCrystalComp_Unadj,4,0.35490821572640846,0.36136262407550884,0.08915163036720519
FC,CogCrystalComp_Unadj,4,0.39935522454869066,0.3377583908778184,0.1506424665493168
sink_linear,CogCrystalComp_Unadj,4,0.40079967970272223,0.35837870976499764,0.14042597208224006
sink_residual,CogCrystalComp_Unadj,4,0.3910102598604059,0.34790583618384774,0.0797363415199952
bv+demo,CogTotalComp_Unadj,5,0.4980564479666419,0.4917534438119219,0.20382564339836218
FC,CogTotalComp_Unadj,5,0.43072771477742,0.40828309528363,0.1636340095791291
sink_linear,CogTotalComp_Unadj,5,0.44871995972760986,0.4468942955938961,0.17774098324627186
sink_residual,CogTotalComp_Unadj,5,0.4381576243659867,0.43641612039315564,0.15643222990300532
bv+demo,CogFluidComp_Unadj,5,0.34239129934731494,0.29963792114562543,0.10091014199559134
