rep,target,pearson,spearman,r2
FC,CogCrystalComp_Unadj,0.45161536614752135,0.4305848310014686,0.1964610387210079
FC,CogFluidComp_Unadj,0.30571311694502756,0.288142983628606,0.08668010077820959
FC,CogTotalComp_Unadj,0.4363710175769344,0.4030429469487238,0.17230618122083607
bv+demo,CogCrystalComp_Unadj,0.3485795941505272,0.3493281548279997,0.09951646211499293
bv+demo,CogFluidComp_Unadj,0.2977730271650231,0.2878313864900405,0.08178139606454621
bv+demo,CogTotalComp_Unadj,0.3731435576568932,0.3448934638872634,0.13220009932830074
sink_linear,CogCrystalComp_Unadj,0.41368076942658955,0.4024071504514822,0.16548872192945485
sink_linear,CogFluidComp_Unadj,0.30133195412832325,0.2957371071459336,0.08772015535950362
sink_linear,CogTotalComp_Unadj,0.40121155832185923,0.3808728334255007,0.1525170171852281
sink_residual,CogCrystalComp_Unadj,0.41473472146414,0.3986026194388509,0.14406850625797274
sink_residual,CogFluidComp_Unadj,0.28552506874591754,0.279939293662659,0.05765466990621371
sink_residual,CogTotalComp_Unadj,0.38088284326952837,0.363045314889137,0.11331624653247668
