task,n_sub,seed,linear_perf,final_perf,gap
cognition,100,0,0.31977088892026084,0.29099785263495753,-0.02877303628530331
reconstruction,100,0,0.04259904846549034,0.03738926351070404,-0.005209784954786301
cognition,200,0,0.36459714408083665,0.33957433531324926,-0.02502280876758739
reconstruction,200,0,0.06710648536682129,0.06372415274381638,-0.0033823326230049133
cognition,400,0,0.4511871107157183,0.44859285864570947,-0.002594252070008851
reconstruction,400,0,0.08966121077537537,0.08556954562664032,-0.004091665148735046
cognition,683,0,0.4353988535793444,0.4225930581725168,-0.01280579540682758
reconstruction,683,0,0.10102149844169617,0.10013407468795776,-0.0008874237537384033
cognition,100,1,0.30517965159567284,0.30155695746274536,-0.003622694132927484
reconstruction,100,1,0.026514051482081413,0.026749761775135994,0.0002357102930545807
cognition,200,1,0.3406960442119151,0.3238936373693166,-0.016802406842598483
reconstruction,200,1,0.05575397238135338,0.05522048473358154,-0.0005334876477718353
cognition,400,1,0.4069702918275163,0.38721887015709583,-0.019751421670420488
reconstruction,400,1,0.0833032876253128,0.08195767551660538,-0.001345612108707428
cognition,683,1,0.42786642971958344,0.406689769544609,-0.021176660174974438
reconstruction,683,1,0.10378731042146683,0.1028154045343399,-0.0009719058871269226
cognition,100,2,0.30709682254806875,0.2998183329831106,-0.007278489564958135
reconstruction,100,2,0.05058778449892998,0.04693320021033287,-0.003654584288597107
cognition,200,2,0.4186160423838758,0.4226429818315204,0.004026939447644595
reconstruction,200,2,0.06875763088464737,0.06489071249961853,-0.003866918385028839
cognition,400,2,0.4535602639941165,0.4539294543759825,0.0003691903818660025
reconstruction,400,2,0.08053652942180634,0.08096345514059067,0.0004269257187843323
cognition,683,2,0.48116045565380633,0.47160894389080205,-0.009551511763004283
reconstruction,683,2,0.10748875886201859,0.10610765218734741,-0.001381106674671173
cognition,100,3,0.2395126506657541,0.2379023630580053,-0.0016102876077488115
reconstruction,100,3,0.06067967414855957,0.055618178099393845,-0.005061496049165726
cognition,200,3,0.2920305515343591,0.2911752726561932,-0.0008552788781658882
reconstruction,200,3,0.06682994961738586,0.06663152575492859,-0.0001984238624572754
cognition,400,3,0.380706802611021,0.37225139335649504,-0.00845540925452598
reconstruction,400,3,0.10805443674325943,0.10560951381921768,-0.002444922924041748
cognition,683,3,0.35433451434647467,0.35153080111917184,-0.0028037132273028287
reconstruction,683,3,0.11585835367441177,0.11288976669311523,-0.0029685869812965393
cognition,100,4,0.34009149546476586,0.32312451206019605,-0.016966983404569813
reconstruction,100,4,0.046871453523635864,0.04224632307887077,-0.004625130444765091
cognition,200,4,0.2907080550032695,0.25870887280131094,-0.031999182201958576
reconstruction,200,4,0.07972890883684158,0.07399861514568329,-0.005730293691158295
cognition,400,4,0.31788661736314555,0.28386974561263406,-0.03401687175051149
reconstruction,400,4,0.10765919089317322,0.1064532920718193,-0.0012058988213539124
cognition,683,4,0.3553306447192138,0.3253278719443439,-0.030002772774869846
reconstruction,683,4,0.12052441388368607,0.11964864283800125,-0.0008757710456848145
cognition,100,5,0.4179453784783705,0.3827410232587026,-0.035204355219667915
reconstruction,100,5,0.039850182831287384,0.033513445407152176,-0.006336737424135208
cognition,200,5,0.38647137124135694,0.3678304760407079,-0.018640895200649044
reconstruction,200,5,0.058970555663108826,0.06406806409358978,0.005097508430480957
cognition,400,5,0.4865916079220342,0.4684003264714767,-0.018191281450557484
reconstruction,400,5,0.09141634404659271,0.08968012779951096,-0.0017362162470817566
cognition,683,5,0.49901922639059615,0.5018069932739233,0.0027877668833271585
reconstruction,683,5,0.10847466439008713,0.10965032130479813,0.0011756569147109985
cognition,100,6,0.24432906314280028,0.24170213317324377,-0.0026269299695565185
reconstruction,100,6,0.03311089426279068,0.02759876474738121,-0.00551212951540947
cognition,200,6,0.26850086670809,0.2540398237085094,-0.014461042999580564
reconstruction,200,6,0.06579243391752243,0.06437214463949203,-0.0014202892780303955
cognition,400,6,0.30989007471156454,0.2996968972750834,-0.010193177436481127
reconstruction,400,6,0.09152843803167343,0.08858493715524673,-0.0029435008764266968
cognition,683,6,0.34160737097723315,0.34666293434454115,0.0050555633673080025
reconstruction,683,6,0.10980596393346786,0.10629679262638092,-0.0035091713070869446
cognition,100,7,0.24073249277489747,0.22979933064118205,-0.010933162133715424
reconstruction,100,7,0.03581412509083748,0.02954057604074478,-0.006273549050092697
cognition,200,7,0.2567839444502537,0.24092189567878558,-0.01586204877146813
reconstruction,200,7,0.07359571009874344,0.07058941572904587,-0.003006294369697571
cognition,400,7,0.25059025845683985,0.23694774405737387,-0.013642514399465983
reconstruction,400,7,0.09993280470371246,0.09754994511604309,-0.0023828595876693726
cognition,683,7,0.2859893022940762,0.27162827604603323,-0.014361026248042974
reconstruction,683,7,0.11707276850938797,0.11696017533540726,-0.00011259317398071289
cognition,100,8,0.25058456220483893,0.24503673653629282,-0.005547825668546114
reconstruction,100,8,0.044269923120737076,0.03701459616422653,-0.007255326956510544
cognition,200,8,0.3462347474032795,0.33268738295009337,-0.013547364453186106
reconstruction,200,8,0.08037792891263962,0.07801303267478943,-0.002364896237850189
cognition,400,8,0.37954904088226343,0.3637207329060715,-0.015828307976191947
reconstruction,400,8,0.09833373129367828,0.09835030138492584,1.6570091247558594e-05
cognition,683,8,0.3913780423903958,0.3745809151536881,-0.016797127236707732
reconstruction,683,8,0.122245654463768,0.12218963354825974,-5.6020915508270264e-05
cognition,100,9,0.29909424685936675,0.28901160973839024,-0.010082637120976512
reconstruction,100,9,0.03937048092484474,0.03176930174231529,-0.0076011791825294495
cognition,200,9,0.3127366266958863,0.3246366538951056,0.011900027199219287
reconstruction,200,9,0.06264301389455795,0.06604629755020142,0.003403283655643463
cognition,400,9,0.40654732127804266,0.40290452453672376,-0.003642796741318899
reconstruction,400,9,0.09654369205236435,0.09657733142375946,3.3639371395111084e-05
cognition,682,9,0.4824937230539863,0.4860692903776115,0.003575567323625184
reconstruction,682,9,0.10976877808570862,0.10723628103733063,-0.0025324970483779907
