task,n_sub,n_seeds,median_linear,median_final,median_gap,gap_min,gap_max,wilcoxon_p_gap_gt0
cognition,100,10,0.30213694922751977,0.2900047311866739,-0.008680563342967323,-0.035204355219667915,-0.0016102876077488115,1.0
cognition,200,10,0.32671633545390066,0.3242651456322111,-0.015161545885524347,-0.031999182201958576,0.011900027199219287,0.9931640625
cognition,400,10,0.39362706194453184,0.3797351317567954,-0.011917845917973555,-0.03401687175051149,0.0003691903818660025,0.9990234375
cognition,682,1,0.4824937230539863,0.4860692903776115,0.003575567323625184,0.003575567323625184,0.003575567323625184,0.5
cognition,683,9,0.3913780423903958,0.3745809151536881,-0.01280579540682758,-0.030002772774869846,0.0050555633673080025,0.990234375
reconstruction,100,10,0.04122461564838886,0.035264020785689354,-0.005360957235097885,-0.0076011791825294495,0.0002357102930545807,0.9990234375
reconstruction,200,10,0.06696821749210358,0.06546850502490997,-0.0018925927579402924,-0.005730293691158295,0.005097508430480957,0.8837890625
reconstruction,400,10,0.09403606504201889,0.09312872961163521,-0.0015409141778945923,-0.004091665148735046,0.0004269257187843323,0.990234375
reconstruction,682,1,0.10976877808570862,0.10723628103733063,-0.0025324970483779907,-0.0025324970483779907,-0.0025324970483779907,1.0
reconstruction,683,9,0.10980596393346786,0.10965032130479813,-0.0008874237537384033,-0.0035091713070869446,0.0011756569147109985,0.98046875
