subject,rel_between_session,rel_within_session_run1
100206,0.5545306,0.5017652
100307,0.5004564,0.1313768
100408,0.43850178,0.11156153
100610,0.5387254,0.30817243
101006,0.58226705,0.4815391
101107,0.40258673,0.29538432
101309,0.5713386,0.3622873
101915,0.5121603,0.3893668
102008,0.38679802,0.30404016
102109,0.52406794,0.42646328
102311,0.21081907,0.121484935
102513,0.18609433,0.33657
102614,0.47580692,0.4469186
102715,0.4453547,0.3284655
102816,0.31169766,0.23096046
103010,0.51906073,0.3793762
103111,0.5574252,0.52082455
103212,0.33567595,0.3441086
103414,0.3740659,0.21963188
103515,0.37286004,0.30755213
103818,0.49587274,0.34568483
104012,0.4998839,0.3655084
104416,0.48386383,0.3730333
104820,0.5623797,0.12600365
105014,0.47107548,0.2015634
105115,0.53465396,0.2867252
105216,0.48476836,0.51479137
105620,0.49546614,0.43516093
105923,0.41672277,0.25210613
106016,0.5160605,0.36516234
106319,0.5052537,0.2939637
106521,0.43689036,0.39361855
106824,0.6059894,0.36591548
107018,0.17499115,0.24709214
107321,0.3102932,0.20411623
107422,0.33567348,0.35130227
107725,0.43703642,0.298512
108020,0.314218,0.2716101
108121,0.5140088,0.43330866
108222,0.54652,0.39095807
108323,0.5720512,-0.024304938
108525,0.64833295,0.4686654
108828,0.5454772,0.22715496
109123,0.4127903,0.17776549
109325,0.6214303,0.4099998
109830,0.39308262,0.32740697
110007,0.5406316,0.29520133
110411,0.32280308,0.3332402
110613,0.08968812,0.45986333
111009,0.59202516,0.3838425
111211,0.51806164,0.44013572
111312,0.6424759,0.46849564
111413,0.39370966,0.4701334
111514,0.5060333,0.45313123
111716,0.47529835,0.25381514
112112,0.55405545,0.19227712
112314,0.4441555,0.51003253
112516,0.42572314,0.2370817
112920,0.48061386,0.25318456
113215,0.51141214,0.19399664
113316,0.40571702,0.2919815
113619,0.5900857,0.42273358
113922,0.25764838,0.31630078
114217,0.37525594,0.43382078
114318,0.5217906,0.24547096
114419,0.40853325,0.31371456
114621,0.447503,0.139236
114823,0.42770505,0.34653273
114924,0.36499104,0.18746656
115017,0.42533773,0.41991514
115219,0.51964813,0.31567958
115320,0.5325672,0.18338293
115724,0.53493387,0.32170135
115825,0.44718558,0.35217875
116524,0.38844138,0.21350345
116726,0.49393496,0.3074622
117021,0.74067724,0.5025146
117122,0.42809504,0.15682872
117324,0.38279706,0.07600625
