subject,rel_between_session,rel_within_session_run1
100206,0.6002005,0.54567224
100307,0.5560747,0.15114556
100408,0.4245691,0.06648693
100610,0.58755153,0.36522242
101006,0.6263233,0.5442317
101107,0.4711251,0.35680175
101309,0.6132873,0.38480023
101915,0.50180626,0.3612672
102008,0.40255067,0.32090774
102109,0.49374717,0.3781668
102311,0.23845693,0.08572068
102513,0.21463364,0.3514888
102614,0.55299026,0.52852106
102715,0.45989138,0.36769888
102816,0.36600265,0.25009277
103010,0.5792282,0.44262725
103111,0.56353396,0.5217149
103212,0.37088296,0.36637852
103414,0.44797248,0.24314564
103515,0.3873662,0.32118058
103818,0.5430322,0.37070295
104012,0.5233936,0.41198692
104416,0.4978898,0.35078785
104820,0.62178123,0.17788658
105014,0.50464976,0.1894841
105115,0.58130676,0.29240304
105216,0.53217787,0.58341706
105620,0.5343774,0.49986988
105923,0.40336117,0.24782906
106016,0.5272303,0.38641948
106319,0.57501173,0.37708056
106521,0.5180291,0.44185764
106824,0.63600165,0.39679408
107018,0.15979849,0.313308
107321,0.33634642,0.24894118
107422,0.36916476,0.35035264
107725,0.453468,0.32642123
108020,0.36138803,0.3119123
108121,0.53549373,0.4797205
108222,0.5807149,0.40128198
108323,0.6241536,0.006959965
108525,0.6965633,0.49418133
108828,0.5670685,0.21465412
109123,0.45797828,0.19185401
109325,0.6589377,0.42872682
109830,0.42663923,0.37909928
110007,0.57225007,0.30634367
110411,0.3461561,0.3903036
110613,0.046163216,0.49934706
111009,0.6353489,0.4140209
111211,0.54307604,0.47261292
111312,0.6861333,0.5085218
111413,0.40839413,0.54337406
111514,0.5224495,0.4573265
111716,0.5222081,0.2792486
112112,0.5858681,0.1992504
112314,0.48349997,0.5671073
112516,0.5125465,0.29626036
112920,0.5301746,0.2760595
113215,0.5480446,0.23359774
113316,0.43494117,0.3177787
113619,0.65224254,0.45757127
113922,0.28236273,0.34600627
114217,0.40201262,0.4493941
114318,0.5761673,0.3036893
114419,0.44995353,0.3543469
114621,0.5080115,0.15774418
114823,0.4561406,0.39613074
114924,0.39896768,0.19701284
115017,0.40001112,0.42794836
115219,0.57259357,0.377629
115320,0.5748081,0.23458943
115724,0.5711508,0.32485864
115825,0.42061844,0.37182018
116524,0.44103163,0.22125852
116726,0.54276145,0.34149644
117021,0.77507037,0.5301382
117122,0.4879898,0.14969158
117324,0.40784895,0.106680505
117930,0.60356504,0.29706162
118023,0.44922975,0.18322656
118124,0.6424346,0.4214677
118225,0.4828267,0.3100084
118528,0.7050991,0.49973992
118730,0.49189803,0.42757067
118831,0.5047873,0.3195484
118932,0.5071633,0.40508074
119025,0.6118234,0.5124091
119126,0.5616731,0.36166278
119732,0.56437016,0.4299271
119833,0.38501245,0.30625165
120111,0.59668577,0.5183863
120212,0.66964287,0.4575244
120414,0.46527034,0.5782655
120515,0.47304222,0.2745789
120717,0.36763567,0.26288298
121416,0.14772955,0.48156878
121618,0.49429727,0.31071144
121921,0.4920667,0.26500043
122317,0.42214498,0.32678244
122620,0.52407193,0.21704292
122822,0.57989323,0.2576472
123117,0.28106934,0.38006735
123420,0.30661294,0.24811044
123521,0.5553933,0.27847221
123723,0.46305308,0.43350816
123824,0.33746222,0.24010113
123925,0.3561217,0.3231151
124220,0.42290175,0.29338512
124422,0.65952647,0.47701553
124624,0.28194174,0.40771076
124826,0.64095414,0.53844494
125222,0.5847063,0.5331289
125424,0.47580755,0.112914525
125525,0.4294793,0.24294692
126325,0.38216287,0.21081713
126426,0.5829147,0.4936442
126628,0.51261413,0.29508686
127226,0.35465738,0.16949992
127327,0.34901989,0.34582743
127630,0.4541069,0.2713541
127731,0.15531757,0.35834974
127832,0.54547435,0.32800537
127933,0.37662607,0.32896557
128026,0.59125,0.4459971
128127,0.5019095,0.10430894
128632,0.6907447,0.4127191
128935,0.49276337,0.31153652
129028,0.55870706,0.3286058
129129,0.48394677,0.31118643
129331,0.2296825,0.17307447
129634,0.5374492,0.42267048
130013,0.34725806,0.34939232
130114,0.36238077,0.17197968
130316,0.47688782,0.41756114
130417,0.40358886,0.14423501
130518,0.37802225,0.2878891
130619,0.64587784,0.4912016
130720,0.42845386,0.4574655
130821,0.49580455,0.37854838
130922,0.5388754,0.3352508
131217,0.4842432,0.37280035
131419,0.48125026,0.227212
131722,0.37789443,0.30182615
131823,0.57974887,0.29375345
131924,0.3750632,0.30013883
132017,0.59614265,0.26085135
132118,0.6252766,0.5018829
133019,0.4313141,0.3384676
133625,0.5478244,0.40032807
133827,0.45943964,0.45808616
133928,0.3684116,0.24267262
134021,0.6455748,0.3642923
134223,0.3784405,0.39126232
134324,0.5794847,0.48030928
134425,0.44536442,0.24479885
134627,0.40449193,0.34278125
134728,0.26870954,0.5020347
