method,jl_variant,seed,direction,demeaned_pearson,top1_acc,avg_rank
FULL_PLS,,0,FC->SC,0.13806216418743134,0.11794871794871795,0.8549901380670611
FULL_PLS,,0,SC->FC,0.07699798047542572,0.035897435897435895,0.6610124917817226
FULL_PLS,,1,FC->SC,0.13809384405612946,0.12307692307692308,0.8717159763313609
FULL_PLS,,1,SC->FC,0.07532767951488495,0.035897435897435895,0.6477580539119001
FULL_PLS,,2,FC->SC,0.13231606781482697,0.11282051282051282,0.8552268244575937
FULL_PLS,,2,SC->FC,0.08290191739797592,0.02564102564102564,0.6543852728468114
FULL_PLS,,3,FC->SC,0.13831816613674164,0.11794871794871795,0.8609861932938856
FULL_PLS,,3,SC->FC,0.08174560964107513,0.035897435897435895,0.6691650230111769
FULL_PLS,,4,FC->SC,0.13709886372089386,0.11282051282051282,0.8622485207100592
FULL_PLS,,4,SC->FC,0.06863900274038315,0.03076923076923077,0.6411045364891519
FULL_PLS,,5,FC->SC,0.1475575566291809,0.15897435897435896,0.8808678500986193
FULL_PLS,,5,SC->FC,0.07143425941467285,0.020512820512820513,0.6464957264957265
FULL_PLS,,6,FC->SC,0.14464262127876282,0.09743589743589744,0.8648520710059171
FULL_PLS,,6,SC->FC,0.06839629262685776,0.03076923076923077,0.6440236686390532
FULL_PLS,,7,FC->SC,0.1394108384847641,0.12307692307692308,0.8634056541748849
FULL_PLS,,7,SC->FC,0.08402899652719498,0.015384615384615385,0.6648520710059171
FULL_PLS,,8,FC->SC,0.1403035819530487,0.09743589743589744,0.8746088099934254
FULL_PLS,,8,SC->FC,0.07292129099369049,0.035897435897435895,0.6599342537804076
FULL_PLS,,9,FC->SC,0.1374809294939041,0.10204081632653061,0.8728394418992087
FULL_PLS,,9,SC->FC,0.09205947816371918,0.04081632653061224,0.679274260724698
