net_pair,n_total,n_raw_top200,n_resid_top200,enrichment_raw,enrichment_resid
visual || visual,1431,53,59,11.966666666666667,13.321383647798744
dorsal attention || dorsal attention,1128,27,20,7.733776595744681,5.7287234042553195
dorsal attention || visual,2592,36,40,4.4875,4.986111111111112
frontoparietal || frontoparietal,990,8,5,2.610909090909091,1.6318181818181818
dorsal attention || frontoparietal,2160,10,8,1.4958333333333333,1.1966666666666665
default mode || dorsal attention,3984,17,16,1.3786897590361447,1.297590361445783
somatosensory || ventral attention,2576,9,7,1.1288431677018633,0.8779891304347827
ventral attention || ventral attention,1035,3,1,0.9365217391304348,0.31217391304347825
default mode || default mode,3403,7,2,0.6646194534234499,0.18989127240669995
default mode || visual,4482,8,8,0.576706827309237,0.576706827309237
dorsal attention || ventral attention,2208,3,4,0.4389945652173913,0.5853260869565217
frontoparietal || somatosensory,2520,3,1,0.3846428571428571,0.1282142857142857
dorsal attention || somatosensory,2688,3,5,0.3606026785714286,0.6010044642857143
default mode || somatosensory,4648,5,6,0.3475688468158348,0.4170826161790017
default mode || frontoparietal,3735,3,6,0.25951807228915663,0.5190361445783133
somatosensory || somatosensory,1540,1,5,0.20980519480519483,1.0490259740259742
default mode || ventral attention,3818,2,2,0.16925091671031953,0.16925091671031953
frontoparietal || ventral attention,2070,1,2,0.15608695652173912,0.31217391304347825
frontoparietal || visual,2430,1,2,0.13296296296296295,0.2659259259259259
limbic || limbic,378,0,1,0.0,0.8547619047619047
