rep,seed,target,method,mse,r2,pearson,avg_rank,top1_acc,demeaned_pearson
SC,0,FC,shared_pca,0.01397903822362423,-0.06215929985046387,0.8307310342788696,0.7124523339907955,0.03076923076923077,0.08489612489938736
r2t,0,FC,shared_pca,0.015064777806401253,-0.140315443277359,0.8176239728927612,0.6081788297172912,0.015384615384615385,0.03969123214483261
r2t_corr,0,FC,shared_pca,0.014501422643661499,-0.0980459675192833,0.8241947293281555,0.5935042735042735,0.020512820512820513,0.03548971191048622
SC_r2t,0,FC,block_pca,0.014163859188556671,-0.07531160116195679,0.8285536766052246,0.6947797501643656,0.015384615384615385,0.07301527261734009
kitchen_sink,0,FC,block_pca,0.014063444919884205,-0.06776198744773865,0.8294984698295593,0.7081919789612097,0.03076923076923077,0.08530113101005554
SC,1,FC,shared_pca,0.014445947483181953,-0.05236298218369484,0.8224368095397949,0.7213149243918475,0.05128205128205128,0.08621358871459961
r2t,1,FC,shared_pca,0.015341540798544884,-0.11399824172258377,0.8114857077598572,0.6277449046679816,0.015384615384615385,0.05158223956823349
r2t_corr,1,FC,shared_pca,0.01516400184482336,-0.09945636987686157,0.8134975433349609,0.5856936226166995,0.005128205128205128,0.024385016411542892
SC_r2t,1,FC,block_pca,0.01448602695018053,-0.054828204214572906,0.8218547105789185,0.7238132807363576,0.02564102564102564,0.08606079965829849
kitchen_sink,1,FC,block_pca,0.014327330514788628,-0.0443568155169487,0.8237744569778442,0.7554240631163708,0.06153846153846154,0.10591498017311096
SC,2,FC,shared_pca,0.014318617060780525,-0.05061310529708862,0.8277159333229065,0.7081919789612097,0.05128205128205128,0.08343014866113663
r2t,2,FC,shared_pca,0.015450915321707726,-0.13036121428012848,0.8145676851272583,0.602024983563445,0.015384615384615385,0.047514647245407104
r2t_corr,2,FC,shared_pca,0.014791344292461872,-0.08390828222036362,0.8222548961639404,0.614490466798159,0.010256410256410256,0.04051603749394417
SC_r2t,2,FC,block_pca,0.014467827044427395,-0.06154116988182068,0.8262509107589722,0.7044575936883629,0.020512820512820513,0.07892844080924988
kitchen_sink,2,FC,block_pca,0.014285760931670666,-0.049317020922899246,0.8281440138816833,0.7413543721236029,0.020512820512820513,0.10097907483577728
SC,3,FC,shared_pca,0.014168139547109604,-0.0633416622877121,0.8249359726905823,0.6975936883629191,0.05641025641025641,0.07326732575893402
r2t,3,FC,shared_pca,0.014980985783040524,-0.12172561138868332,0.8140917420387268,0.6098093359631822,0.020512820512820513,0.05358532816171646
r2t_corr,3,FC,shared_pca,0.014543524011969566,-0.08925283700227737,0.8202214241027832,0.6158316896778435,0.010256410256410256,0.03837698698043823
SC_r2t,3,FC,block_pca,0.01426975429058075,-0.07032757997512817,0.8234606385231018,0.6781328073635766,0.06153846153846154,0.0721018984913826
kitchen_sink,3,FC,block_pca,0.014095519669353962,-0.05829864367842674,0.8253396153450012,0.7190269559500329,0.06666666666666667,0.0940062403678894
SC,4,FC,shared_pca,0.014270915649831295,-0.04866059869527817,0.8317715525627136,0.7437738330046022,0.05641025641025641,0.09147215634584427
