rep,seed,direction,mse,r2,pearson,avg_rank,top1_acc,demeaned_pearson
SC,0,FC->SC,0.005551474168896675,-0.023459112271666527,0.9127845168113708,0.8533070348454964,0.15384615384615385,0.1322067528963089
SC,0,SC->FC,0.01397903636097908,-0.06215914711356163,0.8307310938835144,0.7124260355029586,0.03076923076923077,0.08489642292261124
r2t,0,FC->r2t,534467.0,0.2971825897693634,0.8464491367340088,0.7128468113083498,0.03076923076923077,0.11234594136476517
r2t,0,r2t->FC,0.015064779669046402,-0.14031565189361572,0.8176239728927612,0.6081788297172912,0.015384615384615385,0.03969129920005798
r2t_corr,0,FC->r2t_corr,0.017297422513365746,-0.22749556601047516,0.807390570640564,0.6957790927021696,0.02564102564102564,0.053894806653261185
r2t_corr,0,r2t_corr->FC,0.014501422643661499,-0.09804592281579971,0.8241947293281555,0.5935042735042735,0.020512820512820513,0.035489875823259354
SC,1,FC->SC,0.0055367471650242805,-0.014408671297132969,0.9123328328132629,0.8906245890861275,0.1282051282051282,0.13707807660102844
SC,1,SC->FC,0.01444594468921423,-0.05236267298460007,0.8224368095397949,0.7213149243918475,0.05128205128205128,0.08621387183666229
r2t,1,FC->r2t,528122.5,0.3242255449295044,0.8437992334365845,0.7441420118343196,0.015384615384615385,0.1096457913517952
r2t,1,r2t->FC,0.01534152589738369,-0.11399699002504349,0.8114857077598572,0.6277186061801446,0.015384615384615385,0.05158357694745064
r2t_corr,1,FC->r2t_corr,0.017520785331726074,-0.07405231893062592,0.8051842451095581,0.7234451019066404,0.020512820512820513,0.05827754735946655
r2t_corr,1,r2t_corr->FC,0.015164008364081383,-0.0994567945599556,0.8134973645210266,0.5857199211045365,0.005128205128205128,0.024384576827287674
SC,2,FC->SC,0.005528537556529045,-0.03353936970233917,0.9123838543891907,0.8578829717291255,0.07692307692307693,0.12221765518188477
SC,2,SC->FC,0.0143186179921031,-0.05061308294534683,0.8277159333229065,0.7081919789612097,0.05128205128205128,0.08343001455068588
r2t,2,FC->r2t,545749.0,0.2583622634410858,0.845878005027771,0.7416173570019724,0.010256410256410256,0.10782069712877274
r2t,2,r2t->FC,0.015450926497578621,-0.13036195933818817,0.814567506313324,0.602051282051282,0.015384615384615385,0.0475134439766407
r2t_corr,2,FC->r2t_corr,0.01715557835996151,-0.06718660891056061,0.8082272410392761,0.707560815253123,0.02564102564102564,0.05555726960301399
r2t_corr,2,r2t_corr->FC,0.0147913359105587,-0.08390774577856064,0.8222549557685852,0.614490466798159,0.010256410256410256,0.04051646217703819
SC,3,FC->SC,0.005576807539910078,-0.012368805706501007,0.9125555753707886,0.8823931623931623,0.10256410256410256,0.13632209599018097
SC,3,SC->FC,0.014168135821819305,-0.06334134191274643,0.8249361515045166,0.6976199868507561,0.05641025641025641,0.07326773554086685
r2t,3,FC->r2t,515036.5625,0.6205102205276489,0.8457684516906738,0.7380933596318211,0.06153846153846154,0.12107005715370178
r2t,3,r2t->FC,0.014980987645685673,-0.1217256560921669,0.8140917420387268,0.6098093359631822,0.020512820512820513,0.05358542874455452
r2t_corr,3,FC->r2t_corr,0.017360785976052284,-0.06630460917949677,0.8067636489868164,0.7316239316239317,0.05128205128205128,0.06381207704544067
r2t_corr,3,r2t_corr->FC,0.014543522149324417,-0.08925273269414902,0.8202214241027832,0.6158053911900065,0.010256410256410256,0.038377054035663605
SC,4,FC->SC,0.005429315380752087,-0.023700281977653503,0.9133103489875793,0.8900197238658777,0.11794871794871795,0.1402299553155899
SC,4,SC->FC,0.01427091658115387,-0.04866055026650429,0.8317715525627136,0.7438001314924392,0.05641025641025641,0.09147221595048904
