rep,metric,comparison_kind,n_seeds,median_FCwins,min_FCwins,max_FCwins,wilcoxon_p_FCwins,median_FC_to_X,median_X_to_FC
SC,demeaned_pearson,ratio_FCwins,10,1.6207301052708392,1.3236270963972279,1.860602009654632,0.0009765625,0.13549304008483887,0.08469865471124649
SC,pearson,ratio_FCwins,10,1.1009129324065996,1.095771048190391,1.1112863483053552,0.0009765625,0.9124697148799896,0.8292235136032104
SC,top1_acc,ratio_FCwins,10,2.5625,1.5000000000000002,5.0,0.0009765625,0.11794871794871795,0.05128205128205128
SC,avg_rank,ratio_FCwins,10,1.2251071492597567,1.1744765702891327,1.2648622158555434,0.0009765625,0.8786901571802895,0.7128073635765944
SC,mse,ratio_FCwins,10,2.5939157080302717,2.5180764488286065,2.6394079232398875,0.0009765625,0.005532642360776663,0.014294767286628485
SC,r2,diff_FCwins,10,0.035954732447862625,0.01707371324300766,0.05097253620624542,0.0009765625,-0.022047441452741623,-0.05715753138065338
r2t,demeaned_pearson,ratio_FCwins,10,2.2643255403279627,1.8708984188472324,2.830492919833701,0.0009765625,0.11128220334649086,0.0492535550147295
r2t,pearson,ratio_FCwins,10,1.0368464903118264,1.029320261149562,1.0403409164604889,0.0009765625,0.8452560901641846,0.8153221607208252
r2t,top1_acc,ratio_FCwins,9,1.5,0.6666666666666666,3.0,0.0390625,0.028205128205128206,0.020512820512820513
r2t,avg_rank,ratio_FCwins,10,1.1850146653425706,1.1212533498247785,1.2318175861617089,0.0009765625,0.7212443844623145,0.6089940828402367
r2t,mse,ratio_FCwins,10,2.8354452236153304e-08,2.8186496251850352e-08,2.9092603046727096e-08,1.0,536456.0625,0.015368718653917313
r2t,r2,diff_FCwins,10,0.445892583578825,-0.3524015471339226,0.7424739748239517,0.001953125,0.3233712464570999,-0.1270444579422474
r2t_corr,demeaned_pearson,ratio_FCwins,10,1.6342138727108124,1.1780010632955766,2.389934743269803,0.0009765625,0.05815686844289303,0.03624880686402321
r2t_corr,pearson,ratio_FCwins,10,0.981275683426428,0.9750690886146309,0.9897810124850704,1.0,0.8070787489414215,0.8231292963027954
r2t_corr,top1_acc,ratio_FCwins,10,1.8250000000000002,0.39999999999999997,5.0,0.0625,0.02564102564102564,0.017948717948717947
r2t_corr,avg_rank,ratio_FCwins,10,1.1748693938504853,1.1124625195320748,1.2351382902298849,0.0009765625,0.7092307692307692,0.607034845496384
r2t_corr,mse,ratio_FCwins,10,0.8538565614921128,0.8304051945639093,0.8661817727955071,1.0,0.01736251823604107,0.014812104869633913
r2t_corr,r2,diff_FCwins,10,-6.883889861404896,-1040.3430680930614,0.02540447562932968,0.990234375,-6.975657939910889,-0.09090656787157059
