source,seed,mse,r2,pearson,avg_rank,top1_acc,demeaned_pearson
SC,0,0.01397903636097908,-0.06215914711356163,0.8307310938835144,0.7124260355029586,0.03076923076923077,0.08489642292261124
SC_r2t,0,0.014163870364427567,-0.0753125250339508,0.8285534977912903,0.6947271531886916,0.015384615384615385,0.0730142891407013
SC,1,0.01444594468921423,-0.05236267298460007,0.8224368095397949,0.7213149243918475,0.05128205128205128,0.08621387183666229
SC_r2t,1,0.014486024156212807,-0.05482816696166992,0.821854829788208,0.7238132807363576,0.02564102564102564,0.08606170117855072
SC,2,0.0143186179921031,-0.05061308294534683,0.8277159333229065,0.7081919789612097,0.05128205128205128,0.08343001455068588
SC_r2t,2,0.014467831701040268,-0.06154131516814232,0.8262508511543274,0.7044575936883629,0.020512820512820513,0.07892835885286331
SC,3,0.014168135821819305,-0.06334134191274643,0.8249361515045166,0.6976199868507561,0.05641025641025641,0.07326773554086685
SC_r2t,3,0.0142697524279356,-0.07032745331525803,0.8234606385231018,0.6781328073635766,0.06153846153846154,0.07210203260183334
SC,4,0.01427091658115387,-0.04866055026650429,0.8317715525627136,0.7438001314924392,0.05641025641025641,0.09147221595048904
SC_r2t,4,0.014542398042976856,-0.06605910509824753,0.8281324505805969,0.6995923734385272,0.03076923076923077,0.07968844473361969
SC,5,0.014075995422899723,-0.06029745191335678,0.8324829936027527,0.7131886916502301,0.05641025641025641,0.08463431894779205
SC_r2t,5,0.014091460034251213,-0.061025384813547134,0.8316891193389893,0.7230506245890861,0.035897435897435895,0.08351592719554901
SC,6,0.014145704917609692,-0.06198415905237198,0.8307992219924927,0.6869690992767916,0.041025641025641026,0.076863594353199
SC_r2t,6,0.014257842674851418,-0.06956103444099426,0.8293625116348267,0.6912294543063774,0.06666666666666667,0.07545152306556702
SC,7,0.014533364214003086,-0.04997991770505905,0.82090163230896,0.7385667324128863,0.06666666666666667,0.10091429203748703
SC_r2t,7,0.014506088569760323,-0.04933706670999527,0.821085512638092,0.7499013806706114,0.05128205128205128,0.10701407492160797
SC,8,0.014496534131467342,-0.05510609224438667,0.8307790756225586,0.7249178172255095,0.041025641025641026,0.08476299047470093
SC_r2t,8,0.014560540206730366,-0.060584355145692825,0.8295203447341919,0.7099539776462853,0.035897435897435895,0.07922913879156113
SC,9,0.014365369454026222,-0.05920897051692009,0.826097846031189,0.6929404414827156,0.04081632653061224,0.07565724104642868
SC_r2t,9,0.01447884738445282,-0.06732801347970963,0.8247741460800171,0.696740941274469,0.05102040816326531,0.07450652867555618
