anchor_mode,rank,region_idx,region,bundle,loading
3,1,180,Left_V1,AssociationInferiorFrontoOccipitalFasciculusR,0.5884037613868713
3,2,0,Right_V1,AssociationInferiorFrontoOccipitalFasciculusL,-0.45323634147644043
3,3,180,Left_V1,AssociationInferiorLongitudinalFasciculusR,0.19461114704608917
3,4,322,Left_PGp,AssociationInferiorLongitudinalFasciculusR,-0.17602425813674927
3,5,25,Right_SFL,CommissureCorpusCallosum,-0.154700368642807
3,6,184,Left_V3,AssociationInferiorFrontoOccipitalFasciculusR,-0.13720634579658508
3,7,256,Left_a47r,AssociationInferiorFrontoOccipitalFasciculusR,0.1291854977607727
3,8,312,Left_TE1p,AssociationArcuateFasciculusR,0.12764288485050201
3,9,255,Left_47l,AssociationInferiorFrontoOccipitalFasciculusR,0.12242855876684189
3,10,316,Left_PHT,AssociationArcuateFasciculusR,0.11507571488618851
3,11,328,Left_PFm,AssociationSuperiorLongitudinalFasciculusR,-0.10347442328929901
3,12,180,Left_V1,ProjectionBasalGangliaOpticRadiationR,0.0918806716799736
3,13,0,Right_V1,AssociationInferiorLongitudinalFasciculusL,-0.09005992859601974
3,14,205,Left_SFL,CommissureCorpusCallosum,-0.08352465182542801
3,15,246,Left_8Av,AssociationArcuateFasciculusR,0.0780973881483078
3,16,42,Right_SCEF,CommissureCorpusCallosum,-0.07776091992855072
3,17,74,Right_45,AssociationInferiorFrontoOccipitalFasciculusL,-0.07569853961467743
3,18,3,Right_V2,AssociationInferiorFrontoOccipitalFasciculusL,0.07397299259901047
3,19,180,Left_V1,CommissureCorpusCallosum,0.07221987098455429
3,20,48,Right_VIP,AssociationMiddleLongitudinalFasciculusL,0.07042741775512695
3,21,254,Left_45,AssociationInferiorFrontoOccipitalFasciculusR,0.06937059015035629
3,22,311,Left_TE1a,AssociationInferiorLongitudinalFasciculusR,0.06844833493232727
3,23,192,Left_V3A,AssociationInferiorFrontoOccipitalFasciculusR,-0.06763487309217453
3,24,44,Right_7Am,CommissureCorpusCallosum,-0.0659971758723259
3,25,302,Left_STGa,AssociationInferiorLongitudinalFasciculusR,0.06599611043930054
3,26,285,Left_PoI2,AssociationExtremeCapsuleR,0.06594675034284592
3,27,346,Left_PoI1,AssociationExtremeCapsuleR,0.06568910926580429
3,28,187,Left_4,ProjectionBrainstemNonDecussatingDentatorubrothalamicTractR,-0.0599769689142704
3,29,218,Left_5L,CommissureCorpusCallosum,-0.05881374329328537
3,30,184,Left_V3,AssociationVerticalOccipitalFasciculusR,-0.058052074164152145
4,1,312,Left_TE1p,AssociationArcuateFasciculusR,0.38625481724739075
4,2,132,Right_TE1p,AssociationArcuateFasciculusL,-0.31022879481315613
4,3,76,Right_a47r,AssociationInferiorFrontoOccipitalFasciculusL,-0.22168467938899994
4,4,133,Right_TE2a,AssociationArcuateFasciculusL,0.21225042641162872
4,5,3,Right_V2,AssociationInferiorFrontoOccipitalFasciculusL,-0.18571710586547852
4,6,148,Right_PFm,AssociationSuperiorLongitudinalFasciculusL,-0.18168605864048004
4,7,75,Right_47l,AssociationInferiorFrontoOccipitalFasciculusL,0.1661791205406189
4,8,74,Right_45,AssociationInferiorFrontoOccipitalFasciculusL,0.15766049921512604
4,9,328,Left_PFm,AssociationSuperiorLongitudinalFasciculusR,-0.15735334157943726
4,10,0,Right_V1,AssociationInferiorFrontoOccipitalFasciculusL,-0.15481120347976685
4,11,55,Right_6v,AssociationArcuateFasciculusL,0.14447705447673798
4,12,136,Right_PHT,AssociationArcuateFasciculusL,-0.14281976222991943
4,13,0,Right_V1,CommissureCorpusCallosum,-0.12749381363391876
4,14,312,Left_TE1p,AssociationParietalAslantTractR,0.11279299110174179
4,15,253,Left_44,AssociationArcuateFasciculusR,0.10558126121759415
4,16,180,Left_V1,CommissureCorpusCallosum,-0.1051299124956131
4,17,187,Left_4,ProjectionBrainstemNonDecussatingDentatorubrothalamicTractR,0.09806014597415924
4,18,256,Left_a47r,AssociationInferiorFrontoOccipitalFasciculusR,-0.0932207778096199
4,19,151,Right_V6A,AssociationInferiorFrontoOccipitalFasciculusL,0.09116141498088837
4,20,327,Left_PF,AssociationSuperiorLongitudinalFasciculusR,0.0887201800942421
4,21,86,Right_9a,AssociationInferiorFrontoOccipitalFasciculusL,-0.08748843520879745
4,22,12,Right_V3A,AssociationInferiorFrontoOccipitalFasciculusL,0.08485247939825058
4,23,180,Left_V1,AssociationInferiorLongitudinalFasciculusR,0.08139245212078094
4,24,311,Left_TE1a,AssociationInferiorLongitudinalFasciculusR,0.07821259647607803
4,25,135,Right_TE2p,AssociationArcuateFasciculusL,0.07630256563425064
4,26,183,Left_V2,AssociationInferiorFrontoOccipitalFasciculusR,-0.07601872086524963
4,27,328,Left_PFm,AssociationParietalAslantTractR,0.07476779073476791
4,28,184,Left_V3,AssociationVerticalOccipitalFasciculusR,0.07463761419057846
4,29,180,Left_V1,AssociationInferiorFrontoOccipitalFasciculusR,-0.07197926938533783
4,30,266,Left_9a,AssociationInferiorFrontoOccipitalFasciculusR,-0.07132868468761444
5,1,174,Right_A4,AssociationMiddleLongitudinalFasciculusL,0.2672560214996338
5,2,76,Right_a47r,AssociationInferiorFrontoOccipitalFasciculusL,-0.2505751848220825
5,3,48,Right_VIP,AssociationMiddleLongitudinalFasciculusL,0.19139908254146576
5,4,0,Right_V1,CommissureCorpusCallosum,0.18686231970787048
5,5,354,Left_A4,AssociationMiddleLongitudinalFasciculusR,0.17117668688297272
5,6,180,Left_V1,AssociationInferiorFrontoOccipitalFasciculusR,-0.1701105386018753
5,7,255,Left_47l,AssociationInferiorFrontoOccipitalFasciculusR,-0.16666492819786072
5,8,228,Left_VIP,AssociationMiddleLongitudinalFasciculusR,0.16605448722839355
