rep,target,seed,pearson_raw,pearson_resid
bv+demo,CogTotalComp_Unadj,0,0.39930582911292595,
SC,CogTotalComp_Unadj,0,0.3175638605922265,0.06643185053310884
r2t,CogTotalComp_Unadj,0,0.2575750826253039,0.03384349181403659
r2t_corr,CogTotalComp_Unadj,0,0.2117488412664566,0.13708465973293646
FC,CogTotalComp_Unadj,0,0.56512390434594,0.4204402212571851
SC_r2t,CogTotalComp_Unadj,0,0.25148569323138054,0.03140261625619175
r2t->synthFC,CogTotalComp_Unadj,0,0.28992820819219023,
bv+demo,CogFluidComp_Unadj,0,0.3545008604209626,
SC,CogFluidComp_Unadj,0,0.25317687144491624,0.057530503708502996
r2t,CogFluidComp_Unadj,0,0.12402016082654939,0.02932851326156842
r2t_corr,CogFluidComp_Unadj,0,0.17295090990280743,0.13391592937521177
FC,CogFluidComp_Unadj,0,0.44887853094997526,0.32695080706482477
SC_r2t,CogFluidComp_Unadj,0,0.12732942620123866,0.034697327543222606
r2t->synthFC,CogFluidComp_Unadj,0,0.2357090073098117,
bv+demo,CogCrystalComp_Unadj,0,0.2976694121328912,
SC,CogCrystalComp_Unadj,0,0.3210728397788748,0.1022170881949929
r2t,CogCrystalComp_Unadj,0,0.2878834874436774,0.07989072342594751
r2t_corr,CogCrystalComp_Unadj,0,0.19699500403629402,0.17887238140122114
FC,CogCrystalComp_Unadj,0,0.5863151011695964,0.4847271665483873
SC_r2t,CogCrystalComp_Unadj,0,0.3096901711355467,0.10069529585088903
r2t->synthFC,CogCrystalComp_Unadj,0,0.2562026837452337,
bv+demo,CogTotalComp_Unadj,1,0.4004289965491064,
SC,CogTotalComp_Unadj,1,0.3036674995490009,0.02869729415143832
r2t,CogTotalComp_Unadj,1,0.27237068966400274,0.09561433819603836
r2t_corr,CogTotalComp_Unadj,1,0.21073651105055197,-0.028862385315755138
FC,CogTotalComp_Unadj,1,0.46293470090673455,0.2340762342793925
SC_r2t,CogTotalComp_Unadj,1,0.27528002578177097,0.10428122315190398
r2t->synthFC,CogTotalComp_Unadj,1,0.24478198132432014,
bv+demo,CogFluidComp_Unadj,1,0.32710260372173205,
SC,CogFluidComp_Unadj,1,0.2431032528206091,0.053865803689546014
r2t,CogFluidComp_Unadj,1,0.21460333964115264,0.14930436386474152
r2t_corr,CogFluidComp_Unadj,1,0.2413823034819579,0.08288935966003291
FC,CogFluidComp_Unadj,1,0.3458280530911858,0.22698131865522742
SC_r2t,CogFluidComp_Unadj,1,0.23248735939186063,0.16420389953125988
r2t->synthFC,CogFluidComp_Unadj,1,0.23738205338533797,
bv+demo,CogCrystalComp_Unadj,1,0.3659120747166428,
SC,CogCrystalComp_Unadj,1,0.24848828981859541,-0.03582151669921769
r2t,CogCrystalComp_Unadj,1,0.17045098054787136,-0.042872757679132234
r2t_corr,CogCrystalComp_Unadj,1,0.08952420979420483,-0.06735694151253238
FC,CogCrystalComp_Unadj,1,0.4660912674193206,0.2371523279778709
SC_r2t,CogCrystalComp_Unadj,1,0.17257580852736404,-0.04473426972450187
r2t->synthFC,CogCrystalComp_Unadj,1,0.12094491557074794,
bv+demo,CogTotalComp_Unadj,2,0.42883399634530733,
SC,CogTotalComp_Unadj,2,0.3147013597176683,0.09513874642116496
r2t,CogTotalComp_Unadj,2,0.17964598792320735,-0.002226300420136436
r2t_corr,CogTotalComp_Unadj,2,0.10290320531993062,-0.06364853152204464
FC,CogTotalComp_Unadj,2,0.5363569737275293,0.4112090403314183
SC_r2t,CogTotalComp_Unadj,2,0.18780429756919528,0.0026126025132214787
r2t->synthFC,CogTotalComp_Unadj,2,0.23192240954335056,
bv+demo,CogFluidComp_Unadj,2,0.32289567288924775,
SC,CogFluidComp_Unadj,2,0.23472094476587207,0.04396862249486748
r2t,CogFluidComp_Unadj,2,0.16086130281045521,0.10068340964355003
r2t_corr,CogFluidComp_Unadj,2,0.08330777438240927,-0.01734547225121602
FC,CogFluidComp_Unadj,2,0.3483413254082256,0.22181530177529846
SC_r2t,CogFluidComp_Unadj,2,0.17295709035648363,0.10802171574340191
r2t->synthFC,CogFluidComp_Unadj,2,0.22611379704347187,
bv+demo,CogCrystalComp_Unadj,2,0.44114849217569396,
SC,CogCrystalComp_Unadj,2,0.27773933181811705,0.1584819815360198
r2t,CogCrystalComp_Unadj,2,0.1461164265329927,-0.023313925872890533
r2t_corr,CogCrystalComp_Unadj,2,0.13577208732469725,0.044976226071139526
FC,CogCrystalComp_Unadj,2,0.5679152969418664,0.5138755546186135
SC_r2t,CogCrystalComp_Unadj,2,0.1353090259548913,-0.030421763867310787
r2t->synthFC,CogCrystalComp_Unadj,2,0.19259977997499075,
bv+demo,CogTotalComp_Unadj,3,0.3453183481413704,
SC,CogTotalComp_Unadj,3,0.11143062267238771,-0.13583157049171934
r2t,CogTotalComp_Unadj,3,0.20372424430338015,0.049206218902231896
r2t_corr,CogTotalComp_Unadj,3,0.08169971613250837,-0.09943495716098101
FC,CogTotalComp_Unadj,3,0.4579379550635272,0.33549853426007387
SC_r2t,CogTotalComp_Unadj,3,0.19375573538852162,0.02866329863080934
r2t->synthFC,CogTotalComp_Unadj,3,0.1965464693236919,
bv+demo,CogFluidComp_Unadj,3,0.25622504210796015,
SC,CogFluidComp_Unadj,3,0.09001852412115136,-0.05830530213418472
r2t,CogFluidComp_Unadj,3,0.13663839083010557,0.046255592903413495
r2t_corr,CogFluidComp_Unadj,3,0.182213301927231,0.09695565993161859
FC,CogFluidComp_Unadj,3,0.338859390269439,0.21393778553812556
SC_r2t,CogFluidComp_Unadj,3,0.14232489723461667,0.04788534691154064
r2t->synthFC,CogFluidComp_Unadj,3,0.13986983403530287,
bv+demo,CogCrystalComp_Unadj,3,0.37476183770594657,
SC,CogCrystalComp_Unadj,3,0.12940127296304665,-0.11537969954607545
r2t,CogCrystalComp_Unadj,3,0.11088121403376679,-0.08855392337374021
r2t_corr,CogCrystalComp_Unadj,3,-0.02524180234364894,-0.16471414714392274
FC,CogCrystalComp_Unadj,3,0.42685322814990917,0.33926585898941874
SC_r2t,CogCrystalComp_Unadj,3,0.09145667839381393,-0.09610322814313127
r2t->synthFC,CogCrystalComp_Unadj,3,0.1730762686235081,
bv+demo,CogTotalComp_Unadj,4,0.2950172259538196,
SC,CogTotalComp_Unadj,4,0.23226488645876245,0.05476890608998241
r2t,CogTotalComp_Unadj,4,0.1685870345264211,0.11105040769479793
r2t_corr,CogTotalComp_Unadj,4,0.24044506740657512,0.14829581208275203
FC,CogTotalComp_Unadj,4,0.39311610942168057,0.28258050776994165
SC_r2t,CogTotalComp_Unadj,4,0.16122469456659957,0.10775242380241848
r2t->synthFC,CogTotalComp_Unadj,4,0.20830040934961888,
bv+demo,CogFluidComp_Unadj,4,0.29606329813377885,
SC,CogFluidComp_Unadj,4,0.1141871100476817,-0.052465562614462766
r2t,CogFluidComp_Unadj,4,0.10679164673279413,0.06094101959378437
r2t_corr,CogFluidComp_Unadj,4,0.16708141592654127,0.12245607600830063
FC,CogFluidComp_Unadj,4,0.25519185459135196,0.1696971736434728
SC_r2t,CogFluidComp_Unadj,4,0.12807631481488096,0.0804564997041045
r2t->synthFC,CogFluidComp_Unadj,4,0.15581811475592663,
bv+demo,CogCrystalComp_Unadj,4,0.34700440819059464,
