rep,target,pearson_raw,pearson_resid,lift_over_bvdemo_raw
FC,CogCrystalComp_Unadj,0.4507595091071024,0.3737410638372352,0.10456527931725423
FC,CogFluidComp_Unadj,0.3423437216803124,0.217876543656712,0.03286423616879913
FC,CogTotalComp_Unadj,0.450762823472009,0.2635615833342256,0.07845073484486087
SC,CogCrystalComp_Unadj,0.2674137125652672,0.08625918592319527,-0.07878051722458096
SC,CogFluidComp_Unadj,0.17976644342872797,0.006016447703152995,-0.1297130420827853
SC,CogTotalComp_Unadj,0.2614321136867557,0.04037036018068933,-0.11087997494039248
SC_r2t,CogCrystalComp_Unadj,0.15967648990037306,0.02803525720297414,-0.1865177398894751
SC_r2t,CogFluidComp_Unadj,0.13520060602474882,0.07167042092213992,-0.17427887948676446
SC_r2t,CogTotalComp_Unadj,0.19576383804239028,0.04757835046687019,-0.17654825058475787
bv+demo,CogCrystalComp_Unadj,0.34619422978984815,,0.0
bv+demo,CogFluidComp_Unadj,0.3094794855115133,,0.0
bv+demo,CogTotalComp_Unadj,0.37231208862714815,,0.0
r2t,CogCrystalComp_Unadj,0.1636192485120619,0.027283170097831717,-0.18257498127778626
r2t,CogFluidComp_Unadj,0.13032927582832748,0.06082363443584583,-0.1791502096831858
r2t,CogTotalComp_Unadj,0.1962021047565985,0.04865818501294388,-0.17610998387054966
r2t->synthFC,CogCrystalComp_Unadj,0.18044699836223288,,-0.16574723142761527
r2t->synthFC,CogFluidComp_Unadj,0.1969533194824834,,-0.11252616602902987
r2t->synthFC,CogTotalComp_Unadj,0.2024234393366554,,-0.16988864929049274
r2t_corr,CogCrystalComp_Unadj,0.10259466479208047,-0.008680481119752812,-0.2435995649977677
r2t_corr,CogFluidComp_Unadj,0.15712272632861302,0.0793899633856884,-0.15235675918290026
r2t_corr,CogTotalComp_Unadj,0.15120034797166718,-0.028874341216110717,-0.22111174065548098
