parcellation,input_set,target,n,post_mean,post_sd,hdi_lo,hdi_hi,P_gt0,P_gt_rope,P_in_rope,decision,BF10
Glasser,obs_FC,CogTotal,10,0.0876,0.0206,0.0409,0.1343,0.9989,0.9952,0.0045,credibly beats baseline,21.5662
Glasser,obs_FC,CogFluid,10,0.0443,0.0138,0.0131,0.0756,0.9946,0.9439,0.0555,undecided,5.8606
Glasser,obs_FC,CogCryst,10,0.1332,0.0294,0.0668,0.1997,0.9993,0.9981,0.0017,credibly beats baseline,30.5204
Glasser,obs_SC,CogTotal,10,-0.1108,0.0207,-0.1575,-0.0641,0.0002,0.0001,0.0008,credibly below baseline,79.3316
Glasser,obs_SC,CogFluid,10,-0.1202,0.0143,-0.1524,-0.088,0.0,0.0,0.0,credibly below baseline,1502.8623
Glasser,obs_SC,CogCryst,10,-0.1012,0.0272,-0.1626,-0.0397,0.0024,0.0008,0.0069,credibly below baseline,11.3077
Glasser,obs_FC+obs_SC,CogTotal,10,0.0901,0.0205,0.0438,0.1364,0.9991,0.9962,0.0035,credibly beats baseline,26.1978
Glasser,obs_FC+obs_SC,CogFluid,10,0.0483,0.015,0.0145,0.0821,0.9949,0.9547,0.0447,undecided,6.0597
Glasser,obs_FC+obs_SC,CogCryst,10,0.1356,0.0315,0.0643,0.2068,0.999,0.9974,0.0022,credibly beats baseline,23.1262
Glasser,obs_FC+bv+demo,CogTotal,10,0.1152,0.0174,0.0757,0.1546,1.0,0.9998,0.0002,credibly beats baseline,288.5205
Glasser,obs_FC+bv+demo,CogFluid,10,0.0729,0.0138,0.0416,0.1041,0.9997,0.998,0.002,credibly beats baseline,72.0097
Glasser,obs_FC+bv+demo,CogCryst,10,0.1619,0.0255,0.1042,0.2196,0.9999,0.9998,0.0001,credibly beats baseline,222.8144
Glasser,obs_SC+bv+demo,CogTotal,10,-0.0498,0.0169,-0.088,-0.0115,0.0082,0.0013,0.0547,undecided,4.1937
Glasser,obs_SC+bv+demo,CogFluid,10,-0.0664,0.0137,-0.0973,-0.0355,0.0004,0.0001,0.0039,credibly below baseline,44.9237
Glasser,obs_SC+bv+demo,CogCryst,10,-0.0348,0.0206,-0.0813,0.0117,0.0622,0.0129,0.2316,undecided,0.9032
Glasser,pred_SC,CogTotal,10,-0.0178,0.0175,-0.0573,0.0216,0.1667,0.0291,0.5188,undecided,0.473
Glasser,pred_SC,CogFluid,10,-0.0527,0.0195,-0.0969,-0.0085,0.0122,0.0024,0.0617,undecided,3.058
Glasser,pred_SC,CogCryst,10,-0.0097,0.0228,-0.0612,0.0418,0.3401,0.1124,0.5567,undecided,0.3337
Glasser,pred_FC,CogTotal,10,-0.1126,0.0165,-0.15,-0.0753,0.0,0.0,0.0002,credibly below baseline,354.1066
