parcellation,input_set,target,n,mean_lift,sd,ci_lo,ci_hi,p_seed_ttest,p_perm_median,p_tost_equiv,equivalent_to_zero,mde_80,p_perm_fdr,sig_fdr_05,p_fdr_affirm_family,sig_affirm_05
4S456Parcels,obs_FC,CogCryst,10,0.122,0.0874,0.0594,0.1845,0.0017,0.0407,0.9975,False,0.087,0.2444,False,0.0815,False
4S456Parcels,obs_FC,CogFluid,10,0.0375,0.0346,0.0127,0.0622,0.0076,0.3473,0.9275,False,0.0344,0.8155,False,0.3473,False
4S456Parcels,obs_FC,CogTotal,10,0.0862,0.0554,0.0466,0.1258,0.0008,0.0905,0.9978,False,0.0551,0.3427,False,0.1269,False
4S456Parcels,obs_FC+bv+demo,CogCryst,10,0.1457,0.0811,0.0877,0.2037,0.0003,0.008,0.9996,False,0.0807,0.2159,False,0.048,True
4S456Parcels,obs_FC+bv+demo,CogFluid,10,0.0622,0.0434,0.0312,0.0933,0.0014,0.1584,0.9934,False,0.0432,0.4753,False,0.1901,False
4S456Parcels,obs_FC+bv+demo,CogTotal,10,0.1088,0.0474,0.0749,0.1427,0.0,0.0192,0.9999,False,0.0471,0.2375,False,0.0577,False
4S456Parcels,obs_FC+obs_SC,CogCryst,10,0.1213,0.0906,0.0565,0.1862,0.0022,0.0335,0.9968,False,0.0901,0.2444,False,,False
4S456Parcels,obs_FC+obs_SC,CogFluid,10,0.0434,0.0471,0.0097,0.0771,0.0172,0.2279,0.9247,False,0.0468,0.586,False,,False
4S456Parcels,obs_FC+obs_SC,CogTotal,10,0.0867,0.0529,0.0489,0.1245,0.0006,0.073,0.9984,False,0.0526,0.3332,False,,False
4S456Parcels,obs_SC,CogCryst,10,-0.0947,0.0768,-0.1496,-0.0397,0.0036,0.8828,0.9934,False,0.0764,0.9765,False,,False
4S456Parcels,obs_SC,CogFluid,10,-0.1184,0.0551,-0.1578,-0.079,0.0001,0.9708,0.9998,False,0.0548,0.9765,False,,False
4S456Parcels,obs_SC,CogTotal,10,-0.1031,0.0549,-0.1424,-0.0638,0.0002,0.9273,0.9995,False,0.0546,0.9765,False,,False
4S456Parcels,obs_SC+bv+demo,CogCryst,10,-0.0423,0.0586,-0.0842,-0.0003,0.0485,0.6949,0.87,False,0.0583,0.9765,False,,False
4S456Parcels,obs_SC+bv+demo,CogFluid,10,-0.0767,0.0571,-0.1175,-0.0358,0.0022,0.9335,0.994,False,0.0568,0.9765,False,,False
4S456Parcels,obs_SC+bv+demo,CogTotal,10,-0.0516,0.0486,-0.0863,-0.0168,0.0084,0.8313,0.965,False,0.0483,0.9765,False,,False
4S456Parcels,pred_FC,CogCryst,10,-0.1089,0.0867,-0.1709,-0.0468,0.0033,0.8956,0.9949,False,0.0863,0.9765,False,,False
4S456Parcels,pred_FC,CogFluid,10,-0.0718,0.0703,-0.1221,-0.0215,0.0103,0.9055,0.9776,False,0.0699,0.9765,False,,False
4S456Parcels,pred_FC,CogTotal,10,-0.088,0.084,-0.1481,-0.0279,0.0091,0.8713,0.9846,False,0.0836,0.9765,False,,False
4S456Parcels,pred_FC+bv+demo,CogCryst,10,-0.0281,0.0568,-0.0687,0.0125,0.1521,0.542,0.6684,False,0.0565,0.9765,False,,False
4S456Parcels,pred_FC+bv+demo,CogFluid,10,-0.0235,0.058,-0.065,0.0179,0.2313,0.7651,0.5743,False,0.0577,0.9765,False,,False
4S456Parcels,pred_FC+bv+demo,CogTotal,10,-0.0251,0.0611,-0.0688,0.0186,0.2258,0.7346,0.6014,False,0.0607,0.9765,False,,False
4S456Parcels,pred_SC,CogCryst,10,-0.0115,0.117,-0.0952,0.0722,0.7627,0.6292,0.4118,False,0.1164,0.9765,False,,False
4S456Parcels,pred_SC,CogFluid,10,-0.0101,0.0616,-0.0542,0.0339,0.6161,0.8426,0.3119,False,0.0612,0.9765,False,,False
4S456Parcels,pred_SC,CogTotal,10,-0.0051,0.0853,-0.0661,0.056,0.8549,0.6119,0.2969,False,0.0849,0.9765,False,,False
4S456Parcels,pred_SC+bv+demo,CogCryst,10,0.0563,0.0694,0.0067,0.1059,0.0304,0.0477,0.9338,False,0.069,0.2577,False,,False
4S456Parcels,pred_SC+bv+demo,CogFluid,10,0.0415,0.0433,0.0105,0.0725,0.0143,0.2156,0.9245,False,0.0431,0.5822,False,,False
4S456Parcels,pred_SC+bv+demo,CogTotal,10,0.0477,0.0551,0.0083,0.0872,0.0229,0.1434,0.9269,False,0.0548,0.4556,False,,False
Glasser,obs_FC,CogCryst,10,0.1332,0.093,0.0668,0.1997,0.0014,0.0307,0.9981,False,0.0925,0.2444,False,0.0738,False
Glasser,obs_FC,CogFluid,10,0.0443,0.0437,0.0131,0.0756,0.0107,0.3263,0.9439,False,0.0435,0.801,False,0.3473,False
Glasser,obs_FC,CogTotal,10,0.0876,0.0653,0.0409,0.1343,0.0022,0.0802,0.9952,False,0.0649,0.3332,False,0.1269,False
Glasser,obs_FC+bv+demo,CogCryst,10,0.1619,0.0807,0.1042,0.2196,0.0001,0.0022,0.9998,False,0.0803,0.1214,False,0.027,True
Glasser,obs_FC+bv+demo,CogFluid,10,0.0729,0.0436,0.0416,0.1041,0.0005,0.0952,0.998,False,0.0434,0.3427,False,0.1269,False
