parcellation,variant,relation,n_pairs,auc,auc_lo,auc_hi,p_perm,p_fdr,sig_fdr
Glasser,obs_SC,MZ,242,0.9989306610042621,0.998058021068573,0.9995638728141785,0.0,0.0,True
Glasser,obs_SC,DZ,127,0.9380169900204249,0.9235395193099976,0.9512137174606323,0.0,0.0,True
Glasser,obs_SC,sibling,1254,0.8629686297747394,0.8498645424842834,0.8757816553115845,0.0,0.0,True
Glasser,obs_FC,MZ,242,0.9897190693695483,0.9844358563423157,0.9938092231750488,0.0,0.0,True
Glasser,obs_FC,DZ,127,0.8858922671634623,0.8522988557815552,0.9136877655982971,0.0,0.0,True
Glasser,obs_FC,sibling,1254,0.8228761002377112,0.8065277934074402,0.8385108709335327,0.0,0.0,True
Glasser,pred_SC_raw,MZ,242,0.894710845643462,0.8762295246124268,0.9135494232177734,0.0,0.0,True
Glasser,pred_SC_raw,DZ,127,0.7241086546251959,0.6747279167175293,0.7696415185928345,0.0,0.0,True
Glasser,pred_SC_raw,sibling,1254,0.5602807921613253,0.5378165245056152,0.581065833568573,0.0,0.0,True
Glasser,pred_SC_resid_bvdemo,MZ,242,0.9652312063671501,0.9544422626495361,0.9754509329795837,0.0,0.0,True
Glasser,pred_SC_resid_bvdemo,DZ,127,0.8223276619073263,0.7815499901771545,0.8616688251495361,0.0,0.0,True
Glasser,pred_SC_resid_bvdemo,sibling,1254,0.763011474802505,0.7448327541351318,0.7798399925231934,0.0,0.0,True
Glasser,combined_pred_SC,MZ,242,0.8971397727909239,0.8793851733207703,0.9144834280014038,0.0,0.0,True
Glasser,combined_pred_SC,DZ,127,0.7006273014394457,0.6542630195617676,0.7419927716255188,0.0,0.0,True
Glasser,combined_pred_SC,sibling,1254,0.5049355310081062,0.48204663395881653,0.525801956653595,0.6481,0.6481,False
Glasser,bvdemo_to_SC,MZ,242,0.9507060183417099,0.9353013634681702,0.9637898206710815,0.0,0.0,True
Glasser,bvdemo_to_SC,DZ,127,0.7997050276294021,0.7591069936752319,0.8398805856704712,0.0,0.0,True
Glasser,bvdemo_to_SC,sibling,1254,0.5628161171988393,0.5409835577011108,0.5850873589515686,0.0,0.0,True
Glasser,pred_FC_raw,MZ,242,0.9044902053640081,0.8836804628372192,0.9238155484199524,0.0,0.0,True
Glasser,pred_FC_raw,DZ,127,0.7578170103968058,0.7213982939720154,0.7937585115432739,0.0,0.0,True
Glasser,pred_FC_raw,sibling,1254,0.6257457344138928,0.6047893762588501,0.6458579301834106,0.0,0.0,True
Glasser,pred_FC_resid_bvdemo,MZ,242,0.9536823452131804,0.9413681030273438,0.965186595916748,0.0,0.0,True
Glasser,pred_FC_resid_bvdemo,DZ,127,0.7666322208799685,0.7237427234649658,0.8056358695030212,0.0,0.0,True
Glasser,pred_FC_resid_bvdemo,sibling,1254,0.7496730118580492,0.732145369052887,0.766471803188324,0.0,0.0,True
