parcellation,seed,estimator,input_set,target
Glasser,0,bayesian_ridge,bv+demo,CogTotal
Glasser,0,bayesian_ridge,bv+demo,CogFluid
Glasser,0,bayesian_ridge,bv+demo,CogCryst
Glasser,0,bayesian_ridge,bv+demo,sex
Glasser,0,bayesian_ridge,bv+demo,age
Glasser,0,bayesian_ridge,obs_FC,CogTotal
Glasser,0,bayesian_ridge,obs_FC,CogFluid
Glasser,0,bayesian_ridge,obs_FC,CogCryst
Glasser,0,bayesian_ridge,obs_FC,sex
Glasser,0,bayesian_ridge,obs_FC,age
Glasser,0,bayesian_ridge,obs_SC,CogTotal
Glasser,0,bayesian_ridge,obs_SC,CogFluid
Glasser,0,bayesian_ridge,obs_SC,CogCryst
Glasser,0,bayesian_ridge,obs_SC,sex
Glasser,0,bayesian_ridge,obs_SC,age
Glasser,0,bayesian_ridge,obs_FC+obs_SC,CogTotal
Glasser,0,bayesian_ridge,obs_FC+obs_SC,CogFluid
Glasser,0,bayesian_ridge,obs_FC+obs_SC,CogCryst
Glasser,0,bayesian_ridge,obs_FC+obs_SC,sex
Glasser,0,bayesian_ridge,obs_FC+obs_SC,age
Glasser,0,bayesian_ridge,pred_SC,CogTotal
Glasser,0,bayesian_ridge,pred_SC,CogFluid
Glasser,0,bayesian_ridge,pred_SC,CogCryst
Glasser,0,bayesian_ridge,pred_SC,sex
Glasser,0,bayesian_ridge,pred_SC,age
Glasser,0,bayesian_ridge,pred_FC,CogTotal
Glasser,0,bayesian_ridge,pred_FC,CogFluid
Glasser,0,bayesian_ridge,pred_FC,CogCryst
Glasser,0,bayesian_ridge,pred_FC,sex
Glasser,0,bayesian_ridge,pred_FC,age
Glasser,0,bayesian_ridge,obs_FC+bv+demo,CogTotal
Glasser,0,bayesian_ridge,obs_FC+bv+demo,CogFluid
Glasser,0,bayesian_ridge,obs_FC+bv+demo,CogCryst
Glasser,0,bayesian_ridge,obs_FC+bv+demo,sex
Glasser,0,bayesian_ridge,obs_FC+bv+demo,age
Glasser,0,bayesian_ridge,obs_SC+bv+demo,CogTotal
Glasser,0,bayesian_ridge,obs_SC+bv+demo,CogFluid
Glasser,0,bayesian_ridge,obs_SC+bv+demo,CogCryst
Glasser,0,bayesian_ridge,obs_SC+bv+demo,sex
Glasser,0,bayesian_ridge,obs_SC+bv+demo,age
Glasser,0,bayesian_ridge,pred_SC+bv+demo,CogTotal
Glasser,0,bayesian_ridge,pred_SC+bv+demo,CogFluid
Glasser,0,bayesian_ridge,pred_SC+bv+demo,CogCryst
Glasser,0,bayesian_ridge,pred_SC+bv+demo,sex
Glasser,0,bayesian_ridge,pred_SC+bv+demo,age
Glasser,0,bayesian_ridge,pred_FC+bv+demo,CogTotal
Glasser,0,bayesian_ridge,pred_FC+bv+demo,CogFluid
Glasser,0,bayesian_ridge,pred_FC+bv+demo,CogCryst
Glasser,0,bayesian_ridge,pred_FC+bv+demo,sex
Glasser,0,bayesian_ridge,pred_FC+bv+demo,age
Glasser,0,bayesian_ridge,pred_FC+bv,CogTotal
Glasser,0,bayesian_ridge,pred_FC+bv,CogFluid
Glasser,0,bayesian_ridge,pred_FC+bv,CogCryst
Glasser,0,bayesian_ridge,pred_FC+bv,sex
Glasser,0,bayesian_ridge,pred_FC+bv,age
Glasser,0,bayesian_ridge,pred_SC+bv,CogTotal
Glasser,0,bayesian_ridge,pred_SC+bv,CogFluid
Glasser,0,bayesian_ridge,pred_SC+bv,CogCryst
Glasser,0,bayesian_ridge,pred_SC+bv,sex
Glasser,0,bayesian_ridge,pred_SC+bv,age
Glasser,0,bayesian_ridge,obs_SC+pred_FC,CogTotal
Glasser,0,bayesian_ridge,obs_SC+pred_FC,CogFluid
Glasser,0,bayesian_ridge,obs_SC+pred_FC,CogCryst
Glasser,0,bayesian_ridge,obs_SC+pred_FC,sex
Glasser,0,bayesian_ridge,obs_SC+pred_FC,age
Glasser,0,bayesian_ridge,obs_FC+pred_SC,CogTotal
Glasser,0,bayesian_ridge,obs_FC+pred_SC,CogFluid
Glasser,0,bayesian_ridge,obs_FC+pred_SC,CogCryst
Glasser,0,bayesian_ridge,obs_FC+pred_SC,sex
Glasser,0,bayesian_ridge,obs_FC+pred_SC,age
Glasser,0,bayesian_ridge,obs_FC+pred_SC+bv,CogTotal
Glasser,0,bayesian_ridge,obs_FC+pred_SC+bv,CogFluid
Glasser,0,bayesian_ridge,obs_FC+pred_SC+bv,CogCryst
Glasser,0,bayesian_ridge,obs_FC+pred_SC+bv,sex
Glasser,0,bayesian_ridge,obs_FC+pred_SC+bv,age
Glasser,0,bayesian_ridge,obs_FC+pred_SC+bv+demo,CogTotal
Glasser,0,bayesian_ridge,obs_FC+pred_SC+bv+demo,CogFluid
Glasser,0,bayesian_ridge,obs_FC+pred_SC+bv+demo,CogCryst
Glasser,0,bayesian_ridge,obs_FC+pred_SC+bv+demo,sex
Glasser,0,bayesian_ridge,obs_FC+pred_SC+bv+demo,age
Glasser,0,bayesian_ridge,obs_SC+pred_FC+bv+demo,CogTotal
Glasser,0,bayesian_ridge,obs_SC+pred_FC+bv+demo,CogFluid
Glasser,0,bayesian_ridge,obs_SC+pred_FC+bv+demo,CogCryst
Glasser,0,bayesian_ridge,obs_SC+pred_FC+bv+demo,sex
Glasser,0,bayesian_ridge,obs_SC+pred_FC+bv+demo,age
Glasser,0,bayesian_ridge,everything,CogTotal
Glasser,0,bayesian_ridge,everything,CogFluid
Glasser,0,bayesian_ridge,everything,CogCryst
Glasser,0,bayesian_ridge,everything,sex
Glasser,0,bayesian_ridge,everything,age
Glasser,1,bayesian_ridge,bv+demo,CogTotal
Glasser,1,bayesian_ridge,bv+demo,CogFluid
Glasser,1,bayesian_ridge,bv+demo,CogCryst
Glasser,1,bayesian_ridge,bv+demo,sex
Glasser,1,bayesian_ridge,bv+demo,age
Glasser,1,bayesian_ridge,obs_FC,CogTotal
Glasser,1,bayesian_ridge,obs_FC,CogFluid
Glasser,1,bayesian_ridge,obs_FC,CogCryst
Glasser,1,bayesian_ridge,obs_FC,sex
Glasser,1,bayesian_ridge,obs_FC,age
Glasser,1,bayesian_ridge,obs_SC,CogTotal
Glasser,1,bayesian_ridge,obs_SC,CogFluid
Glasser,1,bayesian_ridge,obs_SC,CogCryst
Glasser,1,bayesian_ridge,obs_SC,sex
Glasser,1,bayesian_ridge,obs_SC,age
Glasser,1,bayesian_ridge,obs_FC+obs_SC,CogTotal
Glasser,1,bayesian_ridge,obs_FC+obs_SC,CogFluid
Glasser,1,bayesian_ridge,obs_FC+obs_SC,CogCryst
Glasser,1,bayesian_ridge,obs_FC+obs_SC,sex
Glasser,1,bayesian_ridge,obs_FC+obs_SC,age
Glasser,1,bayesian_ridge,pred_SC,CogTotal
Glasser,1,bayesian_ridge,pred_SC,CogFluid
Glasser,1,bayesian_ridge,pred_SC,CogCryst
Glasser,1,bayesian_ridge,pred_SC,sex
Glasser,1,bayesian_ridge,pred_SC,age
Glasser,1,bayesian_ridge,pred_FC,CogTotal
Glasser,1,bayesian_ridge,pred_FC,CogFluid
Glasser,1,bayesian_ridge,pred_FC,CogCryst
Glasser,1,bayesian_ridge,pred_FC,sex
Glasser,1,bayesian_ridge,pred_FC,age
Glasser,1,bayesian_ridge,obs_FC+bv+demo,CogTotal
Glasser,1,bayesian_ridge,obs_FC+bv+demo,CogFluid
Glasser,1,bayesian_ridge,obs_FC+bv+demo,CogCryst
Glasser,1,bayesian_ridge,obs_FC+bv+demo,sex
Glasser,1,bayesian_ridge,obs_FC+bv+demo,age
Glasser,1,bayesian_ridge,obs_SC+bv+demo,CogTotal
Glasser,1,bayesian_ridge,obs_SC+bv+demo,CogFluid
Glasser,1,bayesian_ridge,obs_SC+bv+demo,CogCryst
Glasser,1,bayesian_ridge,obs_SC+bv+demo,sex
Glasser,1,bayesian_ridge,obs_SC+bv+demo,age
Glasser,1,bayesian_ridge,pred_SC+bv+demo,CogTotal
Glasser,1,bayesian_ridge,pred_SC+bv+demo,CogFluid
Glasser,1,bayesian_ridge,pred_SC+bv+demo,CogCryst
Glasser,1,bayesian_ridge,pred_SC+bv+demo,sex
Glasser,1,bayesian_ridge,pred_SC+bv+demo,age
Glasser,1,bayesian_ridge,pred_FC+bv+demo,CogTotal
Glasser,1,bayesian_ridge,pred_FC+bv+demo,CogFluid
Glasser,1,bayesian_ridge,pred_FC+bv+demo,CogCryst
Glasser,1,bayesian_ridge,pred_FC+bv+demo,sex
Glasser,1,bayesian_ridge,pred_FC+bv+demo,age
Glasser,1,bayesian_ridge,pred_FC+bv,CogTotal
Glasser,1,bayesian_ridge,pred_FC+bv,CogFluid
Glasser,1,bayesian_ridge,pred_FC+bv,CogCryst
Glasser,1,bayesian_ridge,pred_FC+bv,sex
Glasser,1,bayesian_ridge,pred_FC+bv,age
Glasser,1,bayesian_ridge,pred_SC+bv,CogTotal
Glasser,1,bayesian_ridge,pred_SC+bv,CogFluid
Glasser,1,bayesian_ridge,pred_SC+bv,CogCryst
Glasser,1,bayesian_ridge,pred_SC+bv,sex
Glasser,1,bayesian_ridge,pred_SC+bv,age
Glasser,1,bayesian_ridge,obs_SC+pred_FC,CogTotal
Glasser,1,bayesian_ridge,obs_SC+pred_FC,CogFluid
Glasser,1,bayesian_ridge,obs_SC+pred_FC,CogCryst
Glasser,1,bayesian_ridge,obs_SC+pred_FC,sex
Glasser,1,bayesian_ridge,obs_SC+pred_FC,age
Glasser,1,bayesian_ridge,obs_FC+pred_SC,CogTotal
Glasser,1,bayesian_ridge,obs_FC+pred_SC,CogFluid
Glasser,1,bayesian_ridge,obs_FC+pred_SC,CogCryst
Glasser,1,bayesian_ridge,obs_FC+pred_SC,sex
Glasser,1,bayesian_ridge,obs_FC+pred_SC,age
Glasser,1,bayesian_ridge,obs_FC+pred_SC+bv,CogTotal
Glasser,1,bayesian_ridge,obs_FC+pred_SC+bv,CogFluid
Glasser,1,bayesian_ridge,obs_FC+pred_SC+bv,CogCryst
Glasser,1,bayesian_ridge,obs_FC+pred_SC+bv,sex
Glasser,1,bayesian_ridge,obs_FC+pred_SC+bv,age
Glasser,1,bayesian_ridge,obs_FC+pred_SC+bv+demo,CogTotal
Glasser,1,bayesian_ridge,obs_FC+pred_SC+bv+demo,CogFluid
Glasser,1,bayesian_ridge,obs_FC+pred_SC+bv+demo,CogCryst
Glasser,1,bayesian_ridge,obs_FC+pred_SC+bv+demo,sex
Glasser,1,bayesian_ridge,obs_FC+pred_SC+bv+demo,age
Glasser,1,bayesian_ridge,obs_SC+pred_FC+bv+demo,CogTotal
Glasser,1,bayesian_ridge,obs_SC+pred_FC+bv+demo,CogFluid
Glasser,1,bayesian_ridge,obs_SC+pred_FC+bv+demo,CogCryst
