task,parcellation,seed,estimator,variant,input_set,target
reconstruction,Glasser,0,pca_pls,pca_pls,FC,SC
reconstruction,Glasser,0,bayesian_ridge,bayesian_ridge,FC,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",FC,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",FC,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",FC,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",FC,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",FC,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",FC,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",FC,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",FC,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",FC,SC
reconstruction,Glasser,0,pca_pls,pca_pls,SC,FC
reconstruction,Glasser,0,bayesian_ridge,bayesian_ridge,SC,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",SC,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",SC,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",SC,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",SC,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",SC,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",SC,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",SC,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",SC,FC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",SC,FC
reconstruction,Glasser,0,pca_pls,pca_pls,bv,SC
reconstruction,Glasser,0,bayesian_ridge,bayesian_ridge,bv,SC
reconstruction,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",bv,SC
