parcellation,net_pair,n_seeds,median_enrichment,min_enrichment,median_n_obs
Glasser,visual || visual,10,11.740880503144655,9.708805031446541,52.0
Glasser,dorsal attention || dorsal attention,10,8.16343085106383,4.582978723404255,28.5
Glasser,dorsal attention || visual,10,4.861458333333333,4.113541666666666,39.0
Glasser,frontoparietal || frontoparietal,10,1.4686363636363637,0.32636363636363636,4.5
Glasser,dorsal attention || frontoparietal,10,1.4210416666666665,1.0470833333333334,9.5
Glasser,default mode || dorsal attention,10,1.4192394578313254,1.1353915662650602,17.5
Glasser,somatosensory || ventral attention,10,1.1915566770186334,0.3762810559006211,9.5
Glasser,ventral attention || ventral attention,10,0.7804347826086957,0.31217391304347825,2.5
Glasser,default mode || default mode,10,0.7120922715251248,0.18989127240669995,7.5
Glasser,somatosensory || somatosensory,8,0.524512987012987,0.20980519480519483,2.5
Glasser,default mode || frontoparietal,10,0.4757831325301205,0.25951807228915663,5.5
Glasser,dorsal attention || ventral attention,9,0.4389945652173913,0.14633152173913042,3.0
Glasser,default mode || visual,10,0.3604417670682731,0.21626506024096384,5.0
Glasser,frontoparietal || somatosensory,10,0.32053571428571426,0.1282142857142857,2.5
Glasser,dorsal attention || somatosensory,8,0.30050223214285715,0.12020089285714286,2.5
Glasser,frontoparietal || visual,9,0.2659259259259259,0.13296296296296295,2.0
Glasser,limbic || ventral attention,2,0.2508540372670808,0.2508540372670808,1.0
Glasser,default mode || somatosensory,10,0.24329819277108433,0.13902753872633392,3.5
Glasser,default mode || ventral attention,10,0.21156364588789944,0.08462545835515976,2.5
Glasser,frontoparietal || ventral attention,7,0.15608695652173912,0.15608695652173912,1.0
4S456Parcels,DorsAttn || DorsAttn,10,6.013913043478261,4.510434782608695,12.0
4S456Parcels,SomMot || SomMot,10,4.343181818181818,3.5454545454545454,24.5
4S456Parcels,Vis || Vis,10,2.692704918032787,0.850327868852459,9.5
4S456Parcels,Cont || DorsAttn,10,2.4937500000000004,1.7347826086956524,11.5
4S456Parcels,NA || SomMot,10,2.3456980519480517,1.8043831168831168,19.5
4S456Parcels,Cont || SalVentAttn,10,2.334574468085106,1.6978723404255318,11.0
4S456Parcels,Cont || Cont,10,2.151470588235294,1.9558823529411764,5.5
4S456Parcels,SalVentAttn || SomMot,10,2.0782398452611215,1.5765957446808512,14.5
4S456Parcels,Default || Default,10,1.71,1.1400000000000001,13.5
4S456Parcels,Cont || SomMot,10,1.684090909090909,1.165909090909091,13.0
4S456Parcels,NA || SalVentAttn,10,1.478058510638298,0.9853723404255319,7.5
4S456Parcels,NA || NA,10,1.3472727272727272,0.6736363636363636,4.0
4S456Parcels,SalVentAttn || SalVentAttn,10,1.1995837187789085,0.9596669750231268,2.5
4S456Parcels,DorsAttn || SomMot,10,1.0983201581027666,0.8786561264822135,7.5
4S456Parcels,Default || SalVentAttn,10,0.9095744680851064,0.48510638297872344,7.5
4S456Parcels,Cont || Default,10,0.8769230769230769,0.7673076923076924,8.0
4S456Parcels,Cont || Vis,10,0.7358606557377049,0.4905737704918033,4.5
4S456Parcels,Limbic || NA,10,0.7125,0.35625,2.0
4S456Parcels,Cont || NA,10,0.534375,0.35625,3.0
4S456Parcels,Default || NA,10,0.5089285714285714,0.20357142857142857,5.0
4S456Parcels,Limbic || SalVentAttn,1,0.42446808510638295,0.42446808510638295,1.0
4S456Parcels,DorsAttn || NA,10,0.40271739130434786,0.20135869565217393,2.0
4S456Parcels,Cont || Limbic,1,0.3836538461538462,0.3836538461538462,1.0
4S456Parcels,DorsAttn || Vis,10,0.36970776906628655,0.18485388453314328,2.0
4S456Parcels,Default || DorsAttn,10,0.30978260869565216,0.12391304347826086,2.5
4S456Parcels,DorsAttn || SalVentAttn,8,0.2399167437557817,0.2399167437557817,1.0
4S456Parcels,Default || Limbic,4,0.21923076923076923,0.21923076923076923,1.0
4S456Parcels,Default || Vis,2,0.1401639344262295,0.09344262295081966,1.5
4S456Parcels,Default || SomMot,8,0.11103896103896103,0.07402597402597402,1.5
