K,interhemi_frac_top,interhemi_frac_base,richclub_frac_top,richclub_frac_base,energy_top1pct_frac,parcellation,seed,anchor_match_signedcos
100,0.0,0.5013927576601671,0.1,0.03955431754874652,0.630677953516873,Glasser,0,1.0000298023223877
200,0.015,0.5013927576601671,0.11,0.03955431754874652,0.630677953516873,Glasser,0,1.0000298023223877
500,0.032,0.5013927576601671,0.126,0.03955431754874652,0.630677953516873,Glasser,0,1.0000298023223877
100,0.02,0.5013927576601671,0.15,0.03955431754874652,0.595447656567284,Glasser,1,0.8685458898544312
200,0.035,0.5013927576601671,0.125,0.03955431754874652,0.595447656567284,Glasser,1,0.8685458898544312
500,0.044,0.5013927576601671,0.134,0.03955431754874652,0.595447656567284,Glasser,1,0.8685458898544312
100,0.08,0.5013927576601671,0.15,0.03955431754874652,0.5801662604437686,Glasser,2,0.8252957463264465
200,0.065,0.5013927576601671,0.14,0.03955431754874652,0.5801662604437686,Glasser,2,0.8252957463264465
500,0.062,0.5013927576601671,0.16,0.03955431754874652,0.5801662604437686,Glasser,2,0.8252957463264465
100,0.0,0.5013927576601671,0.14,0.03955431754874652,0.618303786484057,Glasser,3,0.8751593828201294
200,0.0,0.5013927576601671,0.135,0.03955431754874652,0.618303786484057,Glasser,3,0.8751593828201294
500,0.018,0.5013927576601671,0.142,0.03955431754874652,0.618303786484057,Glasser,3,0.8751593828201294
100,0.0,0.5013927576601671,0.08,0.03955431754874652,0.6577466760424231,Glasser,4,0.9024555087089539
200,0.005,0.5013927576601671,0.08,0.03955431754874652,0.6577466760424231,Glasser,4,0.9024555087089539
500,0.032,0.5013927576601671,0.116,0.03955431754874652,0.6577466760424231,Glasser,4,0.9024555087089539
100,0.0,0.5013927576601671,0.09,0.03955431754874652,0.6561956529300869,Glasser,5,0.8856027126312256
200,0.0,0.5013927576601671,0.115,0.03955431754874652,0.6561956529300869,Glasser,5,0.8856027126312256
500,0.008,0.5013927576601671,0.148,0.03955431754874652,0.6561956529300869,Glasser,5,0.8856027126312256
100,0.0,0.5013927576601671,0.12,0.03955431754874652,0.5938726260996011,Glasser,6,0.9184768795967102
200,0.01,0.5013927576601671,0.13,0.03955431754874652,0.5938726260996011,Glasser,6,0.9184768795967102
500,0.02,0.5013927576601671,0.136,0.03955431754874652,0.5938726260996011,Glasser,6,0.9184768795967102
100,0.0,0.5013927576601671,0.08,0.03955431754874652,0.6218520509052303,Glasser,7,0.8549939393997192
200,0.02,0.5013927576601671,0.145,0.03955431754874652,0.6218520509052303,Glasser,7,0.8549939393997192
500,0.042,0.5013927576601671,0.15,0.03955431754874652,0.6218520509052303,Glasser,7,0.8549939393997192
100,0.0,0.5013927576601671,0.09,0.03955431754874652,0.6651974915135354,Glasser,8,0.8974972367286682
200,0.035,0.5013927576601671,0.085,0.03955431754874652,0.6651974915135354,Glasser,8,0.8974972367286682
500,0.042,0.5013927576601671,0.114,0.03955431754874652,0.6651974915135354,Glasser,8,0.8974972367286682
100,0.0,0.5013927576601671,0.09,0.03955431754874652,0.6202550138659224,Glasser,9,0.9393853545188904
200,0.01,0.5013927576601671,0.1,0.03955431754874652,0.6202550138659224,Glasser,9,0.9393853545188904
500,0.042,0.5013927576601671,0.112,0.03955431754874652,0.6202550138659224,Glasser,9,0.9393853545188904
100,0.18,0.522353961827646,0.29,0.04035087719298246,0.5517042358157199,4S456Parcels,0,1.0000412464141846
200,0.12,0.522353961827646,0.295,0.04035087719298246,0.5517042358157199,4S456Parcels,0,1.0000412464141846
500,0.112,0.522353961827646,0.276,0.04035087719298246,0.5517042358157199,4S456Parcels,0,1.0000412464141846
100,0.19,0.522353961827646,0.21,0.04035087719298246,0.5465075673224581,4S456Parcels,1,0.9151195883750916
200,0.135,0.522353961827646,0.205,0.04035087719298246,0.5465075673224581,4S456Parcels,1,0.9151195883750916
500,0.11,0.522353961827646,0.234,0.04035087719298246,0.5465075673224581,4S456Parcels,1,0.9151195883750916
100,0.14,0.522353961827646,0.23,0.04035087719298246,0.560760658154781,4S456Parcels,2,0.9464271664619446
200,0.145,0.522353961827646,0.255,0.04035087719298246,0.560760658154781,4S456Parcels,2,0.9464271664619446
500,0.1,0.522353961827646,0.252,0.04035087719298246,0.560760658154781,4S456Parcels,2,0.9464271664619446
100,0.14,0.522353961827646,0.29,0.04035087719298246,0.5448189757844999,4S456Parcels,3,0.8672781586647034
200,0.105,0.522353961827646,0.31,0.04035087719298246,0.5448189757844999,4S456Parcels,3,0.8672781586647034
500,0.088,0.522353961827646,0.262,0.04035087719298246,0.5448189757844999,4S456Parcels,3,0.8672781586647034
100,0.19,0.522353961827646,0.36,0.04035087719298246,0.556516728525526,4S456Parcels,4,0.9417514801025391
200,0.145,0.522353961827646,0.35,0.04035087719298246,0.556516728525526,4S456Parcels,4,0.9417514801025391
500,0.096,0.522353961827646,0.286,0.04035087719298246,0.556516728525526,4S456Parcels,4,0.9417514801025391
100,0.19,0.522353961827646,0.23,0.04035087719298246,0.5502576646181757,4S456Parcels,5,0.9460998773574829
200,0.16,0.522353961827646,0.22,0.04035087719298246,0.5502576646181757,4S456Parcels,5,0.9460998773574829
500,0.124,0.522353961827646,0.24,0.04035087719298246,0.5502576646181757,4S456Parcels,5,0.9460998773574829
100,0.2,0.522353961827646,0.25,0.04035087719298246,0.5725005899037073,4S456Parcels,6,0.9602119326591492
200,0.15,0.522353961827646,0.265,0.04035087719298246,0.5725005899037073,4S456Parcels,6,0.9602119326591492
500,0.108,0.522353961827646,0.27,0.04035087719298246,0.5725005899037073,4S456Parcels,6,0.9602119326591492
100,0.21,0.522353961827646,0.32,0.04035087719298246,0.56565192557975,4S456Parcels,7,0.9469742774963379
200,0.155,0.522353961827646,0.27,0.04035087719298246,0.56565192557975,4S456Parcels,7,0.9469742774963379
500,0.114,0.522353961827646,0.272,0.04035087719298246,0.56565192557975,4S456Parcels,7,0.9469742774963379
100,0.22,0.522353961827646,0.23,0.04035087719298246,0.5335023357243718,4S456Parcels,8,0.9197649955749512
200,0.145,0.522353961827646,0.23,0.04035087719298246,0.5335023357243718,4S456Parcels,8,0.9197649955749512
