parcellation,seed,pc,explained_var_ratio,FC_to_PC_R2,AUC_MZ,AUC_DZ,AUC_sibling,confound_R2_test
Glasser,0,1,0.038266152143478394,0.5928385257720947,0.8222576643629276,0.5038236617183987,0.48832748538011694,0.8913524746894836
Glasser,0,2,0.016162710264325142,0.00043827295303344727,0.6413255360623782,0.4309491677912731,0.5781052631578947,0.07895225286483765
Glasser,0,3,0.014942423440515995,0.2560836672782898,0.7327662590820485,0.601889338731444,0.583812865497076,-0.06186568737030029
Glasser,0,4,0.01361047849059105,0.09054625034332275,0.6928938507885876,0.7004048582995952,0.5619181286549707,-0.023346304893493652
Glasser,0,5,0.01182618923485279,0.09178084135055542,0.6576289207868156,0.34727845254161044,0.5699649122807018,0.03513216972351074
Glasser,0,6,0.011088513769209385,0.03377842903137207,0.7621832358674464,0.680161943319838,0.5559298245614035,0.26182061433792114
Glasser,0,7,0.010514840483665466,0.05128270387649536,0.6388445862130072,0.5254161043634727,0.584701754385965,0.05969405174255371
Glasser,0,8,0.009393305517733097,0.06849002838134766,0.571150097465887,0.5060728744939271,0.5706666666666668,0.030992209911346436
Glasser,0,9,0.008840508759021759,0.05038785934448242,0.6528442317916002,0.5416104363472785,0.49426900584795325,0.08859264850616455
Glasser,0,10,0.008667432703077793,0.0777861475944519,0.6716285663654085,0.5677013045434098,0.5830643274853801,0.04719066619873047
Glasser,1,1,0.03807353600859642,0.5940310955047607,0.7733333333333333,0.7042424242424242,0.368135593220339,0.894760012626648
Glasser,1,2,0.015340162441134453,0.046142578125,0.6850793650793651,0.4381818181818182,0.6405084745762711,0.03720170259475708
Glasser,1,3,0.014629922807216644,0.20516633987426758,0.627936507936508,0.3727272727272727,0.5258757062146893,0.0024850964546203613
Glasser,1,4,0.014030271209776402,0.11602962017059326,0.659047619047619,0.43939393939393934,0.5731638418079096,-0.033028364181518555
Glasser,1,5,0.01134508103132248,0.16817986965179443,0.6038095238095238,0.5424242424242425,0.5410169491525424,0.07589328289031982
Glasser,1,6,0.010250760242342949,0.12274414300918579,0.6704761904761904,0.5654545454545454,0.570677966101695,0.17711400985717773
Glasser,1,7,0.009845036081969738,0.06154298782348633,0.7120634920634921,0.48363636363636364,0.5696610169491525,0.2521166205406189
Glasser,1,8,0.009644018486142159,0.031505703926086426,0.6050793650793651,0.5151515151515151,0.5183050847457628,-0.037750959396362305
Glasser,1,9,0.008805767633020878,0.10073667764663696,0.6761904761904762,0.5181818181818182,0.5989830508474576,0.14258891344070435
Glasser,1,10,0.008507432416081429,0.039659082889556885,0.6660317460317461,0.4551515151515151,0.4977966101694915,-0.07736897468566895
