parcellation,variant,relation,n_pairs,auc,auc_lo,auc_hi,p_perm,p_fdr,sig_fdr
Glasser,obs_SC,MZ,242,0.9989306610042621,0.998058021068573,0.9995638728141785,0.0,0.0,True
Glasser,obs_SC,DZ,127,0.9380169900204249,0.9235395193099976,0.9512137174606323,0.0,0.0,True
Glasser,obs_SC,sibling,1254,0.8629686297747394,0.8498645424842834,0.8757816553115845,0.0,0.0,True
Glasser,obs_FC,MZ,242,0.9897190693695483,0.9844358563423157,0.9938092231750488,0.0,0.0,True
Glasser,obs_FC,DZ,127,0.8858922671634623,0.8522988557815552,0.9136877655982971,0.0,0.0,True
Glasser,obs_FC,sibling,1254,0.8228761002377112,0.8065277934074402,0.8385108709335327,0.0,0.0,True
Glasser,pred_SC_raw,MZ,242,0.9735414979911705,0.9647218585014343,0.9813204407691956,0.0,0.0,True
Glasser,pred_SC_raw,DZ,127,0.7981962051416399,0.7541361451148987,0.8395541906356812,0.0,0.0,True
Glasser,pred_SC_raw,sibling,1254,0.6796921447179255,0.6597355008125305,0.7002227306365967,0.0,0.0,True
Glasser,pred_SC_resid_bvdemo,MZ,242,0.9885275202028689,0.9819725155830383,0.9937790632247925,0.0,0.0,True
Glasser,pred_SC_resid_bvdemo,DZ,127,0.8227157834475866,0.7839694023132324,0.86039137840271,0.0,0.0,True
Glasser,pred_SC_resid_bvdemo,sibling,1254,0.809674230386362,0.7946579456329346,0.8249552845954895,0.0,0.0,True
Glasser,combined_pred_SC,MZ,242,0.8971397727909239,0.8793851733207703,0.9144834280014038,0.0,0.0,True
Glasser,combined_pred_SC,DZ,127,0.7006273014394457,0.6542630195617676,0.7419927716255188,0.0,0.0,True
Glasser,combined_pred_SC,sibling,1254,0.5049340569819216,0.48204419016838074,0.5258010029792786,0.6482,0.6482,False
Glasser,bvdemo_to_SC,MZ,242,0.9507060183417099,0.9353013634681702,0.9637898206710815,0.0,0.0,True
Glasser,bvdemo_to_SC,DZ,127,0.7997050276294021,0.7591069936752319,0.8398805856704712,0.0,0.0,True
Glasser,bvdemo_to_SC,sibling,1254,0.5628161171988393,0.5409835577011108,0.5850873589515686,0.0,0.0,True
Glasser,pred_FC_raw,MZ,242,0.9103741158857946,0.888526201248169,0.9292511343955994,0.0,0.0,True
