arm,estimator,sib_AUC,lift_CogCryst,lift_CogTotal,lift_CogFluid
FC2SC,BR,0.7673742556214814,0.08150098756787777,0.021273347728005598,-0.0202971733295204
FC2SC,PLS,0.8078283129589656,0.0342750604678801,-0.014406815673399867,-0.0741505155223795
FC2SC,obj1a,0.7480231259016606,0.054989325055357106,0.009231890734938368,-0.029289183102588337
FC2SC,obj2c,0.7094510310117039,0.07483764033804625,-0.0184077009901704,-0.08558038267096035
FC2SC,obj2c_raw,0.6983978913342951,0.11532775187707527,0.029793353781829037,-0.016051052488963033
FCSC,obj2c,,-0.08004954481947027,-0.13065932771050756,-0.16523951225574043
FCSC,obj2c_raw,,-0.053759469327550734,-0.13065609633903863,-0.2018388720800451
FCSC,plain,,0.1619837931532761,0.10317422016473347,0.059492815739879634
SC2FC,BR,0.731964074584287,-0.07384387464052312,-0.06488447100034417,-0.055004645976238664
SC2FC,PLS,0.7413304986386957,-0.11669130190253767,-0.10139915200072082,-0.0780158540949049
SC2FC,obj1a,0.6987395732772179,-0.08168815741914502,-0.06962438942979493,-0.057505660316774
SC2FC,obj2c,0.6391242095215368,-0.09602319234748113,-0.10503158630743616,-0.11906110214880405
SC2FC,obj2c_raw,0.6431972752220934,-0.09622599529445235,-0.0917066228225444,-0.10267397639523447
