task,parcellation,seed,estimator,variant,input_set,target,is_leak_target,contains_bvdemo,pearson,spearman,r2,n_eval,lift_over_bvdemo,lift_perm_p,residualized_pearson,git_commit,config_hash,hp_gamma_mult,hp_alpha,balanced_acc
downstream,4S456Parcels,0,pca_pls,pca_pls,bv+demo,CogTotal,False,True,0.3851177699886158,0.344933940687513,0.1457854412633595,194.0,0.0,1.0,0.0382914063687131,6b5eb84,c55f7b56,,,
downstream,4S456Parcels,0,pca_pls,pca_pls,obs_FC,CogTotal,False,False,0.473202539039544,0.4820694297697737,0.2204278474566905,194.0,0.0880847690509281,0.1379310344827586,0.2054230156049115,6b5eb84,837ed77c,,,
downstream,4S456Parcels,0,pca_pls,pca_pls,obs_SC,CogTotal,False,False,0.2706082536658497,0.2336511157642619,0.0313906784089258,194.0,-0.1145095163227661,0.9795102448775612,0.0876852512549491,6b5eb84,f3eb3685,,,
downstream,4S456Parcels,0,pca_pls,pca_pls,obs_FC+obs_SC,CogTotal,False,False,0.476660677965055,0.484579253545653,0.2241799767371426,194.0,0.0915429079764391,0.1124437781109445,0.3468395029860164,6b5eb84,2059cee0,,,
downstream,4S456Parcels,0,pca_pls,pca_pls,pred_SC,CogTotal,False,False,0.2430424872120508,0.2172813777839926,-0.0899482656616788,194.0,-0.142075282776565,0.9970014992503748,0.1179648859608169,6b5eb84,71d98b3c,,,
downstream,4S456Parcels,0,pca_pls,pca_pls,pred_FC,CogTotal,False,False,0.0461653373519675,0.0649554556063307,-0.4576732784001374,194.0,-0.3389524326366483,1.0,-0.0613669489385108,6b5eb84,e7c9718a,,,
downstream,4S456Parcels,0,pca_pls,pca_pls,obs_FC+bv+demo,CogTotal,False,True,0.4720451414528508,0.4836103333649846,0.2132177333250815,194.0,0.086927371464235,0.1689155422288855,-0.0605101655844113,6b5eb84,a1c70041,,,
downstream,4S456Parcels,0,pca_pls,pca_pls,obs_SC+bv+demo,CogTotal,False,True,0.3543996110156325,0.3291222152625228,0.1044710070245065,194.0,-0.0307181589729833,0.8025987006496752,0.1364823275079811,6b5eb84,33b43af1,,,
downstream,4S456Parcels,0,pca_pls,pca_pls,pred_SC+bv+demo,CogTotal,False,True,0.2163595854291829,0.2247886600998598,-0.1835685645154199,194.0,-0.1687581845594329,1.0,0.0063002330110021,6b5eb84,71ddd098,,,
downstream,4S456Parcels,0,pca_pls,pca_pls,pred_FC+bv+demo,CogTotal,False,True,0.2343507711161131,0.2192709925061288,-0.1731784231807724,194.0,-0.1507669988725027,1.0,0.0378480152661789,6b5eb84,390d4c3e,,,
downstream,4S456Parcels,0,bayesian_ridge,bayesian_ridge,bv+demo,CogTotal,False,True,0.3993057878403684,0.3507458181410229,0.1519212681246209,194.0,0.0,1.0,0.0303157902466073,6b5eb84,4f1144ff,,,
downstream,4S456Parcels,0,bayesian_ridge,bayesian_ridge,obs_FC,CogTotal,False,False,0.4998575159857882,0.5071520530388032,0.221805631602122,194.0,0.1005517281454198,0.0624687656171914,0.3441685579072809,6b5eb84,77c5ddec,,,
downstream,4S456Parcels,0,bayesian_ridge,bayesian_ridge,obs_SC,CogTotal,False,False,0.3393828097269261,0.3321612880599039,0.1035762740432818,194.0,-0.0599229781134423,0.92103948025987,0.0858835730770464,6b5eb84,418937ee,,,
downstream,4S456Parcels,0,bayesian_ridge,bayesian_ridge,obs_FC+obs_SC,CogTotal,False,False,0.5155866795703389,0.5111255297763203,0.2356792134041662,194.0,0.1162808917299704,0.0184907546226886,0.3528618966770861,6b5eb84,2625bedb,,,
downstream,4S456Parcels,0,bayesian_ridge,bayesian_ridge,pred_SC,CogTotal,False,False,0.5231100325072116,0.5139698323592667,0.1855906832647945,194.0,0.1238042446668431,0.1439280359820089,0.3381646633137086,6b5eb84,a16baecf,,,
downstream,4S456Parcels,0,bayesian_ridge,bayesian_ridge,pred_FC,CogTotal,False,False,0.3671301803643654,0.3666783504078777,0.1215743780813694,194.0,-0.0321756074760029,0.8070964517741129,0.1387799750298178,6b5eb84,39170601,,,
downstream,4S456Parcels,0,bayesian_ridge,bayesian_ridge,obs_FC+bv+demo,CogTotal,False,True,0.5098268224022363,0.5107631092507267,0.2427287657371332,194.0,0.1105210345618679,0.0144927536231884,0.3396314130143225,6b5eb84,09223bd1,,,
downstream,4S456Parcels,0,bayesian_ridge,bayesian_ridge,obs_SC+bv+demo,CogTotal,False,True,0.3898009459777063,0.3739374445180097,0.1379705656498741,194.0,-0.009504841862662,0.7016491754122939,0.0936528427253463,6b5eb84,2b2892b0,,,
downstream,4S456Parcels,0,bayesian_ridge,bayesian_ridge,pred_SC+bv+demo,CogTotal,False,True,0.5097858485474996,0.4815163481059993,0.2228217027327331,194.0,0.1104800607071312,0.0004997501249375,0.3368943618190387,6b5eb84,804c07de,,,
downstream,4S456Parcels,0,bayesian_ridge,bayesian_ridge,pred_FC+bv+demo,CogTotal,False,True,0.4105304846911848,0.386210433473145,0.1600053498789073,194.0,0.0112246968508163,0.3883058470764617,0.1427545955585011,6b5eb84,d4499178,,,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",bv+demo,CogTotal,False,True,0.3565654899110642,0.3216404092194297,0.1161608073997679,194.0,0.0,1.0,0.1540031267597624,6b5eb84,0b18d35e,0.5,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",obs_FC,CogTotal,False,False,0.4737590001934709,0.4795291988296154,-0.1431132345128676,194.0,0.1171935102824066,1.0,0.3385368877470807,6b5eb84,c8153090,0.5,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",obs_SC,CogTotal,False,False,0.2350637408173139,0.1958024143896296,-0.2523333955450071,194.0,-0.1215017490937502,0.9995002498750624,0.0827011637909562,6b5eb84,8f45c254,0.5,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",obs_FC+obs_SC,CogTotal,False,False,0.4668774935253453,0.4564066049336942,-0.1788105480042936,194.0,0.110312003614281,1.0,0.3458452060620028,6b5eb84,7a9fda00,0.5,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",pred_SC,CogTotal,False,False,0.2274074127058825,0.2128361790925283,-0.0332958379062555,194.0,-0.1291580772051816,0.9785107446276862,0.1043809746423721,6b5eb84,fa16cfec,0.5,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",pred_FC,CogTotal,False,False,0.1363482466220813,0.1308075116512614,-0.1633427005871761,194.0,-0.2202172432889829,1.0,-0.0353901073720616,6b5eb84,35f7c2da,0.5,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",obs_FC+bv+demo,CogTotal,False,True,0.4729614142789235,0.468298271612468,-0.1220879101688749,194.0,0.1163959243678592,0.9985007496251874,0.3372140881366696,6b5eb84,91e75100,0.5,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",obs_SC+bv+demo,CogTotal,False,True,0.3082713539982575,0.28778162088733,-0.2233566857350002,194.0,-0.0482941359128066,0.9995002498750624,0.1271483560961072,6b5eb84,41b7150d,0.5,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",pred_SC+bv+demo,CogTotal,False,True,0.2481154425483863,0.2415175313447195,-0.0150478699265559,194.0,-0.1084500473626779,0.9800099950024987,0.0143644199665487,6b5eb84,3376d9e6,0.5,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",pred_FC+bv+demo,CogTotal,False,True,0.2904276436642481,0.254307442092595,0.0034206802501279,194.0,-0.066137846246816,0.9690154922538732,0.0467467628534911,6b5eb84,a2e5a674,0.5,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",bv+demo,CogTotal,False,True,0.2805729703060164,0.2874948073648081,0.026114416257259,194.0,0.0,1.0,0.1891731720020431,6b5eb84,cf2423a5,0.5,1.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",obs_FC,CogTotal,False,False,0.4038159703515177,0.3861594809275967,-0.273538646171485,194.0,0.1232430000455012,0.999000499750125,0.3381468950522074,6b5eb84,e735bae8,0.5,1.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",obs_SC,CogTotal,False,False,0.3312994093400568,0.3056791134187976,-0.2126698269735396,194.0,0.0507264390340403,0.9970014992503748,0.0859988617216448,6b5eb84,1997d4a4,0.5,1.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",obs_FC+obs_SC,CogTotal,False,False,0.4391585343567924,0.4177590991353046,-0.287773080277409,194.0,0.1585855640507759,0.9995002498750624,0.3466093142239538,6b5eb84,3a3aae04,0.5,1.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",pred_SC,CogTotal,False,False,0.2596368509231747,0.2354911601107563,0.0316123185085347,194.0,-0.0209361193828417,0.4502748625687156,0.0848477577420416,6b5eb84,33a73d77,0.5,1.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",pred_FC,CogTotal,False,False,0.2488303532626242,0.240388357190149,-0.0156319124287969,194.0,-0.0317426170433922,0.7266366816591704,0.0476565597217664,6b5eb84,1c04d82a,0.5,1.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",obs_FC+bv+demo,CogTotal,False,True,0.4152241058018722,0.3902669135509908,-0.2429541688761027,194.0,0.1346511354958557,0.99800099950025,0.3302971842475065,6b5eb84,b2bb318d,0.5,1.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",obs_SC+bv+demo,CogTotal,False,True,0.3858155712453461,0.3735298241536233,-0.190123194895063,194.0,0.1052426009393296,0.993503248375812,0.1325004987684569,6b5eb84,ecaea8ec,0.5,1.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",pred_SC+bv+demo,CogTotal,False,True,0.2651020054427468,0.2529958249523515,0.0696842700982482,194.0,-0.0154709648632695,0.2453773113443278,0.0334814820989261,6b5eb84,83e98aff,0.5,1.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",pred_FC+bv+demo,CogTotal,False,True,0.3125551976558643,0.2959545735563284,0.0666860015282329,194.0,0.0319822273498479,0.2328835582208895,0.0551071216890216,6b5eb84,25febf97,0.5,1.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",bv+demo,CogTotal,False,True,0.104862144510865,0.1071318360915658,-0.3693905209146491,194.0,0.0,1.0,0.2127879132601403,6b5eb84,ca3f70fa,0.5,10.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",obs_FC,CogTotal,False,False,0.0200958547043412,-0.0335925201908472,-0.2589302382742093,194.0,-0.0847662898065237,0.2448775612193903,0.3379737401111019,6b5eb84,e32a7c3b,0.5,10.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",obs_SC,CogTotal,False,False,0.4425629479482348,0.4548352941742045,-0.0977570334791346,194.0,0.3377008034373698,0.0369815092453773,0.0865667065990356,6b5eb84,cd450aa0,0.5,10.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",obs_FC+obs_SC,CogTotal,False,False,0.1737624390954943,0.100921378241428,-0.2498290338519093,194.0,0.0689002945846292,0.2318840579710145,0.3468287937365457,6b5eb84,edc64fae,0.5,10.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",pred_SC,CogTotal,False,False,0.1928780901117552,0.181465025524537,0.0274737073565313,194.0,0.0880159456008902,0.000999500249875,0.0687378102962971,6b5eb84,f18ae273,0.5,10.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",pred_FC,CogTotal,False,False,0.2607696712017011,0.2760921207602478,0.0320593411930089,194.0,0.155907526690836,0.0019990004997501,0.0081601700693611,6b5eb84,132d60c0,0.5,10.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",obs_FC+bv+demo,CogTotal,False,True,0.0443439746992413,-0.0170173283978832,-0.2416182032676785,194.0,-0.0605181698116237,0.2113943028485757,0.329205041496812,6b5eb84,54df6504,0.5,10.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",obs_SC+bv+demo,CogTotal,False,True,0.4423024413472446,0.4381006702225893,-0.0862374702861878,194.0,0.3374402968363795,0.0294852573713143,0.1333185263789655,6b5eb84,734c7dae,0.5,10.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",pred_SC+bv+demo,CogTotal,False,True,0.1843109905403346,0.1473670889544607,0.0190095461228162,194.0,0.0794488460294696,0.0014992503748125,0.0418728266476641,6b5eb84,c3fe186c,0.5,10.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",pred_FC+bv+demo,CogTotal,False,True,0.2560482638575124,0.2592983261105766,0.0536236274972179,194.0,0.1511861193466473,0.000999500249875,0.0789983826313551,6b5eb84,eb012e0b,0.5,10.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",bv+demo,CogTotal,False,True,0.2923219862159713,0.2979967844545145,0.0246593639175655,194.0,0.0,1.0,0.1290461891929888,6b5eb84,3c17f6ad,1.0,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",obs_FC,CogTotal,False,False,0.4528468800765175,0.445796148230885,-1.4114682214732102,194.0,0.1605248938605462,1.0,0.338570342182015,6b5eb84,8c94a5f3,1.0,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",obs_SC,CogTotal,False,False,0.1760986856145474,0.1419537918975786,-1.2735367854305577,194.0,-0.1162233006014238,1.0,0.0754968815915518,6b5eb84,3d80e8d8,1.0,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",obs_FC+obs_SC,CogTotal,False,False,0.437325393564678,0.4057482692451677,-1.5762745587015488,194.0,0.1450034073487067,1.0,0.3446340470159824,6b5eb84,7f38fa01,1.0,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",pred_SC,CogTotal,False,False,0.181541461315402,0.1654141518615701,-0.1980963098544854,194.0,-0.1107805249005692,0.9820089955022488,0.0986482124029202,6b5eb84,9d5d37d5,1.0,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",pred_FC,CogTotal,False,False,0.1447829305053966,0.1272030299613442,-0.3500507045940035,194.0,-0.1475390557105746,0.9995002498750624,-0.0561551589277017,6b5eb84,e5ff1e5d,1.0,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",obs_FC+bv+demo,CogTotal,False,True,0.4613562890413863,0.4423617822978791,-1.3387587117065567,194.0,0.1690343028254151,1.0,0.3471285413911414,6b5eb84,37faf496,1.0,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",obs_SC+bv+demo,CogTotal,False,True,0.2344737198607956,0.2193087960076647,-1.2318841715035838,194.0,-0.0578482663551756,1.0,0.1192445328647407,6b5eb84,c6f586d0,1.0,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",pred_SC+bv+demo,CogTotal,False,True,0.2259318577995304,0.2192019600250634,-0.0719739073374778,194.0,-0.0663901284164408,0.8810594702648675,0.0132757013299829,6b5eb84,0957c2b5,1.0,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",pred_FC+bv+demo,CogTotal,False,True,0.2769568251857989,0.2450710604890885,-0.0952002657973303,194.0,-0.0153651610301723,0.9160419790104948,0.0569377204585963,6b5eb84,57cc155f,1.0,0.1,
