task,parcellation,seed,estimator,variant,input_set,source,target,is_block,n_train,n_test,n_src_feat,n_tgt_feat,mse,r2,pearson,demeaned_pearson,top1_acc,avg_rank,status,git_commit,config_hash,data_load_mode,hp_gamma_mult,hp_alpha
reconstruction,4S456Parcels,0,pca_pls,pca_pls,FC,FC,SC,False,683,195,103740,103740,0.0044558965601027,-0.020015874877572,0.9119569659233092,0.1482274234294891,0.1333333333333333,0.8971992110453649,ok,6b5eb84,65d80255,precomputed,,
reconstruction,4S456Parcels,0,bayesian_ridge,bayesian_ridge,FC,FC,SC,False,683,195,103740,103740,0.0043215765617787,0.0153435673564672,0.9147316813468932,0.1700962036848068,0.1641025641025641,0.8866535174227482,ok,6b5eb84,209b942e,precomputed,,
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",FC,FC,SC,False,683,195,103740,103740,0.0045181857421994,-0.0365359373390674,0.910617172718048,0.1423981487751007,0.1948717948717948,0.906929651545036,ok,6b5eb84,99a060b4,precomputed,0.5,0.1
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",FC,FC,SC,False,683,195,103740,103740,0.0043718055821955,0.0053321034647524,0.9142266511917114,0.1427927911281585,0.2051282051282051,0.9240499671268902,ok,6b5eb84,ca3cbe14,precomputed,0.5,1.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",FC,FC,SC,False,683,195,103740,103740,0.0044442182406783,-0.00423523504287,0.913333296775818,0.1412848681211471,0.1692307692307692,0.9208152531229454,ok,6b5eb84,ec770d02,precomputed,0.5,10.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",FC,FC,SC,False,683,195,103740,103740,0.0045778998173773,-0.051368560642004,0.9093592166900636,0.1407793462276458,0.1692307692307692,0.9046942800788954,ok,6b5eb84,9b3890ca,precomputed,1.0,0.1
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",FC,FC,SC,False,683,195,103740,103740,0.0043789418414235,0.0010766675695776,0.9138679504394532,0.1424107700586319,0.2051282051282051,0.9221564760026298,ok,6b5eb84,bb796415,precomputed,1.0,1.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",FC,FC,SC,False,683,195,103740,103740,0.0044304123148322,-0.0019563811365514,0.9135436415672302,0.1403633952140808,0.1641025641025641,0.920999342537804,ok,6b5eb84,29f1c6c1,precomputed,1.0,10.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",FC,FC,SC,False,683,195,103740,103740,0.0046279649250209,-0.0634785369038581,0.9083287119865416,0.1384020894765854,0.1538461538461538,0.9053254437869822,ok,6b5eb84,3d05913d,precomputed,2.0,0.1
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",FC,FC,SC,False,683,195,103740,103740,0.0044003240764141,-0.0056603257544338,0.9132955074310304,0.1412094086408615,0.1897435897435897,0.92060486522025,ok,6b5eb84,49202968,precomputed,2.0,1.0
